,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0,0,360,720,1080,1440,1800,2393,2917,3328,3721,4124,4541,5047,5522,5946,6430,6807,7256,7701,8168,8601.0,9071.0,9511.0,9875.0,10349.0,10795.0
1,1,183,549,909,1272,1632,1983,2591,3114,3520,3921,4317,4743,5245,5724,6176,6628,7004,7456,7908,8392,8856.0,9269.0,9709.0,10099.0,10553.0,
2,2,365,740,1100,1457,1872,2344,2816,3322,3719,4152,4526,4964,5440,5921,6400,6828,7257,7651,8108,8594,9069.0,9486.0,9923.0,10303.0,10768.0,
3,3,552,936,1290,1653,2065,2591,3009,3520,3918,4348,4722,5221,5654,6128,6608,7029,7465,7853,8311,8797,9277.0,9696.0,10143.0,10506.0,,
4,4,745,1147,1495,1861,2356,2802,3214,3734,4121,4544,4997,5435,5872,6358,6831,7234,7684,8095,8514,9002,9480.0,9894.0,10348.0,10730.0,,
5,5,938,1355,1694,2192,2570,3016,3479,3945,4353,4761,5213,5633,6080,6569,7033,7446,7910,8322,8763,9237,9700.0,10095.0,10544.0,,,
6,6,1152,1584,1990,2424,2821,3272,3723,4201,4619,5062,5486,5923,6394,6860,7298,7772,8183,8560,8998,9481,9947.0,10400.0,10795.0,,,
7,7,1360,1873,2273,2656,3095,3495,3983,4466,4884,5327,5781,6179,6668,7140,7584,8052,8436,8837,9302,9758,10221.0,10680.0,,,,
8,8,1583,2090,2508,2877,3306,3739,4221,4668,5119,5544,6001,6423,6864,7357,7801,8263,8681,9072,9528,9978,10438.0,,,,,
9,9,1778,2306,2703,3099,3501,3940,4423,4872,5320,5757,6199,6618,7062,7564,8003,8461,8887,9265,9726,10192,10639.0,,,,,
10,10,1965,2514,2908,3327,3725,4134,4644,5065,5522,5956,6393,6854,7299,7765,8204,8666,9085,9477,9925,10399,,,,,,
11,11,2157,2717,3122,3517,3924,4330,4838,5310,5747,6187,6601,7052,7502,7973,8411,8871,9299,9676,10140,10598,,,,,,
