,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,0,360,720,1080,1440,1800,2572,3342,3808,4293,5171,5352,6271,7052,7276.0,8047.0,8732.0,9071.0,9603.0,10613.0
1,1,186,555,906,1269,1635,1989,2778,3637,4117,4491,5406,5711,6475,7307,7635.0,8331.0,9091.0,9313.0,9962.0,
2,2,374,746,1091,1457,1996,2345,3088,3907,4422,4767,5767,6072,6692,7567,7996.0,8546.0,9452.0,9674.0,10213.0,
3,3,564,942,1287,1659,2228,2535,3438,4266,4782,5127,6000,6430,6989,7854,8356.0,8906.0,9788.0,9969.0,10482.0,
4,4,763,1138,1486,2019,2582,2895,3664,4626,5025,5487,6244,6771,7281,8098,8593.0,9266.0,10148.0,10327.0,,
5,5,953,1334,1691,2287,2872,3133,3881,4986,5243,5714,6506,7028,7498,8347,8892.0,9494.0,10506.0,10625.0,,
6,6,1188,1563,2051,2555,3232,3413,4212,5299,5535,6006,6777,7388,7858,8698,9252.0,9777.0,,,,
7,7,1441,1870,2343,2844,3592,3747,4572,5516,5815,6289,7137,7647,8114,8935,9478.0,10082.0,,,,
8,8,1640,2210,2654,3049,3812,4046,4875,5826,6044,6636,7403,8007,8371,9295,9838.0,10442.0,,,,
9,9,1832,2569,2926,3287,4171,4326,5204,6185,6366,6995,7762,8269,8730,9610,10177.0,,,,,
10,10,2136,2767,3180,3647,4494,4631,5550,6545,6716,7355,8047,8621,9090,9970,10446.0,,,,,
11,11,2329,3117,3510,3974,4810,4991,5910,6822,7076,7713,8371,8865,9403,10330,,,,,,
