,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,0,0,360,720,1080,1440,1800,2538,2948,3365,3903,4479,4964,5424,5923,6419,6938,7420,7903,8391,8894,9381,9864,10368,10846,11354,11839,12326,12813,13338,13819,14298,14800,15303,15796,16274,16760,17282,17766,18253,18734,19236,19728,20208,20697,21201,21706,22185,22677,23169,23684,24165,24647,25129,25656,26141.0,26590.0,27136.0,27622.0,28093.0,28593.0
1,1,183,558,909,1269,1638,1983,2772,3185,3608,4175,4721,5202,5662,6168,6669,7178,7658,8145,8636,9135,9619,10111,10607,11092,11595,12080,12567,13065,13578,14057,14543,15046,15546,16034,16514,17010,17523,18006,18491,18980,19478,19966,20448,20942,21449,21945,22425,22919,23418,23924,24403,24886,25381,25897,26379.0,26848.0,27378.0,27860.0,28334.0,
2,2,374,746,1100,1460,1823,2344,3009,3424,3862,4442,4963,5441,5908,6413,6921,7419,7898,8387,8883,9377,9859,10358,10847,11340,11837,12322,12809,13318,13819,14296,14790,15293,15790,16274,16756,17262,17764,18249,18731,19227,19722,20206,20691,21188,21696,22185,22669,23162,23668,24164,24643,25126,25635,26138,26619.0,27107.0,27620.0,28100.0,28580.0,
3,3,567,942,1293,1662,2052,2673,3246,3663,4121,4699,5202,5679,6154,6655,7168,7658,8139,8627,9127,9618,10100,10602,11086,11585,12077,12563,13050,13567,14058,14535,15034,15537,16032,16513,16997,17510,18004,18490,18971,19470,19964,20445,20933,21433,21940,22424,22912,23403,23915,24403,24884,25366,25884,26377,26858.0,27360.0,27860.0,28339.0,,
4,4,766,1135,1480,1891,2291,2961,3484,3902,4387,4949,5441,5918,6400,6901,7412,7897,8381,8870,9370,9858,10345,10844,11328,11828,12318,12804,13297,13812,14297,14777,15279,15781,16272,16753,17243,17755,18244,18730,19215,19713,20204,20685,21177,21680,22182,22664,23155,23649,24159,24642,25124,25613,26130,26616,27097.0,27608.0,28099.0,28578.0,,
5,5,962,1331,1676,2120,2556,3223,3722,4141,4653,5195,5680,6156,6645,7150,7654,8136,8623,9114,9612,10097,10590,11084,11573,12070,12559,13045,13546,14054,14536,15021,15525,16024,16512,16993,17491,17997,18485,18969,19460,19956,20444,20926,21421,21927,22422,22905,23397,23896,24400,24881,25364,25863,26373,26855,27341.0,27853.0,28338.0,,,
6,6,1161,1566,1914,2382,2853,3485,3978,4394,4915,5454,5919,6406,6901,7436,7910,8376,8873,9400,9880,10341,10858,11352,11818,12311,12809,13298,13795,14313,14804,15268,15770,16277,16751,17234,17762,18274,18726,19231,19713,20224,20739,21167,21680,22180,22662,23173,23656,24146,24662,25146,25611,26119,26638,27094,27589.0,28127.0,28603.0,,,
7,7,1387,1807,2170,2650,3145,3774,4249,4674,5213,5704,6229,6665,7193,7675,8181,8665,9144,9656,10130,10642,11123,11611,12098,12630,13086,13584,14087,14590,15081,15557,16047,16572,17049,17538,18006,18524,19015,19487,19981,20483,20998,21462,21966,22454,22972,23432,23933,24411,24948,25385,25873,26429,26900,27368,27881.0,28386.0,,,,
8,8,1586,2033,2408,2888,3422,4012,4470,4913,5452,5943,6466,6909,7432,7914,8420,8904,9383,9894,10369,10881,11362,11850,12337,12867,13325,13823,14326,14829,15320,15795,16286,16810,17288,17777,18245,18762,19254,19726,20220,20722,21231,21700,22205,22693,23211,23671,24172,24649,25187,25624,26112,26668,27139,27606,28120.0,28625.0,,,,
9,9,1824,2249,2646,3126,3691,4249,4708,5152,5691,6181,6704,7146,7672,8152,8658,9142,9629,10131,10607,11119,11600,12088,12575,13104,13563,14061,14564,15067,15558,16032,16524,17048,17526,18015,18497,18999,19492,19964,20460,20968,21469,21937,22443,22931,23449,23909,24410,24892,25425,25862,26353,26906,27377,27843,28361.0,,,,,
10,10,2062,2477,2886,3374,3971,4487,4946,5421,5936,6443,6942,7407,7912,8405,8900,9381,9881,10369,10863,11359,11844,12331,12841,13342,13812,14312,14815,15312,15796,16277,16786,17287,17770,18253,18749,19244,19730,20211,20710,21221,21707,22189,22687,23190,23687,24159,24649,25157,25663,26106,26629,27144,27615,28099,28612.0,,,,,
11,11,2300,2710,3125,3636,4230,4725,5184,5675,6178,6693,7180,7657,8151,8651,9140,9620,10126,10607,11110,11599,12085,12572,13092,13580,14056,14557,15060,15554,16034,16519,17036,17526,18012,18491,18994,19486,19968,20454,20954,21464,21945,22434,22928,23439,23925,24404,24887,25409,25901,26347,26887,27382,27853,28347,,,,,,
