,bunching,ploss,qloss,reward,reward1,reward2,avg_hold,action,wait,travel,delay,AOD,headway_mean0,headway_mean1,headway_mean2,headway_mean3,headway_mean4,headway_mean5,headway_mean6,headway_mean7,headway_mean8,headway_mean9,headway_mean10,headway_mean11,headway_var0,headway_var1,headway_var2,headway_var3,headway_var4,headway_var5,headway_var6,headway_var7,headway_var8,headway_var9,headway_var10,headway_var11
0,0,,,,,,86.79398148148148,,750.6357114388203,1533.1627408993577,1060.0160599571734,6.525825082873063,503.8095238095238,508.8,512.15,522.8947368421053,527.0555555555555,529.6666666666666,534.7777777777778,515.2941176470588,516.2352941176471,522.7647058823529,525.3125,531.7333333333333,40402.34467120181,32188.059999999998,48471.0275,32386.93628808864,51222.60802469135,33531.555555555555,46230.728395061735,23421.501730103806,36031.709342560556,23383.709342560556,36882.96484375,25636.595555555552
0,0,,,,,,86.72453703703702,,805.5487117552335,1518.2198697068404,1080.6433224755701,7.179288889129893,504.0,508.85,510.25,522.6842105263158,528.3888888888889,530.5555555555555,508.05882352941177,514.4117647058823,513.1764705882352,521.9411764705883,525.0625,531.2,45580.57142857143,35987.0275,54295.1875,36724.0055401662,57084.793209876545,38197.580246913574,42877.34948096886,27372.712802768165,42429.43944636679,27400.17301038062,42679.55859375,30102.42666666667
0,0,,,,,,86.60648148148148,,700.5049662296385,1496.5254329004329,1009.2435064935065,7.050184101672994,503.6666666666667,509.3,513.7,521.7368421052631,526.2222222222222,528.2777777777778,534.6111111111111,514.7058823529412,517.8823529411765,523.7647058823529,527.8125,533.0666666666667,36303.55555555556,28685.909999999996,45176.61,29437.141274238227,47868.5061728395,29272.08950617284,39927.015432098764,20345.854671280278,32330.69204152249,20242.179930795843,32675.02734375,21405.662222222225
0,0,,,,,,86.96990740740742,,741.9502982107356,1544.7935729847495,1074.4144880174292,6.627284726611226,503.57142857142856,508.55,511.15,522.2105263157895,528.1578947368421,529.8333333333334,534.6111111111111,515.7058823529412,516.4705882352941,524.4117647058823,525.0625,532.8,39197.959183673476,31824.347499999996,48064.8275,32354.271468144037,47586.76454293629,33331.02777777778,43802.34876543211,22963.031141868516,34858.01384083045,22892.359861591693,35781.68359375,25356.026666666665
0,0,,,,,,86.82638888888889,,741.5340953882538,1520.9176781002639,1066.9730870712401,7.001067142412986,502.23809523809524,508.25,510.25,521.1052631578947,527.2105263157895,528.1666666666666,534.1111111111111,515.5882352941177,514.5294117647059,523.2352941176471,525.8125,530.5333333333333,38616.181405895695,34346.2875,48406.5875,35074.19944598338,46955.32409972299,35538.916666666664,46662.543209876545,25219.301038062287,34905.42560553634,25243.59169550173,34922.77734375,27263.18222222222
0,0,,,,,,85.54861111111111,,701.1554756195044,1550.0391327340033,1074.1824431517716,7.486248131110575,503.42857142857144,507.9,515.65,523.8947368421053,526.7222222222222,529.3888888888889,534.1111111111111,514.5294117647059,515.7647058823529,523.6470588235294,525.9375,532.6,42020.14965986394,35331.490000000005,50550.4275,35663.6731301939,53991.53395061728,36687.015432098764,49798.765432098764,27179.307958477504,38978.29757785467,27653.87543252595,39621.05859375,30120.373333333333
0,0,,,,,,86.72685185185185,,728.3445736434109,1515.5807631991636,1055.2561421850496,6.929388656038285,504.3333333333333,512.1,519.0,523.1578947368421,525.8888888888889,529.8888888888889,533.2777777777778,511.47058823529414,514.5882352941177,520.5294117647059,524.4375,536.4666666666667,37053.841269841265,33239.29,44181.6,35160.4487534626,47987.87654320987,35575.98765432098,43593.75617283951,25815.66089965398,33162.12456747405,26504.13148788927,33585.62109375,27603.848888888882
0,0,,,,,,86.28935185185186,,780.2465808527755,1507.5154091392137,1088.885759829968,7.371443992480875,505.14285714285717,508.35,510.8,522.0526315789474,528.5555555555555,530.2777777777778,507.3529411764706,513.0,513.5294117647059,521.5882352941177,523.5,530.0666666666667,46744.02721088436,37619.427500000005,55637.259999999995,38733.62880886426,58156.58024691358,40287.86728395062,44995.757785467125,29082.941176470587,44096.955017301036,28304.948096885815,44125.0,30952.062222222226
0,0,,,,,,86.81018518518518,,698.7363041700736,1509.0960212201592,1040.8997347480106,6.667400006353472,502.7142857142857,510.45,514.4,523.6315789473684,527.8888888888889,530.5555555555555,509.47058823529414,513.5294117647059,514.2941176470588,520.8235294117648,523.5,529.3333333333334,39606.5850340136,35552.0475,48259.74,36683.811634349026,51731.43209876543,37221.469135802465,37019.30795847751,26588.131487889277,34615.85467128028,26950.262975778547,35338.625,29522.62222222222
0,0,,,,,,86.6574074074074,,813.8089758342923,1521.042948038176,1056.881230116649,6.248729167353722,506.6190476190476,511.9,518.25,520.1578947368421,526.0526315789474,529.8888888888889,533.7777777777778,513.3529411764706,515.7058823529412,521.8823529411765,526.5625,535.4,36737.378684807256,32148.190000000002,45178.3875,34201.501385041556,47187.523545706375,35732.32098765432,42076.061728395056,24561.40484429066,32661.38408304498,24351.162629757786,32698.99609375,25671.44
0,0,,,,,,86.625,,635.6734033953112,1477.2820512820513,1012.8637820512821,7.1793925278282,504.23809523809524,508.75,510.45,523.8947368421053,527.5555555555555,530.5,534.9444444444445,516.2941176470588,516.4705882352941,523.9411764705883,525.125,532.1333333333333,39072.37188208617,34225.6875,47071.447499999995,34022.30470914127,47371.46913580246,35927.47222222222,47592.608024691355,25115.9723183391,34818.48442906575,25522.64359861592,35721.359375,28163.448888888888
0,0,,,,,,85.12962962962963,,720.0688694267516,1500.6243213897937,1036.0238870792616,7.048745095197628,504.6190476190476,513.85,518.7,522.3684210526316,526.9444444444445,529.9444444444445,533.8333333333334,516.5294117647059,516.8235294117648,525.5294117647059,527.0,534.2,38414.426303854874,31642.027500000004,47297.71000000001,32522.337950138502,50457.496913580246,33175.608024691355,43605.472222222226,22925.543252595155,34697.79238754325,23024.01384083045,35965.25,25236.16
0,0,,,,,,86.62731481481481,,712.6667988893296,1500.1539690996271,1020.5908364411295,6.711062608280261,502.76190476190476,512.9,518.15,520.5263157894736,526.7368421052631,529.2222222222222,533.9444444444445,513.7058823529412,515.3529411764706,521.8823529411765,529.375,531.7333333333333,37783.32426303854,31858.79,45382.8275,33069.301939058176,45181.45706371191,33678.283950617275,45510.16358024692,26363.38408304498,35594.581314878895,25704.456747404845,34476.734375,26706.728888888887
0,0,,,,,,86.37962962962962,,763.3711967545639,1507.7580299785868,1034.627408993576,6.406392920384815,506.04761904761904,508.1,514.0,522.578947368421,528.3888888888889,531.1111111111111,506.4117647058824,510.8235294117647,512.4705882352941,519.5294117647059,523.75,531.6666666666666,42733.7596371882,39614.09,52588.2,40412.98060941828,54528.3487654321,42821.654320987655,39971.41868512111,31786.0276816609,39134.36678200692,31260.60207612457,39417.4375,33957.82222222222
0,0,,,,,,86.30555555555556,,602.7372027408303,1492.4957310565635,968.8660618996798,7.168402558006339,503.4761904761905,507.6,509.45,524.0526315789474,527.7222222222222,531.0555555555555,534.7777777777778,514.4705882352941,515.7058823529412,522.5294117647059,524.4375,531.5333333333333,44603.582766439904,35586.53999999999,53340.447499999995,35352.997229916895,52649.97839506172,37153.05246913581,49647.728395061735,27190.484429065742,41665.61937716263,27722.366782006917,42021.12109375,30133.18222222222
0,0,,,,,,86.5324074074074,,642.0051607780865,1525.4301587301588,1008.0074074074074,7.377482629648555,503.1904761904762,508.2,510.8,521.9473684210526,528.1578947368421,530.0555555555555,535.2777777777778,513.3529411764706,514.0588235294117,522.4117647058823,527.625,530.0666666666667,42833.678004535155,36228.16,52529.56,37518.049861495834,52057.18559556786,38809.16358024692,52948.86728395061,28107.169550173014,40764.40830449827,28000.595155709343,40183.484375,30251.395555555555
