,stw,sto,sth,att,Bus0_AOD,Bus1_AOD,Bus2_AOD,Bus3_AOD,Bus4_AOD,Bus5_AOD
0,323.1516393442623,7.860113035113036,86.24305555555556,530.6681034482758,569,496,485,478,515,481
1,304.2165898617512,6.86705238272987,91.47453703703702,507.94174757281553,497,448,428,426,457,423
2,335.21867321867325,6.109402187422321,86.62731481481482,519.4692307692308,457,415,374,372,404,362
3,299.14639639639637,5.707367795603091,89.65277777777779,552.3220338983051,515,379,330,347,378,295
4,293.48368522072934,5.862895622895623,89.36574074074075,522.0985626283367,550,376,314,329,360,271
5,393.3268156424581,6.105046591172109,87.15046296296298,539.2660208643815,587,384,308,345,369,208
6,3807.392446633826,4.431692161774362,78.63425925925925,546.9086576648133,668,677,536,480,482,320
7,5326.733183856502,0.8159667308168673,89.50925925925925,559.1801242236024,676,696,697,700,640,628
8,590.532584269663,0.6238805529736349,88.05324074074075,529.5217391304348,678,696,708,627,640,638
9,336.548275862069,0.5957676348547718,91.89814814814815,554.3661971830986,681,698,618,604,632,623
10,315.4959677419355,0.7803301237964236,87.31712962962963,533.6608695652174,649,650,576,572,606,582
11,313.9375,0.9995173327062784,92.33796296296298,534.7061403508771,612,553,510,524,567,532
0,288.85483870967744,7.874525474525473,89.4861111111111,470.0720338983051,593,509,482,448,487,484
1,299.174672489083,6.8626152232709625,88.52314814814815,527.1748878923767,510,468,434,399,442,431
2,300.7506172839506,5.49178332790723,89.29398148148148,516.9685863874346,454,427,393,357,370,388
3,279.1594827586207,5.01293165727496,87.8611111111111,527.8485523385301,472,417,385,319,355,359
4,312.3860369609856,4.762705715510701,89.15046296296298,538.65625,503,400,383,307,326,327
5,355.34927536231885,4.577082374597331,89.17361111111113,539.5480620155039,521,379,367,292,336,278
6,3138.097087378641,4.330644755701963,80.06018518518518,544.0102189781022,659,626,564,375,458,377
7,5081.2069716775595,0.7138438768927173,86.25,536.5792563600783,681,690,720,700,640,623
8,615.9764957264957,0.5555277430120985,91.15972222222221,531.9767981438515,679,702,720,624,640,630
9,314.9695945945946,0.638737060041408,88.42361111111113,540.8892857142857,677,693,629,612,628,625
10,338.74893617021274,0.8122420907840442,90.64583333333333,533.7083333333334,660,666,593,574,572,570
11,302.4977973568282,0.9808634510615487,89.40277777777777,516.3636363636364,635,546,543,498,530,522
0,319.7044534412955,7.620416590757273,90.56481481481482,516.6077586206897,566,496,505,512,485,430
1,273.73061224489794,6.9832891915752295,87.50925925925925,551.4181034482758,491,446,447,447,442,370
2,291.92271662763466,5.855166179947156,90.8425925925926,524.5770171149144,470,388,392,398,393,356
3,288.55852156057495,5.283354783354784,86.79166666666667,551.9006479481642,507,376,356,369,382,341
4,302.9377777777778,5.5206304176516925,91.98611111111113,531.6400966183575,569,391,336,357,383,314
5,408.64352856109906,6.034532180012478,83.98148148148148,542.6593920498831,598,391,294,327,366,262
6,3604.5903485254694,4.7313955795897105,80.27314814814815,564.117199391172,667,650,528,445,456,355
7,6337.231958762886,0.7400101139247752,85.41203703703702,546.1707818930041,685,698,692,715,624,617
8,505.3370786516854,0.5115726069931859,91.51157407407408,530.8846153846154,685,706,706,640,638,616
9,343.192439862543,0.6228072006261414,88.54166666666667,544.7472924187725,675,704,628,622,615,589
10,292.6212765957447,0.8017832647462277,91.29166666666667,515.3594470046083,648,661,610,614,584,528
11,302.93150684931504,0.8732988046823817,88.26851851851852,562.9565217391304,616,537,559,564,547,479
0,289.34234234234236,7.496758402108765,83.59027777777777,520.244131455399,599,491,481,437,446,443
1,306.5642201834862,6.4724117818606,94.31481481481482,531.9473684210526,505,429,421,384,416,385
2,299.26178010471205,5.593606289867973,84.00925925925925,545.9380053908355,458,390,367,332,376,324
3,283.7586956521739,5.141666666666667,92.50231481481482,522.3953488372093,481,375,337,303,354,310
4,312.1806981519507,5.006081092704408,85.10185185185185,553.4449244060476,514,358,338,298,358,287
5,418.9730305180979,4.935752846223743,92.34027777777777,556.2250755287009,545,342,331,273,361,266
6,3557.6927252985884,4.403534875613218,75.42592592592592,520.0697305863708,670,657,540,433,442,347
7,5209.535864978903,0.5991066020593582,90.41203703703702,515.326375711575,685,713,703,720,635,608
8,405.0525059665871,0.3137254901960784,86.82407407407408,502.3681592039801,703,719,719,640,640,608
9,336.79617834394907,0.38852579209217075,94.44444444444444,523.3150684931506,703,708,626,606,599,577
10,312.1464435146444,0.640622914349277,85.27777777777779,533.6727272727272,695,677,586,563,532,543
11,302.7920353982301,0.8257280440265993,94.52777777777777,539.6774193548387,656,537,527,506,489,489
0,278.53917050691246,7.6233050070306305,86.18981481481482,522.8061224489796,572,476,471,491,497,467
1,275.2938144329897,6.336358954551306,90.89583333333333,525.7459459459459,481,415,423,411,442,417
2,299.46153846153845,5.460650198471279,86.75925925925925,503.48571428571427,450,345,359,373,360,371
3,284.2792607802875,4.349394016442073,89.7986111111111,543.2946236559139,452,343,337,368,336,349
4,305.0191082802548,4.219070767831848,88.30787037037037,520.1438053097345,497,349,334,348,344,286
5,366.65046461758396,4.560616529364868,87.06712962962963,555.8206106870228,525,332,325,306,377,265
6,3524.922480620155,4.524633519721928,77.86805555555556,540.2049117421335,661,624,488,462,468,351
7,4753.3329506314585,0.7753436099931656,87.30787037037037,530.2669245647969,675,696,702,720,640,619
8,437.9733656174334,0.632355393382966,88.90972222222221,521.4769230769231,676,700,702,640,640,640
9,298.4645390070922,0.6584280848834163,90.9675925925926,554.9505703422053,664,696,602,619,619,617
10,302.01293103448273,0.8041173215273935,88.07407407407408,551.9439252336449,647,647,576,583,593,568
11,274.2054794520548,0.8833684475330964,91.99537037037037,554.4711538461538,601,524,523,538,545,514
0,315.8663967611336,7.362451536863,90.46527777777777,518.0301724137931,567,510,465,480,461,448
1,296.1548117154812,6.28557657461767,87.19675925925925,550.3201754385965,460,460,407,420,404,404
2,299.07466666666664,5.38845654993515,90.58564814814815,525.5165745856353,432,442,361,372,357,349
3,302.1612244897959,5.209671437482088,86.2986111111111,528.105376344086,466,410,345,331,329,316
4,305.3451882845188,5.333333333333334,90.82175925925925,546.1337868480725,530,404,344,306,324,288
5,425.02199413489734,6.190138642760347,86.50694444444444,525.4952606635071,583,405,343,271,311,259
6,2781.386160714286,5.249748288360853,80.46296296296298,549.8728875826598,665,683,581,388,391,348
7,6019.623130608175,0.7669884463362723,86.46064814814815,519.876893939394,679,710,720,708,626,605
8,463.3369803063457,0.3232320277688401,91.49305555555554,524.5771971496437,689,711,720,640,640,622
9,312.51724137931035,0.4872229465449804,87.88194444444444,522.0370370370371,681,697,625,622,615,595
10,324.1857707509881,0.6430854605993341,91.48148148148148,493.29411764705884,645,679,593,593,547,547
11,314.4974093264249,0.8028341530518024,87.90277777777779,516.8453038674033,614,563,524,537,504,507
0,315.6398305084746,7.604617795997106,88.58796296296298,528.2237442922375,595,489,485,500,485,462
1,296.29411764705884,6.800039251969608,90.06712962962962,497.6296296296296,500,436,419,463,420,404
2,311.5615384615385,5.791211550533585,88.21527777777777,529.029810298103,472,381,354,409,382,362
3,285.7874186550976,5.251699510213442,88.67824074074075,540.742596810934,491,368,329,390,354,329
4,278.48093220338984,4.893393393393394,90.0300925925926,532.0734966592428,490,375,339,388,324,304
5,379.885593220339,4.7692025087254315,85.9837962962963,536.4973262032086,528,378,324,370,306,251
6,3758.022544283414,4.872946714743589,80.83333333333333,558.3335866261398,664,672,506,504,396,330
7,5682.056666666666,0.8928257924164646,88.68981481481482,555.5748031496063,676,703,693,716,633,610
8,539.2588495575221,0.6399295926996673,89.57175925925925,523.7542168674698,678,712,697,640,640,621
9,325.5529010238908,0.6444209440288883,90.38194444444446,528.4982078853046,676,705,614,633,630,619
10,292.40157480314963,0.7266446644664467,89.28472222222221,542.0379746835443,656,653,562,597,604,564
11,307.625,0.7451381276711048,90.18981481481482,574.1894736842105,638,529,526,548,552,521
0,288.0539419087137,7.695443689711855,95.02083333333333,494.5947136563877,569,451,478,474,488,471
1,286.1776859504132,6.300348113907436,83.13425925925925,533.0464135021097,474,411,423,417,441,430
2,288.17906336088157,5.286329623341509,95.25925925925925,524.8828571428571,452,378,375,378,397,376
3,279.7360178970917,4.521452877644624,82.24537037037038,543.3649289099526,443,373,352,367,356,362
4,281.89330543933056,4.633328077644051,96.61342592592592,525.1600877192982,488,379,323,351,329,284
5,345.2612275449102,5.096265648963868,80.12500000000001,529.5801282051282,532,373,285,325,321,280
6,2794.4725918041513,4.5227900912646675,86.1550925925926,538.7789473684211,659,614,427,462,406,382
7,5241.127155172414,0.7357606037048977,79.125,522.9980430528376,680,698,688,720,640,631
8,352.8696741854637,0.5385033414114708,97.68981481481482,526.5275590551181,679,705,701,640,640,640
9,311.1013986013986,0.6920930232558139,83.37731481481482,534.3442028985507,658,670,591,620,630,615
10,270.6857142857143,0.8293679458239277,96.28935185185185,533.4323144104803,638,638,555,573,572,568
11,296.1111111111111,0.9136863405544207,83.75694444444444,527.01,596,510,526,523,517,515
0,292.85714285714283,7.835378414688758,84.34722222222223,505.8821138211382,615,484,460,461,524,501
1,284.94736842105266,6.601365973342154,92.55324074074075,522.8740458015267,513,434,423,414,468,435
2,292.7640750670241,6.252357523575237,84.52546296296296,528.3022598870057,484,384,367,380,441,383
3,295.5793991416309,5.91355888760733,90.9675925925926,554.0185614849188,503,367,352,363,404,323
4,310.42477876106193,5.395736777679287,85.85416666666667,559.0578703703703,513,367,329,365,409,252
5,388.7721606648199,5.905392685980743,89.29398148148148,535.9043736100815,555,358,315,327,398,232
6,3657.0811415780636,5.077167432313557,73.51157407407408,540.6862123613312,666,650,538,476,530,288
7,5536.759259259259,0.7242986649399127,90.5949074074074,533.9922027290448,684,701,693,706,640,615
8,607.0948275862069,0.3213162541145168,86.09722222222221,528.622641509434,695,709,696,636,640,633
9,295.79194630872485,0.4720939839917377,92.51388888888887,518.6476868327402,689,706,600,616,635,627
10,326.0681818181818,0.6027397260273972,85.6111111111111,567.334693877551,668,670,544,574,605,589
11,299.9382716049383,0.9227427476022431,93.12962962962963,550.9741379310345,640,533,497,510,561,538
0,294.552036199095,7.797883021835117,86.59027777777777,492.05164319248826,608,475,485,482,483,473
1,285.8,6.734866286225802,91.67592592592592,479.3611111111111,501,431,437,433,432,414
2,306.2480818414322,5.5992163448082835,85.95370370370371,495.072972972973,466,377,397,396,380,366
3,291.2711111111111,5.3226556167601276,90.31481481481482,570.5542452830189,482,352,359,365,363,318
4,306.91379310344826,4.69376777332374,88.07407407407408,539.0302325581396,502,345,341,337,345,292
5,364.0337154416723,6.024478290520572,87.81944444444444,544.5391304347826,563,319,326,305,327,235
6,3950.4959216965744,4.740406447266649,76.74305555555556,531.3289371605896,665,631,528,473,445,341
7,5195.994311717861,1.0789554413682034,90.06944444444446,529.5627450980393,671,687,697,709,631,617
8,406.3916083916084,0.6794928497714874,88.64583333333333,512.9752475247525,678,689,712,640,640,631
9,337.10702341137124,0.758590956887487,91.66435185185185,526.5298245614035,670,679,612,618,607,618
10,316.469696969697,0.8346922862712336,88.16898148148148,507.6311475409836,655,649,586,580,561,560
11,303.46610169491527,0.9108280654618045,92.35416666666667,542.4844444444444,619,531,529,545,523,504
0,287.53688524590166,7.79735001840265,85.8125,513.7725321888412,576,490,507,460,475,456
1,284.6611570247934,6.232770745428972,91.74768518518518,508.95726495726495,487,431,441,419,427,402
2,323.97014925373134,4.618330194601381,85.72916666666667,509.0731070496084,458,386,388,387,376,365
