,stw,sto,sth,att,Bus0_AOD,Bus1_AOD,Bus2_AOD,Bus3_AOD,Bus4_AOD,Bus5_AOD
0,236.5187969924812,11.902426953459598,0.0,171.6639344262295,265,282,261,238,196,259
1,246.28346456692913,9.662848689771767,0.0,205.76991150442478,227,247,232,221,175,250
2,269.52358490566036,8.063873852671218,0.0,220.8950276243094,210,222,208,198,146,230
3,255.672,7.990467232701205,0.0,221.11353711790392,226,206,195,176,92,262
4,279.86301369863014,8.292238936123828,0.0,228.9848484848485,227,198,179,144,78,286
5,345.98552821997106,9.74477186311787,0.0,252.07705192629817,229,186,152,128,60,297
6,617.5648769574944,9.716005976971083,0.0,209.53677419354838,389,258,210,177,84,350
7,623.8329571106095,5.138992263623591,0.0,160.95641025641027,439,372,364,353,166,395
8,312.7886597938144,2.7250688705234163,0.0,148.30337078651687,356,379,393,377,274,399
9,267.6458333333333,2.9228779946057437,0.0,174.20325203252034,350,369,378,340,264,400
10,257.35632183908046,3.1605269937069886,0.0,211.80519480519482,332,336,350,305,246,305
11,266.7739130434783,3.112745604429661,0.0,202.17821782178217,301,284,311,272,223,278
0,267.731884057971,13.12870945479641,0.0,187.87826086956522,287,293,270,289,307,164
1,306.70642201834863,11.695053279043579,0.0,195.14563106796118,279,274,230,260,211,104
2,264.22857142857146,10.181324014754416,0.0,215.35802469135803,265,246,194,236,189,82
3,272.2599118942731,8.95007326774126,0.0,248.21052631578948,276,207,173,216,172,80
4,300.3813953488372,9.230398340481598,0.0,237.8556701030928,303,212,157,162,174,73
5,378.7772988505747,8.962699661181027,0.0,250.5650741350906,306,216,120,153,176,62
6,489.20022123893807,10.66672669563064,0.0,229.57534246575344,409,303,163,195,278,85
7,707.7405764966741,5.447715640700568,0.0,160.9840425531915,433,380,384,333,372,159
8,300.1871921182266,3.873647711511789,0.0,139.69189189189188,357,400,398,381,391,236
9,286.5820895522388,4.415629984051036,0.0,165.03149606299212,351,395,379,370,376,219
10,267.6509433962264,4.162051282051283,0.0,171.66326530612244,338,378,348,345,344,197
11,252.01063829787233,4.17213847012842,0.0,189.4022988505747,306,339,309,325,330,182
0,257.6639344262295,13.810188261351053,0.0,179.34821428571428,276,318,270,166,276,242
1,257.59504132231405,11.623186658629697,0.0,202.4,274,289,231,152,251,225
2,221.44907407407408,10.139675722627034,0.0,216.63589743589745,264,256,201,126,176,196
3,239.79910714285714,8.184798470286317,0.0,227.41624365482232,263,232,194,112,170,198
4,222.39574468085107,7.6208001654088715,0.0,230.76303317535545,279,213,171,102,169,204
5,241.97088791848617,5.6940298507462686,0.0,245.3371710526316,273,200,117,96,172,214
6,487.6792668957617,7.918302945301542,0.0,214.9037711313394,403,259,152,128,238,292
7,457.3855421686747,4.999562814227275,0.0,146.5127478753541,432,396,312,199,328,399
8,308.3796296296296,3.9288458510470785,0.0,146.59162303664922,353,400,382,233,351,398
9,263.4366197183099,4.169501466275659,0.0,165.968,346,393,361,222,350,374
10,230.03603603603602,4.575606375606376,0.0,184.14563106796118,337,371,333,200,328,355
11,242.14655172413794,4.734967227130236,0.0,186.0,306,343,297,181,305,262
0,269.98473282442745,12.749054820415875,0.0,164.29310344827587,321,305,233,305,251,172
1,270.109375,10.55719183419043,0.0,192.40350877192984,305,269,206,272,218,156
2,277.4492753623188,8.387522136600776,0.0,208.672131147541,273,247,183,240,149,137
3,288.93150684931504,8.355987055016179,0.0,233.0,287,248,156,178,136,128
4,294.12442396313367,7.096179183135705,0.0,239.3502538071066,289,249,140,163,140,123
