,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0,0,360,720,1080,1440,1800,2392,2988,3450,3833,4257,4615,5182,5775,6314,6732,7171,7520,8009,8558.0,9117.0,9612.0,10046.0,10456.0
1,1,189,543,909,1275,1626,1986,2618,3214,3682,4069,4491,4853,5409,6001,6543,6967,7405,7758,8240,8786.0,9345.0,9843.0,10280.0,10691.0
2,2,383,734,1106,1475,1866,2225,2844,3442,3916,4307,4727,5092,5639,6229,6773,7203,7641,7998,8473,9016.0,9575.0,10076.0,10516.0,
3,3,567,939,1305,1674,2103,2464,3070,3669,4149,4544,4962,5330,5868,6456,7002,7438,7876,8237,8706,9245.0,9804.0,10307.0,10750.0,
4,4,769,1129,1501,1912,2338,2702,3296,3896,4381,4781,5198,5568,6098,6683,7231,7673,8111,8475,8939,9475.0,10033.0,10538.0,,
5,5,959,1319,1739,2148,2573,2940,3523,4122,4613,5017,5434,5806,6328,6910,7460,7907,8346,8713,9172,9705.0,10262.0,10769.0,,
6,6,1188,1554,2001,2384,2823,3178,3791,4390,4857,5276,5670,6044,6599,7178,7701,8141,8581,8951,9446,9979.0,10524.0,,,
7,7,1405,1819,2281,2640,3082,3419,4050,4640,5164,5550,6001,6321,6855,7413,7975,8451,8870,9276,9720,10238.0,,,,
8,8,1616,2063,2514,2881,3317,3659,4275,4867,5394,5787,6235,6561,7085,7642,8203,8684,9106,9512,9954,10469.0,,,,
9,9,1811,2296,2747,3118,3551,3897,4500,5093,5623,6023,6468,6800,7314,7870,8430,8915,9340,9747,10187,10699.0,,,,
10,10,2007,2528,2981,3356,3786,4136,4726,5320,5853,6259,6702,7040,7545,8099,8658,9147,9575,9983,10421,,,,,
11,11,2201,2758,3215,3594,4021,4375,4953,5547,6083,6495,6936,7280,7776,8328,8887,9379,9810,10219,10656,,,,,
