,stw,sto,sth,att,Bus0_AOD,Bus1_AOD,Bus2_AOD,Bus3_AOD,Bus4_AOD,Bus5_AOD
0,324.2560975609756,19.41741440377804,[104.87618],2064.6984126984125,160,184,116,127,127,133
1,317.075,16.31462634486769,[120.588806],1864.5373134328358,138,115,109,121,128,113
2,315.50314465408803,13.14769785865558,[128.79875],1949.496183206107,120,111,109,106,122,103
3,344.84177215189874,10.413061851709566,[118.74215],2053.7651515151515,123,125,101,103,144,89
4,300.0,9.324324324324325,76.8029244740804,1865.3870967741937,94,138,99,99,155,81
5,411.8287937743191,9.282546494992847,[118.316475],2018.719160104987,106,146,103,110,170,64
6,1702.6695501730103,6.080338125665602,[81.67852],2768.9002770083102,169,194,164,182,141,89
7,2101.069306930693,1.18,[117.087395],3072.842857142857,212,214,224,240,160,150
8,838.6486486486486,0.9483606557377049,[128.37512],2377.5714285714284,215,214,231,240,160,160
9,388.64772727272725,0.9262848751835535,[134.80212],1819.1875,213,217,235,155,160,155
10,311.6818181818182,1.1163398692810453,[140.9583],2025.8059701492537,203,207,227,136,143,155
11,301.0987654320988,0.8653039017565677,[103.10428],1882.241935483871,183,194,130,134,137,141
0,356.8137254901961,20.31914016489988,[124.39825],2094.3555555555554,169,197,102,147,124,110
1,330.6835443037975,16.92300063752922,152.38431,2038.5396825396826,182,110,92,134,126,99
2,329.47058823529414,13.175515882216553,[112.66919],1870.7083333333333,172,93,84,114,123,95
3,343.18055555555554,11.647917746673578,100.172295,1836.5126050420167,130,105,80,110,128,90
4,380.68823529411765,10.839506172839506,[90.90549],2169.9856115107914,141,107,75,102,142,81
5,545.5838383838384,11.303405572755418,103.3113,2353.4692874692873,165,112,66,98,158,47
6,1953.9507640067911,7.524801587301587,[122.06106],3017.124203821656,184,196,178,164,147,76
7,2253.6156351791533,2.2416950596252128,[128.17792],3417.028368794326,199,217,208,240,160,150
8,1552.2298850574712,1.4773294509151413,[73.87979],2878.490566037736,206,222,214,240,160,160
9,446.659793814433,1.4849854530340814,[122.062256],2048.6666666666665,205,224,214,240,160,160
10,309.2409638554217,1.6870370370370371,[141.68779],1837.2903225806451,196,221,208,160,151,144
11,308.6923076923077,1.8407185628742517,124.820435,2128.6,195,206,182,155,139,125
0,307.24,20.859353348729794,[118.66364],1990.2619047619048,172,173,153,122,113,133
1,368.89156626506025,18.21090584028605,[117.35389],1820.0,151,166,161,124,114,123
2,373.8243243243243,14.997160952172958,[120.730316],2110.8823529411766,148,110,160,101,98,106
3,393.0308641975309,13.851515151515153,[102.36799],2087.664335664336,95,109,169,82,110,95
4,376.80379746835445,10.353513426595917,[125.230705],2062.9663865546217,106,100,179,81,124,101
5,423.16735537190084,9.666666666666666,[116.920235],2047.9769820971867,119,89,185,92,134,89
6,1691.5568,6.681309765285424,[121.689186],2808.3784615384616,172,131,211,178,215,108
7,2098.015060240964,2.1247263751106145,[100.86368],3158.940789473684,200,209,240,214,240,160
8,450.46753246753246,1.1454248366013071,[141.97911],2265.5833333333335,206,219,240,239,160,160
9,545.4766355140187,1.4402144772117962,[78.83927],2436.3125,198,211,240,158,152,160
10,364.87179487179486,1.7727699530516432,[120.447914],2098.1774193548385,182,198,240,151,140,154
11,377.8024691358025,1.9642471042471046,[112.77343],2035.0579710144928,174,189,155,135,126,146
0,307.0897435897436,20.01842105263158,[124.90661],1639.2307692307693,179,190,107,136,123,120
1,304.38461538461536,16.538819875776397,[96.47318],1800.0875,178,163,99,126,129,110
2,301.82666666666665,12.53978201634877,[109.30169],1843.6747967479675,161,152,90,100,132,99
3,334.4625850340136,11.034678533067362,[84.47114],1915.22131147541,181,104,86,97,128,90
4,318.0921052631579,9.619397839577108,[80.59396],2075.603305785124,198,97,84,91,122,95
5,336.71656686626744,9.0844732977819,111.406624,1997.7682619647355,205,97,74,83,136,86
6,1362.0857142857142,7.0703933747412,[99.04541],2753.5684210526315,184,175,142,127,202,136
7,2624.619469026549,2.7708385902935486,[70.098526],3401.080882352941,189,207,214,231,240,240
8,749.91875,1.7906966065114571,[117.16532],2309.5737704918033,196,215,230,240,240,160
9,447.06666666666666,1.829728612756578,[106.57346],2025.2941176470588,193,220,230,239,240,159
10,322.7317073170732,1.878535683202785,[102.28595],1831.3030303030303,193,217,215,228,141,155
11,323.83116883116884,1.8677269715043079,[80.87125],1880.3666666666666,190,203,198,149,131,135
0,368.41379310344826,19.691885441527447,[93.859344],2086.5416666666665,163,196,128,113,115,123
1,403.7931034482759,16.36622306717363,[114.21053],2092.152777777778,174,168,118,104,102,123
2,394.568,13.863721804511277,[93.30978],1955.4259259259259,182,96,93,90,97,114
3,393.90909090909093,12.7683125339121,[131.17284],1865.798611111111,207,99,83,95,88,107
4,329.3181818181818,9.750568678915133,[104.85876],1866.0642857142857,151,110,85,96,84,109
5,524.5744234800839,9.709160571229537,[79.5804],2109.1948717948717,174,99,92,93,75,105
6,1621.966966966967,8.366238449402749,[98.31974],2888.7172236503857,184,199,189,134,108,172
7,1549.8513119533527,1.275695485590538,[97.887665],2783.813559322034,204,227,226,228,229,220
8,428.0609756097561,1.190034814848307,[122.32101],1932.2131147540983,200,230,238,240,240,153
9,527.7395833333334,1.0628803245436105,[107.79557],1997.9142857142858,201,237,238,237,238,154
10,376.81609195402297,1.1957627118644067,[94.720215],2027.873015873016,200,231,237,220,151,141
11,332.719298245614,1.6074291300097747,[81.62475],1996.7948717948718,188,218,220,132,133,132
0,281.125,23.121711020899113,[131.70757],2049.560606060606,108,130,131,109,143,118
1,356.6082474226804,19.447293447293447,[128.31615],2091.3132530120483,104,120,129,104,144,101
2,342.29007633587787,14.850152905198772,[146.00108],2010.4859813084113,102,113,124,96,134,85
3,306.0658682634731,14.831495405179616,[126.00637],2183.6478873239435,107,119,136,88,140,75
4,363.8562874251497,10.317949944205322,151.98143,2066.688524590164,118,114,145,106,148,66
5,480.62745098039215,10.926587301587302,[115.60366],2422.8772845953004,135,111,135,107,111,31
6,2270.235576923077,7.41452772073922,141.21275,3000.0301886792454,184,177,194,198,143,78
7,2225.419254658385,1.4293639053254439,134.54941,3229.8432835820895,204,226,225,219,160,149
8,697.8169934640523,0.9251819505094616,[116.67175],2442.6306306306305,208,235,236,146,160,160
9,494.44827586206895,1.1087719298245613,[154.82875],2199.8285714285716,205,230,240,146,160,159
10,360.3380281690141,1.498001998001998,[141.10487],2281.4827586206898,196,208,157,137,152,151
11,448.46774193548384,1.6961389961389963,[138.15987],2311.804347826087,189,194,148,121,141,132
0,333.20652173913044,19.740246768507635,151.38399,1806.8219178082193,159,179,129,125,135,124
1,377.03921568627453,16.795766590389015,[120.6766],2107.6511627906975,154,103,123,117,121,118
2,327.0,13.032039953899348,[84.9993],2084.777777777778,153,87,112,104,121,108
3,375.8079470198675,11.473027021753976,153.58763,1959.9924812030076,122,83,109,96,124,69
4,279.49640287769785,10.177464534200777,[111.53464],1883.449152542373,129,82,126,103,135,76
5,423.44397463002116,8.142791594016703,[115.555695],2160.3614775725596,126,75,132,103,125,80
6,1573.4573170731708,6.38593974175036,[117.75845],2682.702005730659,169,128,173,178,218,118
7,2207.264214046823,1.5637510425354462,[93.949646],3125.4375,208,221,210,240,160,160
8,773.9751552795032,0.6298701298701299,[135.23668],2220.314814814815,214,228,230,240,160,160
9,343.60674157303373,0.8693181818181818,[137.84941],2127.3888888888887,207,229,230,235,160,160
10,329.70526315789476,0.9943775100401604,[131.4352],2001.128205128205,204,213,214,143,152,153
11,305.88461538461536,1.1903645833333332,[117.42285],2063.2051282051284,190,199,205,137,147,146
0,316.44303797468353,21.554799546394506,146.06454,1949.6307692307691,167,112,102,145,134,129
1,362.84090909090907,17.30804953560371,163.79564,2074.3333333333335,167,112,103,127,118,121
2,321.8333333333333,13.852201257861635,[106.146645],1997.0564516129032,102,97,90,122,110,115
3,315.5842696629214,10.675638371290546,[144.21614],2127.5703703703703,121,96,81,126,109,111
4,361.1,10.762460672296736,[136.7685],2165.4244604316546,137,90,79,136,100,129
5,495.7581300813008,9.677749360613811,[118.96091],2184.4143222506395,156,90,90,146,101,84
6,1984.1422087745839,5.602437933348244,146.38416,3064.692857142857,183,192,167,223,156,131
7,2144.9837662337663,2.8656462585034013,[120.01169],3444.4306569343066,189,218,209,240,160,160
8,719.931506849315,2.314508393285372,[129.61983],2383.6283185840707,193,224,215,160,160,160
9,338.3736263736264,2.363963963963964,[90.861725],2222.5333333333333,193,225,213,160,159,160
10,295.0853658536585,2.165622032288699,[146.85535],2205.873015873016,185,211,200,158,148,151
11,345.46268656716416,2.641420118343195,[108.36837],1982.9827586206898,183,122,110,151,141,138
0,416.4025974025974,21.23057644110276,[113.52091],2141.7272727272725,181,132,110,117,146,112
1,384.06666666666666,16.755342033558012,[147.96944],2197.1267605633802,186,113,110,101,121,103
2,391.50359712230215,13.793952180028127,[102.16848],2141.5564516129034,125,104,100,100,113,90
3,460.0566037735849,12.761345852895149,[134.14468],2226.7734375,152,101,103,102,109,72
4,433.77027027027026,12.7207319092565,[97.36951],2002.918181818182,169,109,88,114,116,75
5,599.6077586206897,12.557304611985638,[113.11373],2338.6480446927376,169,122,80,121,116,31
6,1615.5208655332303,10.029910269192422,[123.8815],2998.735042735043,182,197,179,190,198,57
7,2153.439528023599,2.357051282051282,[138.92809],3114.9685534591194,200,227,200,240,151,152
8,490.0258064516129,1.0150264873675632,[132.74742],2056.837398373984,206,237,224,240,160,160
9,467.06382978723406,1.271976401179941,129.31273,2154.805194805195,204,236,210,160,160,160
10,408.2,1.2841776110068794,129.07509,2242.8636363636365,201,219,200,146,156,144
11,334.3975903614458,1.7624257580493903,[143.43013],1922.5774647887324,191,197,119,127,149,131
0,318.734693877551,18.21282051282051,[82.009514],1991.875,160,172,100,114,123,111
1,318.97196261682245,15.213456464379945,[123.54569],2056.443181818182,159,171,94,113,120,101
2,297.00671140939596,11.82373823120852,[104.044685],1901.4328358208954,161,103,92,114,112,100
3,310.6612021857924,10.992977422034283,119.344215,1969.5633802816901,167,113,93,107,116,101
4,321.8176100628931,8.647517730496457,[106.26931],1911.3587786259543,139,122,97,108,124,115
5,483.5,7.731759006963366,[98.23063],2058.1357340720224,157,129,105,99,125,119
6,1514.777397260274,5.638552773451539,[113.467705],2727.3076923076924,188,198,188,114,189,105
7,1865.724358974359,2.3910969793322736,[131.30092],3014.897435897436,200,216,240,202,240,160
8,535.2012195121952,1.2252475247524752,[111.72018],2228.0647482014388,205,225,240,222,160,160
9,313.2093023255814,0.6916905151267375,[111.61914],2017.2857142857142,211,235,240,228,154,155
