,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0,0,360,720,1080,1440,1800,2464,2886,3348,3810,4259,4758,5242,5710,6228,6635,7081,7594,8061,8551.0,9020.0,9553.0,9945.0,10409.0
1,1,186,558,906,1272,1626,1986,2698,3133,3590,4005,4461,5003,5444,5988,6450,6877,7304,7851,8303,8798.0,9245.0,9744.0,10142.0,10694.0
2,2,374,743,1091,1466,1817,2273,2934,3379,3784,4256,4720,5203,5710,6196,6665,7111,7576,8060,8515,9030.0,9510.0,9950.0,10407.0,
3,3,558,942,1287,1671,2054,2573,3183,3580,4068,4470,4990,5462,5918,6447,6875,7413,7864,8259,8748,9224.0,9735.0,10162.0,10610.0,
4,4,748,1141,1486,1873,2316,2855,3400,3855,4294,4703,5218,5661,6216,6661,7166,7624,8122,8519,8968,9461.0,9928.0,10413.0,,
5,5,947,1340,1685,2143,2551,3069,3605,4065,4512,4948,5436,5913,6436,6923,7364,7831,8349,8771,9230,9699.0,10195.0,10686.0,,
6,6,1185,1596,1950,2433,2804,3334,3861,4333,4753,5213,5710,6145,6713,7185,7632,8087,8587,9033,9485,9996.0,10442.0,,,
7,7,1429,1840,2218,2728,3096,3623,4114,4589,5057,5502,5963,6452,6951,7447,7912,8364,8876,9307,9803,10285.0,10698.0,,,
8,8,1637,2081,2473,2942,3334,3834,4351,4835,5274,5722,6213,6669,7181,7677,8120,8596,9090,9521,10041,10508.0,,,,
9,9,1830,2279,2668,3161,3605,4032,4624,5054,5476,5991,6423,6886,7394,7881,8330,8827,9336,9725,10251,10712.0,,,,
10,10,2062,2473,2943,3369,3822,4278,4825,5253,5771,6194,6680,7158,7656,8082,8597,9055,9539,9951,10462,,,,,
11,11,2267,2674,3145,3586,4027,4513,5042,5477,5969,6422,6882,7357,7861,8337,8802,9294,9741,10173,10727,,,,,
