,stw,sto,sth,att,Bus0_AOD,Bus1_AOD,Bus2_AOD,Bus3_AOD,Bus4_AOD,Bus5_AOD
0,222.76842105263157,16.03593600764088,[47.538883],1768.6823529411765,172,174,162,186,180,173
1,239.77319587628867,12.579131652661063,[44.004948],1773.2133333333334,157,158,149,181,156,151
2,229.7593984962406,10.599843790679513,49.041622,1478.1680672268908,149,145,151,165,135,90
3,243.16763005780348,7.182021004516515,[49.695072],1632.063694267516,148,141,141,153,131,85
4,228.50632911392404,5.58237906052816,[44.94829],1651.5958904109589,149,156,140,154,91,88
5,237.59143968871595,3.4122382278174563,[62.261448],1623.4805491990846,149,144,126,138,101,93
6,403.01574803149606,2.388380421806606,[57.18715],1667.1177536231885,215,216,192,162,146,146
7,1140.4632587859426,1.2903128214436983,[32.637695],2208.2261306532664,291,298,289,237,219,240
8,278.5974842767296,0.9073770491803279,[24.825808],1512.4518518518519,296,314,213,240,222,240
9,241.59322033898306,0.9887700534759358,[41.373814],1566.9072164948454,289,307,205,238,224,233
10,213.70873786407768,0.9263470480209433,[24.734222],1639.7303370786517,274,220,194,220,218,221
11,241.1931818181818,1.1524767801857585,[36.326],1591.1384615384616,250,191,180,199,204,200
0,216.9,15.971844736019992,[47.516865],1460.0879120879122,166,177,192,187,172,173
1,236.91397849462365,12.031044905008635,[20.976036],1563.1038961038962,143,158,165,178,166,155
2,223.97241379310344,9.08510300270084,41.484364,1629.7380952380952,132,152,145,150,142,100
3,225.4254143646409,6.06465447917225,[50.062763],1569.5844155844156,127,150,147,138,145,104
4,210.56774193548387,3.8650717703349278,[63.78011],1527.4074074074074,133,140,143,142,103,99
5,232.87819253438113,3.2703094777562867,[75.71166],1596.5357967667437,131,147,141,128,106,99
6,413.45904173106646,2.412788344799676,[38.26211],1725.6270871985157,199,213,199,150,155,143
7,1213.7269736842106,1.6396396396396395,22.317854,2271.7989130434785,279,301,293,231,226,224
8,305.48275862068965,0.9301843317972349,[30.985857],1614.9586206896552,285,316,224,234,232,228
9,241.09174311926606,1.1052298467688209,[41.854305],1497.7777777777778,286,315,213,237,228,222
10,235.26923076923077,1.0244304791830323,[35.23865],1733.0736842105264,275,208,213,221,211,212
11,264.2608695652174,1.33919053964024,[33.488827],1654.754716981132,260,196,210,208,192,198
0,232.8804347826087,16.097495894909688,[37.926098],1557.1818181818182,169,159,169,163,166,189
1,225.19230769230768,12.763626834381553,[64.25764],1576.5697674418604,159,151,164,151,159,170
2,227.25786163522014,9.861276004064388,[47.87759],1593.5285714285715,142,137,152,139,142,101
3,225.30898876404495,7.242948038176033,[41.88116],1694.6971830985915,151,146,155,125,145,98
4,208.3,5.978694995936375,[46.93774],1545.1655172413793,156,154,152,122,99,100
5,237.5663157894737,3.890862351016592,[61.460285],1607.3737373737374,165,147,143,120,94,109
6,287.5414551607445,2.5879604672057503,[47.426266],1613.958742632613,209,190,203,135,152,171
7,912.1661538461539,2.1352201257861627,[31.893621],2126.6398305084745,264,275,299,210,207,229
8,499.3809523809524,1.3319156061620898,[34.04948],1935.8292682926829,283,303,222,223,223,239
9,269.6125,1.413200540175557,[38.199764],1647.2985074626865,285,301,221,220,217,237
10,247.04040404040404,1.6869328493647913,[54.314484],1662.5813953488373,263,195,203,191,202,222
11,238.28358208955223,2.1824384192805244,[42.17702],1640.5964912280701,238,171,195,184,186,214
0,264.19565217391306,16.328170028818445,[41.242916],1547.2168674698796,143,155,201,177,180,185
1,239.29268292682926,13.505045233124566,[48.041046],1575.057142857143,127,138,187,159,165,182
2,251.9090909090909,11.590366581415173,[48.1127],1692.9237288135594,119,128,174,129,145,121
3,201.53691275167785,8.658085188663609,[44.80752],1511.832,121,122,167,123,139,115
4,230.92105263157896,5.538422903063788,[44.38103],1649.4341085271317,117,122,158,124,92,111
5,233.3862660944206,3.15038961038961,[61.091446],1593.5049504950496,115,120,140,129,97,99
6,338.87301587301585,2.443168222062695,36.226192,1731.672932330827,170,176,207,163,132,147
7,1087.1292307692308,2.6060133268324392,[26.702278],2210.6968325791854,267,261,280,220,205,232
8,356.70198675496687,1.9439230249831194,38.275192,1596.2460317460318,278,286,225,231,221,240
9,286.8440366972477,1.919773817683344,37.0119,1700.8431372549019,273,290,220,218,222,236
10,233.69620253164558,1.89306346866409,40.389782,1675.3676470588234,260,190,217,217,211,226
11,250.4814814814815,1.6428602783020938,[38.622303],1487.9558823529412,224,175,203,200,194,203
0,228.37362637362637,15.08584238236262,[44.000134],1563.3170731707316,163,156,185,168,162,179
1,229.36559139784947,11.99890696047569,[44.662415],1690.5584415584415,163,151,173,155,151,160
2,228.94405594405595,9.535403726708076,[39.376522],1564.4344262295083,142,132,155,134,146,96
3,233.42690058479533,6.311014872642316,[46.373108],1750.8402777777778,139,130,142,120,142,90
4,228.19108280254778,4.276634007193352,[65.1789],1726.6692913385828,151,129,134,130,90,99
5,237.83,3.02033329187912,[59.8951],1553.8666666666666,139,133,127,135,96,101
6,283.58784893267654,2.118889039916633,[36.00088],1600.2887189292544,198,215,198,145,143,152
7,1144.1396825396826,1.9835753317720533,[17.552284],2220.8844444444444,267,297,305,211,220,225
