,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,0,360,720,1080,1440,1800,2576,2997,3396,3926,4508,4992,5457,5954,6474,6955,7433,7966,8452.0,8922.0,9409.0,9924.0,10408.0
1,1,189,546,906,1275,1620,1989,2814,3225,3634,4203,4750,5230,5695,6207,6714,7193,7688,8207,8690.0,9162.0,9658.0,10165.0,10646.0
2,2,380,743,1100,1472,1811,2350,3054,3460,3878,4471,4991,5469,5937,6458,6954,7433,7943,8448,8930.0,9404.0,9908.0,10406.0,
3,3,570,939,1317,1677,2049,2679,3289,3696,4141,4728,5230,5707,6184,6705,7193,7672,8193,8688,9169.0,9645.0,10155.0,10646.0,
4,4,754,1144,1522,1892,2288,2985,3523,3935,4411,4978,5469,5946,6435,6949,7432,7919,8439,8927,9408.0,9891.0,10399.0,,
5,5,950,1352,1748,2119,2557,3257,3758,4174,4680,5223,5708,6184,6685,7190,7671,8170,8682,9166,9647.0,10138.0,10641.0,,
6,6,1179,1608,2001,2352,2856,3537,4017,4439,4943,5512,5952,6443,6934,7437,7921,8420,8938,9425,9912.0,10385.0,,,
7,7,1414,1858,2254,2614,3159,3802,4270,4728,5229,5762,6226,6720,7262,7714,8207,8691,9212,9693,10162.0,10701.0,,,
8,8,1622,2096,2483,2852,3446,4040,4503,4967,5468,6001,6465,6958,7498,7953,8446,8930,9451,9931,10401.0,,,,
9,9,1860,2323,2696,3092,3729,4277,4741,5205,5728,6239,6703,7195,7736,8191,8684,9172,9689,10168,10639.0,,,,
10,10,2098,2551,2922,3364,4004,4515,4979,5455,5983,6477,6950,7466,7974,8437,8926,9430,9929,10406,,,,,
11,11,2336,2772,3156,3643,4260,4753,5217,5700,6230,6715,7192,7719,8212,8680,9166,9679,10168,10644,,,,,
