,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0,0,360,720,1080,1440,1800,2368,2890,3287,3849,4270,4690,5203,5650,6152,6557,6996,7494,7921,8364.0,8827.0,9310.0,9784.0,10258.0,10671.0
1,1,186,549,909,1260,1632,1989,2563,3094,3493,4047,4468,4890,5410,5843,6350,6754,7191,7703,8128,8562.0,9034.0,9517.0,9991.0,10455.0,
2,2,371,734,1100,1445,1820,2307,2760,3289,3695,4247,4668,5090,5610,6042,6550,6956,7388,7906,8323,8766.0,9229.0,9721.0,10191.0,10661.0,
3,3,564,933,1302,1638,2127,2569,3021,3485,3957,4457,4873,5325,5812,6240,6746,7164,7593,8108,8516,8974.0,9460.0,9913.0,10399.0,,
4,4,757,1132,1510,1947,2389,2840,3316,3778,4231,4693,5146,5623,6069,6510,6963,7407,7878,8337,8792,9281.0,9719.0,10175.0,10637.0,,
5,5,950,1334,1767,2209,2660,3135,3599,4052,4514,4967,5444,5888,6331,6775,7228,7699,8158,8611,9102,9540.0,9996.0,10458.0,,,
6,6,1167,1587,2029,2480,2955,3418,3873,4335,4788,5265,5709,6150,6596,7049,7520,7979,8432,8921,9361,9817.0,10279.0,10729.0,,,
7,7,1396,1834,2300,2775,3238,3692,4156,4609,5086,5530,5971,6406,6870,7341,7800,8253,8742,9177,9638,10100.0,10550.0,,,,
8,8,1598,2081,2502,3025,3464,3888,4364,4829,5309,5750,6197,6689,7102,7552,8017,8491,8950,9457,9861,10323.0,10788.0,,,,
9,9,1790,2283,2700,3231,3662,4086,4580,5042,5531,5951,6398,6893,7297,7758,8230,8697,9163,9657,10071,10524.0,,,,,
10,10,1983,2486,2902,3439,3870,4280,4787,5241,5738,6150,6597,7092,7511,7963,8429,8905,9370,9860,10270,10722.0,,,,,
11,11,2173,2693,3092,3638,4068,4487,5006,5446,5937,6355,6796,7294,7710,8164,8628,9108,9581,10056,10471,,,,,,
