,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
0,0,0,360,720,1080,1440,1800,2362,2874,3211,3563,3987,4314,4921,5449,5794,6136,6533,6874,7534,8047,8374,8719,9106,9442,10116,10613,10961,11311,11684,12034,12747,13199,13546,13887,14207,14541,15340,15766,16110,16437,16771,17105,17936,18355,18698,19037,19381,19720,20543,20909,21250,21597,21947,22271,23182,23525,23870,24203,24535,24872,25799,26137,26462.0,26813.0,27154.0,27493.0,28423.0,28763.0
1,1,183,552,906,1266,1641,1986,2560,3072,3409,3755,4193,4526,5125,5653,5983,6329,6734,7074,7744,8245,8586,8911,9303,9637,10320,10819,11161,11508,11886,12231,12948,13396,13737,14082,14426,14739,15544,15966,16305,16649,16966,17297,18133,18553,18900,19241,19579,19918,20749,21120,21452,21795,22145,22486,23388,23718,24067,24400,24728,25076,26000,26334,26676.0,27006.0,27349.0,27682.0,28633.0,
2,2,368,752,1091,1451,1832,2174,2757,3272,3604,3948,4387,4723,5329,5857,6194,6526,6938,7274,7948,8453,8785,9127,9496,9834,10520,11019,11365,11705,12097,12422,13163,13600,13937,14277,14626,14967,15750,16163,16502,16840,17190,17503,18341,18755,19100,19443,19773,20127,20955,21319,21647,21985,22339,22681,23587,23929,24276,24597,24941,25278,26211,26538,26875.0,27217.0,27551.0,27879.0,,
3,3,552,936,1293,1653,2031,2361,2953,3479,3809,4147,4592,4919,5534,6074,6392,6724,7137,7479,8174,8655,8986,9334,9697,10037,10737,11217,11561,11901,12300,12637,13371,13796,14136,14475,14827,15163,15949,16364,16701,17036,17384,17730,18542,18949,19294,19637,19994,20329,21154,21517,21859,22186,22546,22883,23795,24127,24466,24816,25137,25480,26425,26751,27078.0,27409.0,27756.0,28091.0,,
4,4,742,1144,1498,1849,2224,2571,3155,3678,4019,4352,4800,5132,5754,6282,6614,6925,7336,7678,8394,8863,9182,9532,9916,10242,10963,11431,11773,12102,12508,12844,13591,13997,14335,14667,15026,15366,16187,16557,16906,17232,17592,17932,18786,19145,19493,19836,20192,20528,21386,21713,22051,22399,22748,23085,24012,24328,24665,25010,25356,25682,26639,26965,27291.0,27605.0,27973.0,28296.0,,
5,5,935,1346,1691,2042,2432,2764,3384,3886,4218,4550,5014,5325,5962,6502,6816,7154,7547,7874,8610,9062,9403,9737,10115,10456,11189,11630,11974,12313,12716,13046,13826,14205,14525,14878,15240,15565,16404,16762,17099,17446,17794,18128,19012,19344,19691,20038,20397,20722,21612,21926,22259,22593,22953,23292,24229,24552,24866,25204,25566,25896,26859,27179,27505.0,27831.0,28169.0,28513.0,,
6,6,1173,1590,1926,2271,2667,2999,3661,4121,4444,4788,5243,5557,6242,6791,7048,7383,7803,8112,8890,9309,9641,9978,10368,10688,11457,11874,12221,12520,12951,13272,14070,14500,14745,15104,15460,15797,16660,17063,17328,17687,18032,18357,19250,19651,19926,20270,20659,20990,21892,22236,22506,22864,23185,23530,24506,24811,25092,25448,25810,26131,27169,27411,27719.0,28060.0,28404.0,28754.0,,
7,7,1393,1840,2173,2515,2938,3219,3911,4431,4691,5032,5493,5783,6513,7026,7355,7666,8068,8371,9092,9595,9966,10288,10651,10917,11689,12175,12504,12761,13192,13495,14284,14762,15073,15351,15716,16032,16877,17343,17656,18000,18291,18619,19482,19913,20263,20520,20906,21237,22100,22492,22831,23135,23498,23831,24738,25106,25432,25704,26060,26387,27374,27748,28065.0,28319.0,28657.0,,,
8,8,1604,2090,2390,2726,3182,3478,4110,4648,4971,5243,5719,6033,6721,7237,7566,7910,8291,8618,9294,9806,10159,10506,10892,11218,11906,12386,12733,13044,13409,13732,14513,14961,15302,15640,15945,16256,17112,17560,17883,18205,18547,18836,19717,20115,20468,20803,21117,21448,22326,22712,23039,23371,23718,24051,24955,25320,25646,25975,26343,26601,27585,27944,28288.0,28611.0,,,,
9,9,1795,2288,2629,2924,3386,3721,4311,4852,5187,5510,5938,6258,6925,7444,7776,8117,8510,8830,9501,10004,10357,10704,11087,11431,12113,12596,12930,13272,13622,13948,14732,15163,15502,15847,16179,16484,17316,17752,18099,18422,18748,19086,19918,20310,20665,21007,21342,21670,22545,22916,23251,23566,23918,24253,25180,25527,25859,26185,26541,26882,27798,28157,28490.0,,,,,
10,10,1985,2484,2825,3169,3589,3920,4516,5055,5385,5727,6137,6478,7136,7642,7981,8310,8713,9050,9709,10200,10562,10905,11285,11636,12333,12806,13131,13471,13821,14162,14937,15359,15701,16039,16378,16719,17524,17948,18297,18639,18962,19282,20123,20509,20861,21210,21543,21882,22759,23124,23454,23791,24117,24454,25385,25732,26060,26399,26751,27085,28009,28356,28686.0,,,,,
11,11,2174,2674,3021,3370,3783,4114,4717,5245,5595,5923,6336,6683,7334,7843,8180,8522,8906,9249,9916,10405,10761,11112,11484,11835,12532,13002,13346,13674,14010,14347,15136,15566,15902,16240,16576,16911,17732,18149,18487,18835,19179,19502,20326,20710,21055,21406,21739,22072,22967,23314,23664,23999,24331,24647,25596,25935,26272,26598,26952,27281,28219,28557,,,,,,
