,bunching,ploss,qloss,reward,reward1,reward2,avg_hold,action,wait,travel,delay,AOD,headway_mean0,headway_mean1,headway_mean2,headway_mean3,headway_mean4,headway_mean5,headway_mean6,headway_mean7,headway_mean8,headway_mean9,headway_mean10,headway_mean11,headway_var0,headway_var1,headway_var2,headway_var3,headway_var4,headway_var5,headway_var6,headway_var7,headway_var8,headway_var9,headway_var10,headway_var11
0,3,,,,,,0.0,,284.1889382317319,1242.7888730385164,472.5406562054208,5.5274708737159735,415.2307692307692,426.125,427.125,405.1304347826087,405.0,404.7826086956522,406.3478260869565,406.2173913043478,414.3636363636364,419.85714285714283,420.5,420.65,32842.331360946744,33883.609375,35836.026041666664,27975.76559546314,30183.652173913044,31919.03969754253,35488.40075614366,32917.99621928167,28180.958677685947,32447.646258503402,36044.55,38436.8275
0,9,,,,,,0.0,,362.34787735849056,1264.2013017201302,542.9642026964202,8.543717413163046,425.64,424.0833333333333,425.0416666666667,426.6666666666667,397.4347826086956,400.95652173913044,403.5652173913044,404.7391304347826,419.5238095238095,419.85714285714283,420.1904761904762,435.7894736842105,50721.99039999999,54507.159722222226,57583.12326388888,61494.388888888876,47279.20226843101,44329.606805293006,52488.15879017012,44207.41020793951,46849.39229024943,50377.45578231292,54684.53514739229,59957.85041551247
0,5,,,,,,0.0,,317.73277243589746,1230.1394275161588,510.03554939981535,7.224692875107057,413.2692307692308,424.0,426.0833333333333,403.5652173913044,403.60869565217394,403.3478260869565,402.95652173913044,403.60869565217394,414.8181818181818,427.0,416.65,417.1,40309.96597633137,41321.12,45399.909722222226,38081.02835538753,42257.62948960302,46020.66162570889,62742.38941398866,46801.45557655955,43368.78512396694,44662.0,45682.72750000001,47838.99
0,13,,,,,,0.0,,312.44198664440734,1227.6387409200968,492.9186440677966,8.47228780416505,415.3076923076923,421.84,429.25,394.8695652173913,395.2608695652174,396.04347826086956,397.0869565217391,399.5652173913044,416.0,420.76190476190476,419.6,420.0,51147.44378698224,55315.574400000005,61819.4375,39930.37429111531,43507.75803402646,47718.56332703214,50284.6011342155,48652.41965973535,48502.72727272727,52615.32426303854,58638.240000000005,61577.4
0,6,,,,,,0.0,,324.1195908733281,1225.914205344585,494.9184247538678,7.233006731036112,414.1923076923077,424.32,423.4166666666667,425.5416666666667,399.69565217391306,399.5652173913044,403.69565217391306,403.5652173913044,426.95238095238096,428.3809523809524,418.45,418.4,40826.924556213016,42109.41760000001,46701.99305555554,50158.664930555555,39584.646502835545,41963.72400756143,52999.603024574666,44388.59357277883,40606.902494331065,42311.75963718821,45733.8475,49627.64
0,17,,,,,,0.0,,385.54560462236896,1254.9657366617719,563.2594224180127,9.078058656683153,420.68,421.28,425.7083333333333,396.39130434782606,397.04347826086956,399.39130434782606,403.4347826086956,403.95652173913044,421.85714285714283,421.85714285714283,426.35,427.0,53169.5776,55853.5616,60120.456597222226,43977.89035916824,45894.21550094518,46827.36862003781,48569.11531190928,52633.34593572778,49420.97959183672,52525.64625850339,58513.02749999999,61861.4
0,3,,,,,,0.0,,252.2016806722689,1248.050597976081,447.9728610855566,5.580068224331043,414.9230769230769,418.5416666666667,419.0,419.5,415.6521739130435,416.1304347826087,418.4782608695652,410.3636363636364,411.59090909090907,412.2857142857143,412.8095238095238,420.85,18334.301775147927,15947.581597222224,16977.916666666668,18273.0,20106.748582230623,21417.069943289225,25767.727788279775,21528.867768595042,19239.51446280992,20614.29931972789,21229.678004535148,21014.427499999998
0,0,,,,,,0.0,,279.3320079522863,1250.2826984855437,463.3850390087196,5.490505105868402,420.72,420.84,426.8333333333333,411.1304347826087,412.04347826086956,412.82608695652175,414.39130434782606,400.59090909090907,399.09090909090907,399.1818181818182,415.04761904761904,422.65,21625.881599999997,22219.0144,23168.47222222222,19152.026465028353,21718.38941398866,24365.534971644614,30980.846880907375,25346.332644628103,24677.264462809915,25369.87603305785,21919.95011337868,22229.127500000002
0,16,,,,,,0.0,,295.7739307535642,1208.7756471716202,485.39117929050815,7.549351534032628,413.6923076923077,420.4,422.5416666666667,424.0416666666667,415.1304347826087,416.30434782608694,410.1818181818182,413.59090909090907,414.27272727272725,428.2857142857143,418.75,419.0,28308.05917159763,29938.4,30917.33159722222,31317.37326388889,30913.591682419657,27724.124763705106,35820.87603305785,36200.05991735537,30621.925619834707,29705.442176870747,31129.8875,32696.9
0,0,,,,,,0.0,,278.6368460955269,1249.2232578783844,475.65113182423437,5.519484994470168,426.68,421.3333333333333,422.375,423.0,417.04347826086956,418.4782608695652,412.6363636363636,414.8181818181818,415.09090909090907,414.7142857142857,414.8095238095238,426.3,12697.417599999997,12183.638888888889,12774.651041666666,13194.583333333334,13467.345935727786,14317.03213610586,18223.867768595042,18352.966942148763,14078.537190082645,15754.013605442175,16173.392290249434,14730.61
0,13,,,,,,0.0,,370.3005964214712,1221.1425200566305,528.2921189240208,8.184348183112578,422.92,423.72,425.9166666666667,394.82608695652175,394.5652173913044,395.7391304347826,400.5652173913044,402.2608695652174,416.90909090909093,426.9047619047619,427.5,427.75,46925.513600000006,49688.8416,53386.576388888876,35752.92627599243,38701.11531190926,43703.41020793951,45884.24574669187,43883.67107750473,46336.53719008265,47859.03854875283,52835.65,54670.7875
