,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0,0,360,720,1080,1440,1800,2383,2904,3141,3538,3916,4284,4995,5479,5635,6106,6438,6808,7607,8049,8155,8662.0,8987.0,9284.0,10212.0,10615.0,10796.0
1,1,183,558,903,1266,1626,2001,2584,3114,3336,3742,4118,4481,5201,5674,5826,6303,6638,7006,7809,8244,8348,8855.0,9178.0,9481.0,10410.0,,
2,2,365,749,1088,1460,1817,2189,2790,3314,3531,3939,4318,4681,5409,5876,6026,6507,6837,7206,8024,8452,8536,9055.0,9373.0,9680.0,10616.0,,
3,3,561,939,1287,1662,2016,2388,2998,3519,3724,4135,4525,4875,5617,6078,6220,6712,7033,7405,8250,8650,8728,9258.0,9584.0,9879.0,,,
4,4,766,1138,1492,1861,2218,2599,3212,3727,3929,4328,4723,5080,5828,6277,6407,6932,7227,7601,8473,8852,8927,9466.0,9778.0,10081.0,,,
5,5,956,1352,1694,2048,2420,2789,3426,3950,4125,4530,4915,5282,6042,6482,6612,7135,7426,7809,8699,9066,9158,9677.0,9976.0,10266.0,,,
6,6,1167,1596,1932,2283,2664,3033,3688,4212,4324,4792,5153,5532,6325,6735,6851,7391,7661,8050,8940,9337,9435,9936.0,10211.0,10513.0,,,
7,7,1393,1846,2167,2539,2920,3286,3956,4456,4601,5072,5421,5788,6551,7030,7107,7668,7920,8288,9133,9614,9787,10219.0,10449.0,10736.0,,,
8,8,1607,2096,2375,2756,3131,3506,4155,4661,4854,5286,5647,6014,6750,7250,7375,7870,8173,8508,9365,9810,10016,10427.0,10723.0,,,,
9,9,1805,2306,2564,2948,3326,3699,4368,4871,5051,5493,5848,6212,6966,7448,7572,8072,8383,8701,9596,10020,10213,10622.0,,,,,
10,10,1997,2502,2753,3138,3528,3895,4576,5074,5250,5694,6047,6408,7180,7646,7764,8268,8575,8891,9797,10219,10407,,,,,,
11,11,2190,2701,2946,3332,3717,4085,4787,5279,5442,5893,6236,6604,7392,7849,7949,8462,8776,9085,9995,10413,10603,,,,,,
