,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,360,720,1080,1440,1800,2553,3499,3860,4258,4836,5136,6127,7274,7343.0,7862.0,8564.0,8745.0,10026.0
1,1,186,555,906,1269,1635,1989,2778,3795,4192,4462,5157,5359,6486,7521,7702.0,8113.0,8923.0,9104.0,10282.0
2,2,374,746,1091,1457,1996,2308,3139,4106,4553,4734,5478,5720,6757,7882,8063.0,8383.0,9284.0,9360.0,10562.0
3,3,564,942,1287,1659,2249,2598,3344,4401,4913,5094,5800,5974,7117,8242,8423.0,8604.0,9539.0,9720.0,
4,4,763,1138,1486,2019,2609,2794,3668,4761,5198,5454,6039,6202,7398,8602,8783.0,8964.0,9888.0,10029.0,
5,5,953,1334,1691,2302,2881,3101,3885,5010,5479,5657,6371,6534,7758,8896,9143.0,9324.0,10208.0,10389.0,
6,6,1188,1563,2043,2540,3152,3461,4245,5236,5825,6007,6713,6796,8061,9116,9503.0,9679.0,10568.0,10659.0,
7,7,1441,1887,2288,2850,3408,3738,4605,5489,6185,6338,6975,7160,8349,9428,9858.0,10039.0,,,
8,8,1640,2247,2517,3070,3610,4061,4965,5849,6439,6657,7335,7520,8709,9651,10154.0,10399.0,,,
9,9,1832,2606,2876,3290,3822,4288,5303,6208,6643,6985,7694,7875,8972,9882,10513.0,10696.0,,,
10,10,2161,2916,3236,3650,4182,4489,5663,6557,6833,7263,8054,8133,9332,10242,,,,,
11,11,2351,3163,3596,3959,4519,4775,5868,6917,7109,7501,8312,8384,9669,10512,,,,,
