,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,0,360,720,1080,1440,1800,2555,3369,3600,4203,4811,5638,6154,6365,7439.0,7861.0,8523.0,8956.0,9895.0,10058.0
1,1,186,555,906,1269,1635,1989,2914,3688,3850,4526,5170,5909,6498,6679,7748.0,8220.0,8819.0,9203.0,10161.0,10417.0
2,2,374,746,1091,1457,1996,2327,3275,3883,4211,4837,5444,6108,6859,7033,7960.0,8581.0,9180.0,9564.0,10416.0,10778.0
3,3,564,942,1287,1659,2254,2626,3635,4243,4571,5161,5772,6468,7212,7253,8312.0,8842.0,9387.0,9924.0,10655.0,
4,4,763,1138,1486,2019,2614,2947,3864,4471,4931,5369,6132,6685,7432,7613,8672.0,9202.0,9723.0,10284.0,,
5,5,953,1334,1691,2296,2816,3195,4192,4741,5217,5729,6334,7045,7792,7958,9032.0,9461.0,10017.0,10594.0,,
6,6,1188,1563,2051,2564,3130,3546,4487,5021,5512,5991,6596,7343,8072,8285,9392.0,9780.0,10377.0,,,
7,7,1441,1876,2343,2832,3490,3852,4716,5241,5863,6332,6942,7703,8292,8607,9752.0,10120.0,10660.0,,,
8,8,1640,2222,2648,3040,3704,4212,5076,5475,6223,6692,7302,7993,8652,8862,10112.0,10386.0,,,,
9,9,1832,2581,2930,3277,3928,4571,5435,5701,6556,6953,7521,8191,9011,9221,10364.0,10745.0,,,,
10,10,2163,2800,3175,3637,4226,4931,5675,5954,6791,7232,7881,8396,9321,9581,10724.0,,,,,
11,11,2353,3160,3389,3941,4450,5277,5901,6152,7078,7500,8162,8756,9534,9796,,,,,,
