,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0,0,360,720,1080,1440,1800,2400,2859,3238,3544,3926,4325,5009,5454,5819,6055,6443,6895,7572,8069,8391,8628.0,8990.0,9453.0,10178.0,10680.0
1,1,195,546,915,1278,1635,2001,2601,3059,3457,3741,4136,4514,5211,5660,6014,6259,6649,7090,7770,8273,8583,8830.0,9181.0,9651.0,10379.0,
2,2,379,740,1112,1466,1826,2187,2807,3253,3650,3943,4330,4717,5410,5878,6220,6458,6853,7285,7979,8486,8774,9027.0,9402.0,9862.0,10585.0,
3,3,566,930,1308,1659,2013,2380,3012,3467,3851,4139,4532,4913,5615,6076,6419,6656,7055,7484,8199,8694,8973,9221.0,9598.0,10063.0,10799.0,
4,4,759,1144,1510,1864,2212,2579,3220,3663,4059,4332,4725,5118,5823,6284,6615,6855,7253,7689,8416,8902,9178,9432.0,9797.0,10271.0,,
5,5,946,1349,1718,2078,2417,2766,3425,3880,4266,4534,4926,5330,6034,6492,6820,7058,7458,7906,8633,9110,9389,9631.0,10015.0,10476.0,,
6,6,1166,1596,1974,2304,2637,3006,3708,4139,4498,4766,5164,5568,6323,6775,7046,7275,7690,8138,8919,9369,9615,9842.0,10235.0,10720.0,,
7,7,1401,1840,2233,2554,2902,3250,3976,4431,4808,5007,5435,5857,6546,7034,7380,7582,7937,8415,9136,9625,9952,10101.0,10497.0,,,
8,8,1615,2054,2440,2765,3116,3455,4175,4648,5007,5290,5661,6077,6748,7248,7576,7820,8172,8629,9344,9854,10151,10402.0,10738.0,,,
9,9,1822,2252,2635,2966,3314,3668,4393,4855,5217,5485,5854,6278,6949,7449,7777,8027,8376,8853,9557,10064,10352,10597.0,,,,
10,10,2009,2457,2847,3158,3519,3862,4600,5057,5422,5678,6047,6479,7159,7663,7973,8223,8577,9049,9764,10271,10550,10793.0,,,,
11,11,2212,2653,3041,3351,3731,4056,4807,5255,5620,5867,6243,6693,7366,7865,8191,8426,8778,9254,9969,10476,10748,,,,,
