,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,360,720,1080,1440,1800,2633,3407,4087,4768,5350,5879,6722,7371.0,8070.0,8734.0,9394.0,10107.0,10737.0
1,1,186,555,906,1263,1638,1989,2949,3695,4431,5100,5708,6238,7025,7730.0,8415.0,9083.0,9720.0,10398.0,
2,2,374,740,1091,1457,1921,2350,3284,4056,4725,5431,6029,6599,7386,8075.0,8734.0,9384.0,10067.0,10736.0,
3,3,558,945,1290,1656,2182,2710,3622,4416,5079,5733,6387,6959,7703,8391.0,9053.0,9723.0,10415.0,,
4,4,748,1141,1495,2003,2542,3040,3968,4742,5412,6066,6723,7319,8050,8722.0,9413.0,10063.0,10766.0,,
5,5,947,1346,1697,2363,2889,3389,4312,5067,5737,6404,7032,7679,8402,9064.0,9714.0,10397.0,,,
6,6,1152,1599,2049,2723,3249,3749,4672,5374,6075,6708,7378,8039,8753,9414.0,10043.0,10712.0,,,
7,7,1381,1873,2405,3055,3609,4109,5006,5724,6386,7065,7723,8398,9066,9714.0,10396.0,,,,
8,8,1589,2165,2765,3401,3969,4453,5366,6084,6746,7422,8060,8725,9369,10073.0,10729.0,,,,
9,9,1870,2465,3107,3755,4328,4803,5649,6442,7089,7739,8404,9073,9711,10420.0,,,,,
10,10,2128,2721,3394,4078,4673,5163,6001,6724,7397,8046,8724,9392,10061,10754.0,,,,,
11,11,2347,3049,3736,4427,5024,5518,6361,7084,7733,8387,9041,9752,10394,,,,,,
