,stw,sto,sth,att,Bus0_AOD,Bus1_AOD,Bus2_AOD,Bus3_AOD,Bus4_AOD,Bus5_AOD
0,298.7549019607843,21.67561491668871,153.06929,1949.725,160,121,133,142,126,114
1,302.9789473684211,17.81397429640475,150.79471,2181.875,102,109,123,122,120,107
2,322.9795918367347,14.704273504273504,152.79848,2282.3884297520663,106,99,114,117,112,102
3,289.5,11.537166635142803,162.06456,2101.679389312977,111,116,117,114,107,57
4,322.02453987730064,8.328219514333306,154.99498,2052.566929133858,124,114,126,118,124,65
5,453.39121338912133,7.290915915915916,162.59827,2297.401055408971,142,117,128,125,82,72
6,1932.0736677115988,6.4715686274509805,[152.52376],2856.245353159851,179,204,198,208,120,111
7,2300.3015384615383,2.0175096125406693,162.17577,3325.346153846154,192,230,225,160,160,160
8,664.9659863945578,1.4278407439697767,157.31273,2464.8045977011493,198,235,234,160,160,160
9,311.1585365853659,1.6335789330058677,135.52538,2264.5138888888887,197,229,152,158,153,158
10,332.11764705882354,1.7623819066704838,155.68709,2205.234375,178,226,144,156,145,149
11,327.35714285714283,1.9422853569195033,158.25635,2206.0689655172414,171,131,145,149,141,124
0,326.88349514563106,21.911803022407508,149.73094,2229.3176470588237,145,128,128,126,137,144
1,291.1136363636364,18.516666666666666,154.05107,2235.162162162162,84,118,132,114,130,142
2,339.1637426900585,13.44502923976608,156.88243,2154.3972602739727,83,113,126,105,114,124
3,306.9875776397516,10.11607376977537,163.21223,2124.162962962963,112,120,132,102,125,82
4,329.6220930232558,8.241032998565279,169.61403,2231.9057971014495,127,127,131,101,127,84
5,531.7707006369427,6.9128265602322205,160.79134,2423.6480446927376,142,134,136,112,85,80
6,2100.0104011887074,6.317829457364341,164.98517,2932.3295880149813,178,191,207,197,134,125
7,2640.5555555555557,1.921679976338362,157.43814,3842.378787878788,194,222,240,151,160,160
8,1114.301282051282,1.2828985507246378,160.812,3039.5504587155965,201,229,240,160,160,160
9,383.9811320754717,1.6918138041733553,141.85127,2154.688311688312,196,232,160,160,160,160
10,346.2173913043478,2.039544513457557,[135.62463],2421.7924528301887,188,226,153,150,159,159
11,327.71014492753625,2.437422988910403,151.10757,2022.1132075471698,164,141,141,132,147,149
0,300.2068965517241,22.04027459954233,151.70473,2021.6268656716418,139,138,131,130,134,133
1,274.92537313432837,18.900584795321635,146.38405,2149.698113207547,81,122,121,115,123,122
2,317.448,14.901960784313726,152.82639,2030.5858585858587,80,104,109,98,110,111
3,337.9325153374233,11.924444912133012,159.60301,2091.0661764705883,82,105,109,103,107,53
4,303.54945054945057,9.580654447749733,151.64001,2013.349315068493,104,111,120,109,117,52
5,477.662109375,8.669871794871796,152.99876,2236.167512690355,117,130,121,131,71,54
6,2068.809825673534,7.020873904576436,151.09456,2812.204,183,191,190,212,126,125
7,2493.7163323782233,2.5757246376811596,165.59265,3525.957746478873,189,219,220,160,160,156
8,713.0344827586207,2.2161527165932458,157.86153,2344.909836065574,189,226,240,160,160,160
9,323.17283950617286,1.9775471442138106,[133.51799],2269.048387096774,190,227,160,160,160,156
10,366.2328767123288,1.863403528742174,144.38373,2242.9508196721313,175,223,151,153,151,151
11,348.20338983050846,2.088214537755822,156.91013,2267.0,162,146,142,137,140,145
0,289.59139784946234,21.15223684210526,159.6231,1850.320512820513,165,118,127,130,144,116
1,269.7236842105263,17.435064935064936,145.70291,2021.8805970149253,101,109,128,115,126,114
2,296.6356589147287,12.607926397735316,160.49109,2136.6534653465346,100,109,110,104,104,101
3,322.08092485549133,11.300416539672863,152.71234,2181.418439716312,106,107,105,96,100,65
