,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0,0,360,720,1080,1440,1800,2708,3014,3449,4010,4661,5140,6033,6222,6763,7367,7849.0,8030.0,9498.0,9756.0,10396.0,10770.0
1,1,180,552,903,1272,1641,1995,3050,3216,3700,4301,4894,5413,6230,6545,7122,7726,8208.0,8389.0,9857.0,9973.0,10602.0,
2,2,368,743,1103,1460,1958,2209,3329,3441,4061,4549,5186,5652,6430,6847,7353,7941,8569.0,8715.0,10077.0,10175.0,,
3,3,561,933,1302,1656,2197,2478,3595,3760,4289,4909,5546,5902,6759,7087,7691,8152,8894.0,9017.0,10317.0,10464.0,,
4,4,748,1123,1510,1954,2502,2805,3827,4120,4618,5120,5782,6101,7119,7447,8010,8488,9111.0,9314.0,10592.0,,,
5,5,935,1328,1718,2267,2862,3038,4118,4480,4868,5428,6142,6337,7447,7807,8346,8837,9461.0,9570.0,,,,
6,6,1173,1557,2015,2570,3133,3360,4411,4814,5089,5726,6431,6571,7800,8096,8601,9087,9749.0,9928.0,,,,
7,7,1405,1882,2304,2909,3442,3720,4674,5034,5399,5967,6720,6896,8117,8352,8869,9355,10107.0,10292.0,,,,
8,8,1613,2105,2606,3151,3663,4022,4879,5289,5642,6291,6934,7143,8316,8660,9089,9710,10354.0,10595.0,,,,
9,9,1907,2326,2849,3401,3873,4381,5092,5502,5861,6598,7147,7345,8638,8871,9448,9999,10596.0,10792.0,,,,
10,10,2097,2538,3052,3617,4110,4741,5398,5815,6221,6921,7411,7579,8849,9231,9791,10275,,,,,,
11,11,2433,2730,3245,3810,4382,4943,5672,6025,6450,7132,7619,7787,9209,9540,10107,10564,,,,,,
