,stw,sto,sth,att,Bus0_AOD,Bus1_AOD,Bus2_AOD,Bus3_AOD,Bus4_AOD,Bus5_AOD
0,239.97333333333333,14.53405910859327,[11.328902],1604.2539682539682,202,257,158,179,158,173
1,216.2736842105263,11.825229455709712,[26.535128],1442.9746835443038,170,172,137,173,140,145
2,203.9731543624161,9.395712603062426,[7.596499],1513.5853658536585,147,152,130,154,131,135
3,206.22155688622755,6.434707903780069,[21.718267],1653.4805194805194,103,136,125,140,136,136
4,223.67708333333334,4.291342412451362,29.713892,1585.5697674418604,96,158,114,139,131,133
5,225.3081896551724,3.0127484273228307,[72.889305],1578.4888888888888,107,166,124,137,144,103
6,234.86838124054464,2.05778452685422,[21.592705],1542.073476702509,158,206,187,197,202,138
7,497.61538461538464,2.3429538099441016,[15.682838],1615.2530120481927,243,311,285,282,233,191
8,260.4326241134752,1.389610389610389,[5.3500214],1466.1967213114754,275,320,305,215,235,234
9,214.4,1.308507361547465,[13.924375],1421.4583333333333,269,315,296,214,222,230
10,215.98717948717947,1.1063583815028901,[11.328492],1315.390625,246,298,205,208,208,219
11,212.98591549295776,1.2093180015860427,[7.367042],1563.8,220,273,178,194,188,208
0,222.05797101449275,15.304160583941604,14.747457,1421.6774193548388,222,170,174,161,175,194
1,230.77894736842106,12.431490236382322,[14.336289],1505.6279069767443,189,153,154,144,153,180
2,211.2826086956522,9.799044368600685,[15.095773],1526.3577235772357,177,133,143,130,141,155
3,220.7325581395349,6.794871794871796,[15.096794],1459.8450704225352,128,126,130,126,133,137
4,205.79617834394904,4.419921041399915,58.11005,1595.5220588235295,120,136,130,118,139,138
5,217.20079522862824,2.635869565217391,[50.13808],1528.7534562211981,125,126,128,126,126,105
6,219.87888707037644,1.646542646542646,[10.84518],1534.1479400749063,176,193,181,185,149,152
7,534.486646884273,1.6323699774404001,[19.880577],1703.364312267658,250,262,273,276,218,212
8,247.22674418604652,1.3732089506737395,[11.585423],1492.1006711409395,269,307,314,217,228,227
9,197.3272727272727,1.5779136557346682,[9.250234],1382.5894736842106,272,293,311,214,227,225
10,237.92391304347825,1.6485239852398523,[12.4095545],1622.1168831168832,251,264,212,206,210,212
11,226.9016393442623,1.80249406175772,[12.410483],1361.0192307692307,240,251,194,186,188,204
0,220.31858407079645,14.621949860724234,[8.128505],1432.5346534653465,202,189,170,177,174,165
1,194.56578947368422,12.018023715415021,22.19132,1655.1363636363637,198,172,163,167,167,145
2,231.17605633802816,8.89991103202847,25.144333,1466.2923076923078,132,147,137,149,146,132
3,230.78125,6.792188151856488,23.86516,1617.1371428571429,123,164,119,135,140,118
4,225.03726708074535,4.421199131548181,[52.087444],1578.880281690141,115,172,124,138,139,93
5,213.47390396659708,3.650089735425231,[38.51816],1491.2560975609756,108,169,109,138,128,99
6,281.76104746317515,3.714583695463236,[11.545311],1580.1833333333334,159,232,166,219,128,142
7,452.12302839116717,1.9927466150870405,[5.698897],1632.03187250996,231,299,270,285,210,209
8,287.10738255033556,1.6590895090248254,[3.6947281],1537.8384615384616,251,318,298,234,229,216
9,251.47058823529412,1.6663213736384468,[8.342664],1425.953488372093,249,311,293,234,220,210
10,221.1578947368421,1.5847605224963717,[22.073736],1524.8115942028985,240,292,202,228,220,196
11,220.63855421686748,1.2776714513556615,[17.129183],1233.4032258064517,223,261,198,198,193,181
0,234.41666666666666,14.975471698113209,24.363115,1392.4545454545455,195,155,155,174,186,195
1,184.85714285714286,11.738787255909559,[20.218704],1455.3650793650793,182,138,146,163,164,180
2,206.5702479338843,8.788271604938272,[12.444604],1495.485436893204,117,122,129,147,140,155
3,217.3741935483871,6.091228070175438,[19.98392],1460.1461538461538,114,117,121,140,124,144
4,203.84848484848484,3.8942152855196346,38.689484,1577.1805555555557,108,126,118,137,124,89
5,218.18494623655914,2.5610098176718092,[70.05317],1470.9800498753118,99,126,124,134,143,87
6,241.00333333333333,2.6820022083179977,[21.342527],1542.3939393939395,167,153,167,199,139,163
7,264.7972972972973,2.1874125874125876,[7.0918555],1482.0938775510203,255,235,244,266,204,226
8,277.88028169014086,1.7151133180544944,[8.667846],1424.023622047244,278,261,271,221,236,229
9,228.93859649122808,1.883852784059254,[10.576767],1425.4326923076924,271,251,268,210,227,226
10,194.89320388349515,1.3460122699386503,[10.675567],1430.7553191489362,254,246,182,195,214,213
11,203.890243902439,1.4928221859706363,[14.781944],1457.3529411764705,231,221,174,196,196,208
0,216.35616438356163,15.254054054054054,[9.72416],1361.8125,229,180,161,167,185,188
1,234.45263157894738,11.955987590486039,[17.614027],1593.1829268292684,201,156,139,146,155,170
