,stw,sto,sth,att,Bus0_AOD,Bus1_AOD,Bus2_AOD,Bus3_AOD,Bus4_AOD,Bus5_AOD
0,244.72619047619048,16.777018633540372,63.2083333333341,1580.2702702702702,149,153,169,178,193,138
1,261.2142857142857,13.506633097705047,66.31944444445104,1572.2209302325582,144,132,149,173,177,123
2,241.61581920903956,10.485776934929477,67.33333333333754,1671.2207792207791,142,126,126,153,109,111
3,272.7054794520548,6.907666745786849,65.4236111111132,1771.464,129,138,133,143,108,115
4,246.5493827160494,5.242063492063493,64.2569444444438,1682.410071942446,124,137,144,91,116,108
5,244.75050301810865,2.9134199134199137,64.40277777777614,1616.0260047281324,126,139,141,107,115,98
6,628.9304084720121,2.3820500481231957,59.09722222221808,2030.1417475728156,195,206,156,158,159,165
7,1194.314024390244,1.4780748663101604,56.284722222217034,2275.81,281,305,231,213,226,240
8,258.0875912408759,0.9000396811081849,60.11111111110538,1593.5867768595042,289,232,240,218,240,240
9,255.87735849056602,0.7650402303092937,67.23611111110971,1578.9213483146068,281,224,232,216,236,237
10,250.75,0.8834870443566096,62.527777777778375,1667.030303030303,181,204,213,218,223,226
11,241.24590163934425,1.5605285592497866,62.138888888889504,1520.276595744681,162,180,188,201,220,222
0,240.86170212765958,17.306959133046092,64.62500000000097,1595.9518072289156,154,185,159,186,190,125
1,241.20224719101122,13.857302118171683,67.65972222222901,1783.7272727272727,137,160,146,171,171,112
2,232.424,10.35754817354297,67.75000000000429,1722.495575221239,127,142,136,149,118,97
3,235.44171779141104,5.629976435569886,65.85416666666875,1659.387323943662,131,132,123,139,109,99
4,256.65625,3.1935417944001627,64.61805555555493,1721.5248226950355,132,147,126,102,91,101
5,233.7391304347826,2.3351365791758503,65.08333333333172,1692.386768447837,149,145,126,112,89,92
6,538.025,1.4598116947472746,60.04166666666251,1935.4504854368931,194,197,135,167,154,162
7,1511.6656346749226,1.804054054054054,56.104166666661364,2416.7134831460676,275,298,215,228,224,240
8,322.14925373134326,1.2411854879918245,60.29166666666085,1573.4074074074074,279,230,224,232,237,240
9,271.4033613445378,1.5604551920341394,67.4652777777763,1621.2626262626263,266,228,208,225,239,240
10,230.18072289156626,2.0641701828410683,63.63888888888965,1613.8260869565217,179,222,192,223,225,223
11,242.26760563380282,1.9205546186996438,62.50000000000066,1705.0,169,206,188,214,204,205
0,228.126213592233,16.5790574518268,62.3055555555562,1532.3218390804598,167,182,169,155,192,112
1,238.84158415841586,12.368090571781943,66.37500000000661,1711.7096774193549,150,179,158,151,170,106
2,218.0121212121212,10.470219435736677,67.0555555555597,1697.3673469387754,142,164,148,154,107,97
3,229.61581920903956,7.950289206591726,65.36111111111306,1627.3087248322147,145,170,161,141,117,99
4,250.30128205128204,4.931149529875645,63.736111111110354,1542.4285714285713,156,156,158,104,105,106
5,251.69130434782608,3.306247269550022,64.22916666666491,1654.6709844559587,145,146,153,109,103,107
6,552.0079491255962,2.9812195121951217,59.9513888888847,1898.5618860510806,210,203,148,144,148,172
7,1322.8338192419826,2.0784745762711863,56.69444444443915,2342.848484848485,283,309,204,209,230,240
8,408.75,1.5178932656589061,58.74999999999409,1839.2796610169491,290,238,206,217,240,240
9,222.0,1.3916960732787744,63.972222222219806,1603.1797752808989,283,236,205,216,230,232
10,248.9655172413793,1.148044194956785,62.66666666666732,1576.2,196,222,187,212,219,211
11,258.5131578947368,1.1406763285024155,61.694444444445,1705.8,182,205,181,183,206,193
0,259.9438202247191,16.991469455145843,62.31944444444508,1495.5833333333333,134,176,182,148,178,130
1,241.76829268292684,13.186004046784781,66.13194444444997,1560.4492753623188,124,173,161,135,167,121
2,259.25,9.825604220341063,66.72222222222635,1752.7459016393443,115,154,139,132,94,107
3,237.0493827160494,6.773216031280547,64.0902777777796,1566.5255474452554,117,147,139,138,95,108
4,231.19653179190752,4.346431982535134,64.16666666666708,1662.5310344827585,122,154,124,99,95,104
5,248.86060606060607,3.225695818493602,64.65277777777605,1673.28125,131,156,127,100,89,119
6,860.4086687306501,2.6680933852140076,60.611111111106716,2137.863917525773,189,223,149,141,149,177
7,1427.0432098765432,2.996703296703297,58.743055555550335,2501.103260869565,267,291,210,211,237,240
8,309.6689189189189,2.055605114481118,57.47222222221611,1642.5877862595419,270,224,220,222,240,240
9,235.39423076923077,2.127298552727552,66.24305555555394,1745.475,265,215,216,206,233,236
10,245.27272727272728,2.024020285846012,63.194444444445175,1714.15625,178,201,198,187,215,226
11,268.60759493670884,2.2370502174772633,61.61111111111165,1558.7462686567164,157,195,189,173,194,216
0,253.81176470588235,16.082815734989648,64.2638888888898,1658.2608695652175,154,167,171,172,181,121
1,244.21686746987953,12.67738153395212,66.87500000000666,1658.8181818181818,133,147,155,161,179,115
2,237.8939393939394,9.912540034491254,67.13888888889309,1576.72131147541,114,131,142,138,108,105
3,252.40983606557376,6.789199044385766,65.80555555555762,1650.5786163522012,122,116,143,123,113,106
4,240.15277777777777,4.373015873015873,64.1597222222216,1616.328244274809,120,109,148,85,115,107
5,242.2297551789077,2.6356018802370738,64.89583333333172,1629.8179775280898,130,115,143,92,105,114
