,stw,sto,sth,att,Bus0_AOD,Bus1_AOD,Bus2_AOD,Bus3_AOD,Bus4_AOD,Bus5_AOD
0,248.13135593220338,6.528048614767882,3.5,196.03125,703,652,538,497,568,505
1,261.2715517241379,5.690635050395774,3.931818181818182,214.23963133640552,650,522,464,451,525,437
2,238.84078212290504,4.865151515151515,3.9151515151515155,228.20172910662825,530,462,396,407,471,374
3,253.0236559139785,4.161108416955771,4.362121212121212,246.1752808988764,526,423,359,365,413,351
4,249.43886462882097,4.401573576380774,7.115151515151516,252.3590909090909,559,394,338,334,385,324
5,269.81371191135736,4.804387155133424,8.292424242424241,263.5780682643428,578,362,295,314,359,303
6,415.5893246187364,5.190052386327457,17.863636363636363,237.44198250728863,790,597,384,428,497,445
7,571.5652173913044,2.4952410532491287,23.35757575757576,187.79883040935673,836,856,810,668,721,567
8,327.9801324503311,1.5058445661331086,16.146969696969695,167.7215777262181,842,880,842,811,749,624
9,260.062893081761,1.4406349206349205,7.55,174.76237623762376,827,858,798,702,740,625
10,256.2279069767442,1.5286832729669875,4.745454545454546,172.2766990291262,814,810,738,655,679,590
11,241.08510638297872,1.579225806451613,3.5,191.8,757,742,615,567,639,555
0,224.88888888888889,6.4167225453874925,1.7666666666666666,196.02991452991452,695,610,626,561,484,533
1,229.70281124497993,5.71988144248183,2.8287878787878786,215.70954356846474,635,501,563,507,421,480
2,229.89795918367346,4.89704626757595,2.23030303030303,231.37602179836512,587,434,516,442,361,422
3,238.99352051835854,4.1575468056359774,2.0606060606060606,243.5287610619469,490,397,478,415,347,385
4,245.32603938730853,3.8207842254085036,6.421212121212121,255.2425629290618,521,382,456,366,330,367
5,259.94714587737843,3.9219052224371374,7.584848484848485,258.6935724962631,530,341,429,320,299,337
6,404.4336099585062,4.594769470671573,14.287878787878787,237.98882681564245,782,514,571,440,433,447
7,641.2491767288694,2.1502645858181997,17.418181818181818,174.62004662004662,838,847,868,753,673,600
8,350.6221294363257,1.231170038485542,10.313636363636364,159.62857142857143,844,850,880,835,701,697
9,244.70358306188925,1.5139637129234005,4.8500000000000005,167.2680412371134,836,833,865,747,666,667
10,226.336,1.3967303488261569,2.6,173.78242677824267,795,787,813,699,618,630
11,241.77542372881356,1.3984561315426132,2.8348484848484845,193.1150442477876,740,691,685,636,536,567
0,244.71100917431193,6.741405818131564,3.3666666666666667,216.3719806763285,740,570,564,558,547,477
1,257.9868421052632,5.914554162178797,5.807575757575758,234.25454545454545,676,511,495,503,483,436
2,249.35476190476192,5.0809376786735285,6.396969696969697,239.88861386138615,554,446,412,454,420,364
3,242.87746170678338,4.865348671755357,9.6,255.018018018018,570,393,388,423,389,350
4,250.58163265306123,4.050122468869824,12.916666666666666,261.74454148471614,568,362,365,365,362,341
5,306.83217270194984,4.800395256916996,15.578787878787878,271.2999263080324,596,330,357,342,318,334
6,438.4267337807606,5.403059522946421,23.672727272727272,242.90318701142513,791,613,469,463,440,407
7,523.3818181818182,2.3619809274284425,21.712121212121207,195.51258581235697,836,846,834,750,600,571
8,307.29910714285717,1.004967598376015,18.04848484848485,172.38018433179724,839,860,874,824,725,681
9,269.11003236245955,1.0149264119884598,10.292424242424243,172.38162544169612,833,844,823,724,680,657
