,bunching,ploss,qloss,reward,reward1,reward2,avg_hold,action,wait,travel,delay,AOD,headway_mean0,headway_mean1,headway_mean2,headway_mean3,headway_mean4,headway_mean5,headway_mean6,headway_mean7,headway_mean8,headway_mean9,headway_mean10,headway_mean11,headway_var0,headway_var1,headway_var2,headway_var3,headway_var4,headway_var5,headway_var6,headway_var7,headway_var8,headway_var9,headway_var10,headway_var11
0,0,,,,,,88.18865740740742,,1852.614680172055,1611.421581769437,1928.2476541554959,3.8965860126548666,530.0185185185185,525.2830188679245,526.0377358490566,528.2264150943396,528.7735849056604,533.1346153846154,533.6666666666666,535.0784313725491,538.84,541.5102040816327,540.7142857142857,541.3125,44407.758916323735,30599.863296546817,45168.45140619437,31079.609113563547,44936.09967960129,31021.808801775143,42339.712418300645,28660.38600538254,42273.7744,29144.53561016243,43152.857142857145,29749.298177083332
0,0,,,,,,88.28587962962962,,1670.5527666065732,1592.2062417437253,1819.6964993394981,3.5511252292150366,529.7407407407408,524.5849056603773,525.8490566037735,527.811320754717,528.6415094339623,532.7115384615385,534.2352941176471,536.2941176470588,540.62,542.1836734693877,541.0816326530612,541.4375,37196.56241426612,25530.92203631186,37488.920612317546,25386.643645425418,37532.56959772161,24980.282174556207,36058.219146482115,23687.148788927338,35310.5956,24029.74177426073,35606.319866722195,24498.49609375
0,0,,,,,,88.08121141975307,,1988.1902533039647,1624.8867226890757,1951.2206722689075,3.798188076155086,530.4629629629629,525.0566037735849,525.9811320754717,528.0566037735849,528.8301886792453,532.7307692307693,534.8039215686274,535.9803921568628,540.52,541.4285714285714,540.6938775510204,541.5416666666666,43983.65603566529,30852.61943752225,43943.603417586324,30577.826984692067,43413.650409398375,31140.004437869822,42476.11841599385,29032.84275278739,41644.8496,29543.346938775514,42493.23281965847,30157.623263888887
0,0,,,,,,88.23090277777779,,1818.1261512698857,1589.5408094435077,1896.8215851602024,3.4847933998140714,531.074074074074,524.3396226415094,525.7169811320755,527.3962264150944,528.566037735849,533.1923076923077,534.6274509803922,536.4509803921569,539.24,541.8367346938776,540.9795918367347,541.1666666666666,52027.58710562414,37892.63937344251,52579.10857956568,37876.6543253827,51712.28337486651,38208.77071005917,50426.90042291425,36727.22798923491,49971.58239999999,37620.46314035818,50840.10162432321,38383.847222222226
0,0,,,,,,87.84510030864197,,1705.8787532170431,1606.7029551630435,1862.5416100543478,3.402303487561164,529.9629629629629,524.9811320754717,526.3962264150944,527.9811320754717,532.0192307692307,533.6153846153846,535.2156862745098,537.0980392156863,539.46,541.9795918367347,540.4489795918367,541.2083333333334,34057.40603566529,24484.96190815237,35289.63545745818,24258.69775720897,34374.63424556213,24153.082840236682,31969.463283352557,22074.55901576317,31319.8084,22533.897542690545,32039.635152019993,22963.331597222223
0,0,,,,,,88.1298225308642,,1754.8690990112798,1585.0759219088936,1825.2646420824294,3.670228283137807,530.3518518518518,524.4528301886793,525.2641509433962,527.622641509434,528.1132075471698,533.4038461538462,535.8823529411765,537.2941176470588,540.62,541.6530612244898,541.0204081632653,541.3541666666666,46035.48731138546,35134.5119259523,45994.1943752225,35129.21609113563,45401.6098255607,35024.04844674556,44580.2214532872,33456.16839677048,43968.27559999999,34576.553102873804,44896.14244064973,35298.270399305555
0,0,,,,,,88.3761574074074,,1907.3154512433641,1615.675580221998,2013.2462159434915,3.6360058205715604,529.9629629629629,524.4905660377359,525.622641509434,527.377358490566,528.6415094339623,533.8846153846154,534.4705882352941,536.1176470588235,539.22,541.3265306122449,540.8979591836735,541.25,44264.29492455419,29261.00462798148,44686.31043075827,29211.253826984692,43767.588465646135,28877.948224852073,42695.6216839677,27458.809688581317,42487.8116,28359.730112453144,43214.132444814655,28958.1875
0,0,,,,,,88.23263888888889,,1620.2505665722379,1583.1462596444146,1742.1663871184167,3.480447448102378,529.8333333333334,525.4905660377359,526.3018867924528,528.622641509434,531.6730769230769,533.5769230769231,534.5294117647059,535.7058823529412,539.4,542.1632653061224,540.8775510204082,541.2083333333334,32403.76851851851,23784.023495906014,33270.28622285512,23471.06514773941,32978.33542899408,23847.167159763307,30546.719723183392,21676.59976931949,29744.0,21824.17742607247,30241.862557267803,22232.706597222223
0,0,,,,,,87.41666666666667,,1831.219242466132,1605.2286519648483,1923.8325319184214,3.835345755988573,530.7407407407408,525.7169811320755,526.1132075471698,528.7169811320755,532.4423076923077,533.6346153846154,534.5686274509804,535.0,538.38,541.3673469387755,540.265306122449,541.1875,48022.8587105624,30711.221787112852,48669.798504805985,30700.0519757921,48045.66974852071,30913.00110946745,46272.402153018076,28269.647058823528,45607.59560000001,28778.681382757182,46586.23573511037,29392.40234375
0,0,,,,,,88.17283950617283,,1848.237422037422,1579.3815134417523,1956.6832061068703,3.7646527817083757,530.1296296296297,524.9245283018868,525.6792452830189,527.5849056603773,528.6415094339623,533.6730769230769,534.8823529411765,536.3529411764706,539.68,541.4285714285714,539.8979591836735,541.6458333333334,39507.520233196155,28387.126379494486,40194.29334282663,28428.95977216091,39396.72054111783,28654.25850591716,37384.53517877739,26710.698961937716,37080.457599999994,27185.102040816328,37834.82632236568,27748.728732638887
