,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,0,0,360,720,1080,1440,1800,2360,2835,3222,3585,3815,4396,4942,5390,5761,6085,6143,6985,7511,7950,8330,8609,8744,9609,10085,10546,10902,11178,11292,12241.0,12681.0,13137.0,13439.0,13741.0,13894.0
1,1,183,546,912,1266,1626,2010,2551,3035,3428,3783,4003,4591,5153,5597,5967,6282,6331,7187,7713,8151,8525,8806,8941,9811,10294,10741,11097,11367,11485,12439.0,12879.0,13339.0,13646.0,13932.0,14089.0
2,2,371,734,1103,1454,1814,2198,2744,3232,3625,3991,4194,4797,5357,5794,6162,6475,6521,7393,7916,8351,8729,9001,9140,10020,10494,10950,11297,11560,11685,12648.0,13079.0,13536.0,13843.0,14136.0,14288.0
3,3,567,933,1302,1653,2001,2397,2964,3426,3819,4187,4388,4999,5568,5993,6369,6674,6706,7631,8124,8547,8925,9208,9327,10255,10696,11155,11490,11761,11875,12889.0,13278.0,13737.0,14037.0,14332.0,
4,4,760,1138,1507,1861,2200,2602,3154,3634,4027,4383,4587,5219,5785,6201,6574,6872,6893,7875,8332,8746,9126,9404,9523,10484,10919,11363,11689,11960,12071,13115.0,13486.0,13945.0,14236.0,,
5,5,956,1334,1715,2063,2393,2804,3362,3833,4241,4582,4779,5424,5990,6397,6772,7065,7118,8083,8552,8947,9324,9603,9717,10722,11121,11562,11900,12162,12274,13341.0,13697.0,14153.0,,,
6,6,1176,1563,1956,2304,2601,3069,3636,4092,4464,4811,4990,5677,6246,6644,7013,7297,7428,8315,8829,9260,9559,9814,9996,10960,11440,11836,12153,12388,12537,13576.0,14025.0,,,,
7,7,1405,1819,2221,2569,2848,3340,3910,4387,4699,5061,5201,5936,6484,6939,7329,7607,7639,8523,9028,9504,9881,10175,10243,11183,11654,12098,12457,12716,12817,13793.0,14224.0,,,,
8,8,1601,2033,2435,2780,3044,3569,4121,4586,4964,5296,5397,6147,6704,7147,7528,7815,7973,8749,9257,9709,10080,10377,10526,11406,11877,12312,12647,12927,13112,14013.0,,,,,
9,9,1789,2228,2627,2977,3242,3779,4334,4787,5159,5498,5583,6369,6899,7349,7729,8017,8159,8971,9467,9922,10287,10579,10715,11616,12075,12519,12847,13124,13305,14238.0,,,,,
10,10,1981,2427,2826,3185,3432,3982,4542,4983,5355,5694,5768,6574,7102,7556,7927,8216,8353,9182,9669,10121,10495,10777,10905,11821,12278,12726,13040,13338,13503,,,,,,
11,11,2170,2632,3025,3390,3624,4187,4738,5193,5562,5890,5957,6777,7314,7759,8128,8414,8547,9394,9868,10328,10685,10976,11095,12017,12477,12925,13239,13537,13697,,,,,,
