,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,360,720,1080,1440,1800,2907,3549,3691,4549,4997,5178,6700,7098,7279.0,8448.0,8970.0,9151.0,10460.0
1,1,189,546,909,1275,1629,1992,3224,3768,3995,4822,5356,5443,6970,7457,7553.0,8682.0,9329.0,9381.0,10792.0
2,2,380,731,1106,1463,1990,2211,3585,4129,4356,5164,5571,5804,7296,7733,7914.0,9043.0,9561.0,9628.0,
3,3,570,927,1296,1656,2264,2492,3820,4357,4643,5524,5872,6164,7622,8093,8274.0,9403.0,9807.0,9862.0,
4,4,769,1120,1492,2016,2460,2713,4180,4708,4870,5765,6232,6524,7905,8453,8634.0,9763.0,10030.0,10148.0,
5,5,968,1316,1691,2376,2702,2909,4540,4928,5109,6125,6592,6782,8152,8813,8994.0,10123.0,10228.0,10409.0,
6,6,1194,1575,1959,2736,3062,3240,4806,5288,5473,6485,6884,7058,8376,9173,9385.0,10343.0,10588.0,10714.0,
7,7,1420,1852,2218,2980,3419,3539,5166,5490,5833,6743,7170,7431,8729,9533,9745.0,10703.0,,,
8,8,1628,2212,2444,3340,3718,3899,5395,5850,6071,7081,7530,7711,9089,9888,10069.0,,,,
9,9,1826,2571,2732,3559,4077,4258,5619,6209,6390,7440,7889,8070,9448,10247,10366.0,,,,
10,10,2186,2882,3063,3919,4437,4544,5979,6569,6750,7800,8249,8430,9740,10545,10589.0,,,,
11,11,2546,3242,3369,4188,4636,4831,6339,6823,6981,8087,8609,8790,10099,10768,,,,,
