,stw,sto,sth,att,Bus0_AOD,Bus1_AOD,Bus2_AOD,Bus3_AOD,Bus4_AOD,Bus5_AOD
0,241.8728813559322,6.850041981528128,63.166666666667425,375.62831858407077,513,540,526,530,500,567
1,252.08403361344537,5.94103966759334,63.76574074074332,382.06493506493507,488,493,475,479,457,443
2,247.28743961352657,4.784561650511724,63.213888888890665,395.1281407035176,436,428,434,411,406,389
3,234.8249452954048,3.5532347119491607,62.775000000000944,390.6907449209932,421,411,389,385,348,363
4,246.32692307692307,2.3807973280056123,62.725000000000584,426.86394557823127,394,385,374,383,344,381
5,241.0824295010846,1.6786712226619795,62.750925925925635,421.3448012232416,389,390,352,338,324,348
6,816.1310782241014,1.500401034782707,59.3453703703691,397.67583732057415,538,562,511,509,499,487
7,5273.883516483516,0.811844182757146,57.27499999999816,364.25497287522603,755,766,693,709,712,708
8,414.6310272536688,0.5513001074603535,59.1481481481463,363.00451467268624,758,782,700,713,714,720
9,260.44897959183675,0.656810169853648,66.80277777777813,406.7039711191336,751,696,693,705,699,711
10,235.71794871794873,0.6187802071346377,62.64444444444513,370.3333333333333,694,643,634,663,638,678
11,246.14361702127658,0.8516174402250352,61.07407407407453,374.52272727272725,562,606,576,603,567,641
0,247.36324786324786,7.055474894131883,62.925925925926656,377.84444444444443,532,535,570,554,569,546
1,259.8451882845188,5.8696867815095946,63.61296296296518,410.67965367965365,468,488,520,502,512,444
2,242.13192612137203,4.592595964983024,63.23240740740918,389.25779036827197,428,430,463,434,456,395
3,252.2210953346856,3.575092558983666,62.61851851851944,405.86609071274296,402,410,424,404,392,343
4,236.87257019438445,2.382687522218272,62.862037037037624,404.84198645598195,398,403,390,392,392,353
5,243.87188612099644,1.8749866788460074,62.712037037036794,407.4175572519084,380,401,372,380,375,357
6,1094.0105438401777,1.4640803153651154,59.58240740740606,403.76310919185687,535,545,502,508,524,528
7,4413.233809001098,0.9773924784298232,57.733333333331466,371.36986301369865,755,769,689,698,707,720
8,345.83193277310926,0.7668182710555592,59.490740740738886,372.68502202643174,754,778,696,700,718,720
9,268.5045592705167,0.7487411427709935,66.75555555555586,365.04487179487177,746,682,690,696,709,698
10,224.52226720647772,0.8183455364045659,62.605555555556236,403.9875,697,652,652,654,677,666
11,251.0,0.8328707558516051,61.027777777778226,378.14859437751005,581,587,600,615,614,606
