,stw,sto,sth,att,Bus0_AOD,Bus1_AOD,Bus2_AOD,Bus3_AOD,Bus4_AOD,Bus5_AOD
0,237.44,15.342770330652366,0.0,1431.3793103448277,207,170,189,172,205,176
1,245.1046511627907,12.397082018927446,5.666666666666771,1560.4933333333333,128,161,165,157,188,152
2,224.95238095238096,10.703703703703702,22.75000000000239,1690.9814814814815,119,148,148,136,173,140
3,215.74172185430464,7.537323546019199,85.80555555557108,1606.2424242424242,125,135,135,127,151,97
4,214.92638036809817,4.763220525918615,95.86111111112861,1608.0714285714287,126,130,132,123,144,94
5,230.01769911504425,3.3692022263450827,95.80555555557515,1593.7532133676093,132,133,128,103,94,96
6,231.65446559297217,2.553045364178565,41.41666666667439,1513.3618881118882,190,191,197,158,145,125
7,607.4154727793697,1.7052949298397713,0.0,1713.4178571428572,264,302,302,199,226,190
8,286.0060975609756,0.7942332896461339,0.0,1432.3260869565217,283,319,320,240,237,236
9,256.22727272727275,0.8503322259136212,0.0,1391.9381443298969,283,306,238,224,231,223
10,234.0326086956522,0.9253694581280787,0.0,1433.581081081081,254,288,227,220,226,206
11,211.65753424657535,1.0785034876347495,0.0,1575.344262295082,228,191,215,198,220,193
0,223.75294117647059,14.916302521008403,0.0,1479.8,226,154,181,149,170,191
1,222.86021505376345,11.769175050301813,3.7916666666669605,1513.6533333333334,216,144,157,150,155,172
2,220.44666666666666,8.728479853479854,11.611111111117395,1640.0526315789473,137,128,135,129,142,148
3,215.46596858638745,5.726213282247765,66.37500000001587,1601.867924528302,132,118,130,119,138,146
4,216.63975155279502,3.0178416767711753,91.83333333334822,1566.3333333333333,130,126,130,128,145,94
5,215.11451942740285,1.972032902467685,90.06944444446253,1475.7432762836186,123,133,123,121,149,91
6,238.1040650406504,1.7577355530375662,37.291666666675475,1504.4457142857143,181,202,176,181,152,151
7,448.7252396166134,1.3667847304210943,0.0,1621.6124031007753,253,271,284,217,218,209
8,251.76687116564418,1.031596003240616,0.0,1477.6758620689654,286,291,308,229,240,233
9,252.19101123595505,0.7905660377358489,0.0,1254.0394736842106,286,298,218,219,231,232
10,206.61904761904762,1.1093727206418675,0.0,1402.380281690141,272,275,206,190,202,226
11,214.31645569620252,1.319047619047619,0.0,1526.144927536232,260,248,193,175,179,205
0,224.3783783783784,14.925557586837295,0.0,1484.9516129032259,191,180,185,188,173,177
1,238.30379746835442,12.526836158192088,4.625000000000116,1537.5277777777778,127,160,169,174,162,152
2,211.64661654135338,10.123522458628843,33.930555555580504,1469.302752293578,121,139,154,148,148,136
3,235.3860759493671,7.884057971014492,91.4027777777917,1597.3529411764705,116,131,151,140,138,83
4,225.8806818181818,5.966961110473784,96.5694444444626,1626.9395973154362,114,130,152,130,141,91
5,225.72708757637474,3.5189610389610393,99.3888888889092,1507.8896713615025,109,126,144,129,102,90
6,323.90304709141276,2.0618393234672308,39.875000000009095,1582.1404958677685,179,179,178,195,142,159
7,849.4431486880467,1.3886794823470283,0.0,1957.4708171206225,269,296,284,218,226,223
8,251.1908396946565,0.6339714471122647,0.0,1552.8934426229507,280,312,239,233,240,237
9,235.53465346534654,0.6349462365591396,0.0,1370.845238095238,256,300,234,234,236,228
10,211.4102564102564,0.6380866425992779,0.0,1431.0,243,279,221,216,218,208
11,207.92207792207793,0.8752129285870277,0.0,1559.4705882352941,218,189,205,212,195,186
0,237.44736842105263,15.42431969552807,0.0,1503.076923076923,185,173,172,162,184,175
1,242.02247191011236,12.56416135881104,5.833333333349574,1507.2631578947369,168,147,165,146,167,149
2,220.21428571428572,10.598480212158305,24.99999999999908,1689.6896551724137,100,140,159,141,151,126
3,219.97368421052633,7.862781954887218,77.05555555556892,1555.04,97,119,154,150,138,140
4,219.1125,5.554305641487148,93.94444444445985,1466.0342465753424,112,129,150,147,138,97
5,228.57755102040815,3.4836084631481046,91.3194444444628,1539.8848039215686,113,133,149,137,127,89
6,244.3949843260188,3.1037250554323723,36.68055555558008,1533.0418943533698,169,213,190,197,122,134
7,718.6791277258567,2.0835306498289925,0.0,1818.3036437246963,233,300,288,222,203,202
8,353.62025316455697,1.638180272108843,0.0,1507.6814814814816,250,320,306,229,229,234
9,226.94949494949495,1.9252570253598358,0.0,1431.1954022988505,243,317,229,214,223,233
10,274.2739726027397,1.9225225225225226,0.0,1538.2372881355932,228,287,203,192,210,212
11,221.93421052631578,1.968421052631579,0.0,1564.3968253968253,200,199,178,174,201,188
0,206.68421052631578,15.649788732394367,0.0,1599.953488372093,199,180,199,185,182,191
1,224.44210526315788,12.742216117216119,9.708333333340612,1654.658536585366,130,163,185,178,170,175
2,223.55633802816902,9.956709956709956,33.48611111111974,1517.0350877192982,120,145,167,171,164,157
3,205.89333333333335,7.697712754996907,81.62500000001417,1541.5777777777778,120,147,164,159,153,101
4,231.08695652173913,4.659768849752338,94.31944444446167,1506.1830985915492,110,137,159,143,141,100
5,229.46966731898237,2.656234475906607,91.3055555555748,1563.908071748879,122,113,144,135,115,103
6,256.7353846153846,1.324119762482228,34.66666666668997,1601.135623869801,182,186,216,191,141,171
7,535.6376306620209,1.572086033624495,1.6666666666810352,1813.8565737051792,243,294,318,226,212,228
8,500.5243902439024,1.1107179713990862,1.2500000000107765,1799.7103448275861,262,317,320,240,240,236
9,200.52586206896552,1.190870138431114,0.0,1387.2,258,312,240,240,230,237
10,216.86764705882354,1.0839398180545836,0.0,1411.15625,249,300,224,229,205,222
11,217.53623188405797,1.124102390808482,0.0,1535.5714285714287,223,199,212,204,198,210
0,209.7439024390244,14.775106186518927,0.0,1637.625,210,176,166,173,178,180
1,209.86516853932585,11.799838709677418,5.902777777775541,1518.8133333333333,198,166,148,148,166,166
2,199.63636363636363,9.721176821983274,18.722222222212086,1561.9305555555557,139,147,132,139,144,136
3,216.95580110497238,7.764931396287329,63.236111111123,1659.456375838926,145,133,139,137,125,147
4,208.61971830985917,5.710997442455243,92.56944444445936,1649.8916666666667,141,130,142,133,119,117
5,215.81836734693877,3.839262187088274,92.23611111112905,1542.3024390243902,136,129,131,134,114,115
6,232.93700787401573,1.8655447605829285,39.37500000000515,1498.234003656307,178,187,180,210,142,151
7,501.49013157894734,1.433255269320843,0.0,1689.189723320158,275,262,277,201,218,231
8,297.6602564102564,1.084948552285236,0.0,1495.3333333333333,299,283,312,228,230,240
9,221.1818181818182,0.9442359249329759,0.0,1382.7078651685392,293,284,228,223,230,234
10,244.24719101123594,0.6752840909090909,0.0,1535.68,278,277,204,222,217,210
11,195.8235294117647,0.8556633048875096,0.0,1429.2898550724638,238,268,183,199,202,199
0,213.81052631578947,14.751940575673169,0.0,1557.9259259259259,202,161,178,182,175,179
1,232.91011235955057,11.875,7.791666666666914,1519.9736842105262,140,158,163,164,153,161
2,217.87412587412587,9.91786283891547,22.805555555554452,1610.624,128,134,143,153,132,146
3,210.15656565656565,6.1298157453936355,80.54166666668016,1612.2426035502958,118,131,126,153,125,143
4,215.36904761904762,4.18635112823335,94.48611111112837,1511.4666666666667,128,144,133,166,120,99
5,229.1822125813449,2.0285714285714285,93.88888888890806,1516.6044776119404,129,141,142,153,91,114
6,239.78765060240963,1.2630931160342926,39.59722222224527,1519.424610051993,174,197,213,199,125,163
7,393.47350993377484,1.0355385107062958,0.0,1546.7992125984251,252,294,302,220,189,233
8,274.69375,0.6616760241214391,0.0,1415.376811594203,291,301,312,240,219,240
9,247.51685393258427,0.7504694835680752,0.0,1444.0625,278,293,233,239,218,230
10,233.16326530612244,0.8708933717579251,0.0,1421.2168674698796,249,270,217,224,210,218
11,237.140350877193,1.137334862580179,0.0,1685.5961538461538,230,188,207,215,194,205
0,238.85858585858585,15.417040358744394,0.0,1428.0,196,178,178,190,180,193
1,219.367816091954,12.427240704500978,5.5000000000002744,1692.8815789473683,194,162,147,161,178,180
2,242.527950310559,9.988262910798122,22.611111111110656,1625.5833333333333,117,142,133,143,155,162
3,227.76063829787233,7.652380952380952,70.88888888889936,1636.5443037974683,121,135,140,145,144,155
4,226.5819209039548,5.628351671829933,92.5694444444597,1555.3630573248408,116,130,149,155,155,109
5,215.94758064516128,3.6167190718855036,91.65277777779595,1564.2291169451073,123,145,146,146,150,92
6,249.328,2.355025666501077,35.98611111111857,1517.0383912248628,177,203,201,225,155,137
7,351.8241379310345,1.6856249202093703,0.0,1643.9960784313726,248,303,267,228,219,227
8,386.9155844155844,1.073908107785147,0.0,1688.3720930232557,269,310,300,236,240,239
9,252.57692307692307,1.2092219986586186,0.0,1437.7582417582419,262,296,232,233,228,240
10,219.30882352941177,1.2817415730337078,0.0,1356.3728813559321,247,279,223,225,221,229
11,232.75714285714287,1.1790697674418604,0.0,1577.327868852459,230,258,199,205,198,200
0,233.98611111111111,14.934807872539832,0.0,1602.0526315789473,212,178,159,168,175,175
1,220.49462365591398,11.736018826135105,5.041666666666778,1429.345238095238,134,162,143,159,157,148
2,193.7793103448276,9.56904761904762,32.06944444446949,1577.7954545454545,126,153,140,143,134,144
3,219.07222222222222,7.078320802005012,86.45833333334595,1569.9444444444443,123,146,133,127,127,142
4,231.19018404907976,4.7899537969434896,92.11111111112835,1556.945205479452,109,142,128,127,128,100
5,215.80244399185335,3.375570627364028,92.97222222224156,1564.8235294117646,116,142,122,135,85,97
6,295.77064220183485,2.0180333595319184,35.19444444447017,1587.0160142348755,187,201,175,202,143,133
7,858.3478260869565,2.206648697214735,1.4166666666647458,1900.4136363636364,268,285,280,221,218,212
8,237.66666666666666,1.6719240995890736,0.0,1461.6,272,305,306,240,232,221
9,232.35714285714286,1.6346994535519122,0.0,1423.4819277108434,262,300,225,236,223,218
10,232.84337349397592,1.4328467153284672,0.0,1459.3055555555557,255,275,198,218,216,208
11,231.3835616438356,1.4103133043401082,0.0,1586.5967741935483,229,188,186,194,196,193
0,216.01190476190476,14.925962059620597,0.0,1414.6712328767123,211,188,193,166,172,177
1,224.1,11.894939759036143,2.8750000000003033,1636.4492753623188,196,157,170,154,152,167
2,212.3884892086331,10.093221172766626,17.29166666665489,1715.0338983050847,126,132,155,148,136,150
3,199.77906976744185,6.625103777501037,71.90277777779112,1671.6333333333334,113,124,150,144,131,141
4,217.35294117647058,4.675339495606528,93.6805555555706,1495.8757763975154,119,110,137,158,131,107
5,217.01364522417154,2.6451539855072457,92.6944444444626,1532.9404761904761,125,118,131,150,133,111
6,239.4015748031496,1.804146278650528,37.25000000002537,1517.8366247755835,179,187,195,216,136,146
7,413.6587837837838,1.133872416891285,0.0,1656.09375,264,271,278,228,220,223
8,264.1656050955414,0.7935520194387646,0.0,1406.3257575757575,271,311,308,240,238,239
9,203.47252747252747,0.7435246995994661,0.0,1360.6493506493507,274,293,228,234,230,239
10,219.64772727272728,0.9347322720694646,0.0,1582.493670886076,260,259,224,211,213,215
11,203.7948717948718,0.8141686182669788,0.0,1440.560606060606,242,251,206,192,191,199
0,237.9375,14.31509433962264,0.0,1808.0357142857142,198,172,170,175,167,178
1,213.8961038961039,10.988530318602262,6.7083333333442985,1506.6610169491526,183,155,175,153,152,155
2,220.57931034482758,8.75400641025641,20.583333333336878,1587.0077519379845,119,132,160,133,147,141
3,220.8170731707317,6.3252534854245885,72.00000000001528,1549.2426470588234,102,133,141,130,139,144
4,195.38888888888889,4.963506198707875,88.80555555557278,1518.626984126984,108,134,140,125,137,103
5,226.57171314741035,3.0231965023075054,89.31944444446316,1526.2481751824816,116,126,139,114,133,88
6,239.20775193798448,2.3874119011508617,37.500000000025096,1478.4611111111112,168,199,183,193,130,146
7,484.6913183279743,1.962466137928784,0.0,1638.183908045977,240,297,278,211,218,215
8,318.20805369127515,1.1697207281125597,0.0,1398.25,275,301,305,221,234,231
9,229.17582417582418,1.1882758620689655,0.0,1524.175,274,304,219,219,218,216
10,239.96385542168676,1.2145427286356825,0.0,1456.0140845070423,243,271,204,203,211,202
11,234.92592592592592,1.066612641815235,0.0,1606.4782608695652,221,250,183,194,189,197
0,221.3815789473684,15.064814814814813,0.0,1475.3478260869565,215,158,163,182,173,189
1,221.17977528089887,11.779731682146545,1.4166666666668182,1558.1830985915492,200,145,143,153,161,167
2,198.73825503355704,8.794979296066252,30.458333333329843,1568.1692307692308,136,128,119,138,141,143
3,219.02717391304347,6.17185534591195,83.65277777777587,1693.5548780487804,144,117,118,134,137,145
4,207.7019867549669,3.81199838327848,96.38888888890449,1577.2153846153847,138,109,115,134,142,115
5,215.1058091286307,1.9725472547254723,96.30555555557508,1535.9176470588236,135,112,114,134,99,113
6,261.952802359882,2.0224660397074197,30.13888888889875,1521.2330960854092,180,158,189,205,153,159
7,1429.4873949579833,1.9937765205091933,0.0,2362.0829694323143,261,280,271,230,240,233
8,249.7171052631579,1.3390191897654586,0.0,1551.1311475409836,276,300,312,240,240,240
9,225.2112676056338,1.2532366824005394,0.0,1409.0,270,283,230,236,231,233
10,226.04761904761904,1.421711976487877,0.0,1583.0,246,261,208,218,207,221
11,221.5921052631579,1.5389526892209464,0.0,1633.0983606557377,229,168,186,206,195,203
0,222.29591836734693,15.059745916515428,0.0,1531.8,215,175,166,181,169,196
1,209.83116883116884,13.101913834534844,2.875000000000135,1634.6029411764705,143,167,157,168,158,178
2,231.4855072463768,10.054195804195805,28.305555555549915,1662.4666666666667,123,145,146,149,136,159
3,233.72392638036808,7.9452713649250715,85.15277777779228,1599.5343511450383,121,133,149,135,137,148
4,213.7814569536424,5.467055132227701,96.98611111112659,1453.2611940298507,117,130,149,136,133,111
5,217.94714587737843,3.842419956281343,95.84722222224177,1533.011990407674,103,129,141,136,98,100
6,232.58625954198473,2.605088396302612,41.13888888889387,1522.6192170818506,134,184,190,199,138,168
7,483.5184049079755,1.800582820054308,0.0,1670.2213740458014,241,272,279,213,203,230
8,250.70666666666668,0.9738727349346821,0.0,1323.9739130434782,285,296,306,233,222,240
9,207.29347826086956,1.3008264462809915,0.0,1460.506329113924,269,293,212,231,210,237
10,228.95555555555555,1.1020848573518656,0.0,1470.4266666666667,263,282,201,207,194,220
11,234.15189873417722,1.1190952588081775,0.0,1377.4285714285713,238,194,186,198,182,212
0,232.95,14.493483146067419,0.0,1353.3243243243244,190,189,176,168,173,172
1,224.25252525252526,11.203227176220807,4.0833333333387385,1529.9772727272727,158,161,164,157,152,150
2,216.3375796178344,9.958634175691937,24.875000000001474,1618.6165413533834,101,160,147,151,137,135
3,220.3314606741573,6.760262725779966,72.1250000000165,1633.5364238410596,99,152,141,139,139,142
4,205.0344827586207,4.8315829569570665,92.90277777779245,1564.0859375,109,156,141,145,136,112
5,229.6840077071291,3.0049052396878495,91.31944444446204,1509.3653395784543,113,167,133,130,136,101
6,227.44897959183675,1.9461898395721926,33.81944444446835,1496.7963302752294,167,223,196,201,151,150
7,285.70671378091873,1.449461528480602,0.0,1524.1349206349207,233,298,304,211,214,208
8,233.2112676056338,1.4650834560628379,0.0,1425.2403100775193,241,309,320,224,224,234
9,200.46391752577318,1.5235397607318792,0.0,1515.685393258427,231,306,224,218,221,221
10,220.4387755102041,1.2956928838951312,0.0,1463.2954545454545,223,293,208,203,206,202
11,239.36764705882354,1.2490384615384618,0.0,1432.0576923076924,210,279,189,183,193,194
0,227.65853658536585,14.43601118359739,0.0,1408.943661971831,211,170,175,179,180,158
1,242.0441176470588,11.582096774193548,5.12500000000028,1475.225806451613,200,156,163,159,163,151
2,214.13548387096773,8.959422011084717,17.000000000015117,1580.4436090225563,130,150,137,143,145,137
3,221.9090909090909,6.203674948240166,66.61111111112692,1575.2634730538923,133,139,114,141,151,127
4,227.81065088757396,4.196953752423152,89.16666666668176,1500.132450331126,147,140,117,142,143,96
5,218.20668058455115,3.134580905423576,88.73611111112963,1565.234718826406,139,136,126,133,145,97
6,242.00974025974025,1.8886142983230358,38.402777777785325,1501.9847036328872,185,180,178,200,152,135
7,316.702875399361,1.9760235089828362,1.9999999999984273,1505.2014925373135,255,275,279,218,204,195
8,244.07272727272726,1.004862831452427,0.0,1363.0206896551724,275,297,312,224,223,226
9,218.9047619047619,0.8269423558897242,0.0,1488.131868131868,271,281,305,227,220,216
10,222.88311688311688,0.9680811808118082,0.0,1420.1791044776119,255,261,222,214,210,193
