,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0,0,360,720,1080,1440,1800,2688,3217,3553,4058,4583,4931,5930,6459,6824,7338,7851.0,8193.0,9172.0,9720.0,10067.0,10580.0
1,1,183,558,903,1266,1626,2001,2895,3464,3852,4360,4864,5239,6153,6718,7116,7598,8102.0,8513.0,9410.0,9956.0,10359.0,
2,2,365,749,1088,1460,1817,2198,3229,3758,4094,4599,5124,5472,6471,7000,7365,7879,8392.0,8734.0,9713.0,10261.0,10608.0,
3,3,561,939,1287,1662,2166,2541,3455,4004,4392,4900,5404,5779,6693,7258,7656,8138,8642.0,9053.0,9950.0,10496.0,,
4,4,766,1138,1492,1861,2374,2734,3769,4298,4634,5139,5664,6012,7011,7540,7905,8419,8932.0,9274.0,10253.0,,,
5,5,956,1352,1694,2202,2706,3081,3995,4544,4932,5440,5944,6319,7252,7798,8196,8678,9182.0,9593.0,10490.0,,,
6,6,1167,1596,1932,2437,2962,3307,4309,4838,5203,5717,6230,6552,7551,8099,8446,8959,9472.0,9843.0,10793.0,,,
7,7,1393,1846,2234,2742,3246,3621,4535,5100,5498,5980,6484,6895,7792,8338,8741,9233,9743.0,10153.0,,,,
8,8,1607,2136,2472,2977,3502,3850,4849,5378,5743,6257,6770,7112,8091,8639,8986,9499,10012.0,10383.0,,,,
9,9,1805,2385,2773,3281,3785,4160,5074,5639,6037,6519,7023,7434,8331,8877,9280,9772,10282.0,10692.0,,,,
10,10,2147,2676,3012,3517,4042,4390,5389,5918,6283,6797,7310,7652,8631,9179,9526,10039,10552.0,,,,,
11,11,2336,2925,3313,3821,4325,4700,5614,6179,6577,7059,7563,7974,8871,9417,9820,10312,,,,,,
