,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,0,0,360,720,1080,1440,1800,2685,3202,3559,4052,4616,4922,5927,6454,6812,7302,7858,8175,9169,9696,10077,10552,11100,11417,12411,12938,13339,13794,14342,14652,15653,16211,16581,17041,17624,17932,18895,19453,19845,20303,20866,21188,22137,22696,23097,23545,24108,24443,25379,25938.0,26385.0,26787.0,27360.0,27710.0,28621.0
1,1,183,555,912,1260,1629,1986,2886,3434,3840,4345,4881,5224,6174,6672,7078,7583,8129,8464,9419,9916,10316,10821,11389,11730,12657,13176,13554,14071,14637,14997,15895,16431,16885,17346,17875,18258,19133,19685,20134,20584,21122,21498,22372,22923,23374,23822,24376,24759,25617,26161.0,26629.0,27073.0,27614.0,28023.0,
2,2,371,746,1100,1445,1811,2171,3226,3743,4100,4593,5157,5463,6468,6995,7353,7843,8399,8716,9710,10237,10618,11093,11641,11958,12952,13479,13880,14335,14883,15199,16194,16752,17122,17582,18165,18473,19436,19994,20386,20844,21407,21729,22678,23237,23638,24086,24649,24984,25920,26479.0,26926.0,27328.0,27901.0,28251.0,
3,3,567,933,1302,1647,2169,2526,3476,3974,4380,4885,5421,5764,6721,7212,7618,8123,8669,9004,9959,10456,10856,11361,11929,12270,13197,13716,14094,14611,15177,15537,16435,16971,17425,17886,18415,18798,19673,20225,20674,21124,21662,22038,22919,23463,23914,24362,24916,25299,26157,26701.0,27169.0,27613.0,28154.0,28563.0,
4,4,766,1129,1489,1840,2368,2713,3766,4283,4640,5133,5697,6003,7008,7535,7893,8383,8939,9256,10250,10777,11158,11633,12181,12498,13492,14019,14420,14875,15423,15731,16734,17292,17662,18122,18705,19013,19976,20534,20926,21384,21947,22269,23218,23777,24178,24626,25189,25524,26460,27019.0,27466.0,27868.0,28441.0,28791.0,
5,5,971,1328,1682,2187,2709,3066,4016,4514,4920,5425,5961,6304,7261,7755,8158,8663,9209,9544,10499,11018,11396,11901,12469,12810,13737,14256,14634,15151,15717,16077,16975,17511,17965,18426,18955,19338,20214,20765,21214,21664,22202,22578,23459,24003,24454,24902,25456,25839,26697,27241.0,27709.0,28153.0,28694.0,,
6,6,1191,1581,1938,2431,2995,3301,4306,4833,5191,5681,6237,6554,7548,8075,8456,8931,9479,9796,10790,11317,11718,12173,12721,13048,14032,14590,14960,15415,16003,16303,17274,17832,18224,18682,19245,19567,20516,21075,21476,21924,22487,22822,23758,24317,24764,25166,25739,26089,27000,27559.0,28006.0,28408.0,,,
7,7,1405,1816,2222,2727,3263,3606,4556,5054,5460,5965,6511,6846,7801,8298,8698,9203,9771,10112,11039,11558,11936,12453,13019,13379,14277,14813,15267,15728,16257,16640,17515,18067,18516,18966,19504,19880,20754,21305,21756,22204,22758,23141,23999,24543,25011,25455,25996,26405,27237,27800.0,28268.0,28694.0,,,
8,8,1604,2121,2478,2971,3535,3841,4846,5373,5731,6221,6777,7094,8088,8615,8996,9471,10019,10336,11330,11857,12258,12713,13261,13584,14572,15130,15500,15960,16543,16851,17814,18372,18764,19222,19785,20107,21056,21615,22016,22464,23027,23362,24298,24857,25304,25706,26279,26629,27540,28099.0,28546.0,,,,
9,9,1805,2355,2761,3266,3802,4145,5095,5593,5999,6504,7050,7385,8340,8837,9237,9742,10310,10651,11578,12097,12475,12992,13558,13918,14816,15352,15806,16267,16796,17179,18054,18606,19055,19505,20043,20419,21293,21844,22295,22743,23297,23680,24538,25082,25550,25994,26535,26944,27776,28339.0,,,,,
10,10,2144,2661,3018,3511,4075,4381,5386,5913,6271,6761,7317,7634,8628,9155,9536,10011,10559,10876,11870,12397,12798,13253,13801,14117,15112,15670,16040,16500,17083,17391,18354,18912,19304,19762,20325,20647,21596,22155,22556,23004,23567,23902,24838,25397,25844,26246,26819,27169,28080,28639.0,,,,,
11,11,2333,2895,3301,3806,4342,4685,5635,6133,6539,7044,7590,7925,8880,9377,9777,10282,10850,11191,12118,12637,13015,13532,14098,14458,15356,15892,16346,16807,17336,17719,18594,19146,19595,20045,20583,20959,21833,22384,22835,23283,23837,24220,25078,25622,26090,26534,27075,27484,28316,,,,,,
