,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
0,0,0,360,720,1080,1440,1800,2355,2835,3179,3546,3893,4253,4925,5422,5681,5986,6345,6705,7547,8004,8234,8430,8904,9217,10143,10643,10807,10936,11529,11627,12753,13241,13427,13612,14112,14166,15409,15811,16036,16208,16683,16811,18070,18395,18624,18816,19265,19335,20663,20978,21191,21378,21845,21864,23297,23614,23823,23932,24410,24604,25957,26207,26429.0,26613.0,26967.0,27170.0,28597.0,28776.0
1,1,180,546,915,1269,1623,1983,2543,3037,3372,3741,4079,4446,5132,5624,5870,6179,6538,6894,7757,8208,8423,8623,9101,9414,10350,10850,11007,11125,11727,11815,12972,13445,13622,13819,14304,14361,15619,16020,16236,16410,16881,17008,18263,18595,18815,19022,19465,19526,20873,21184,21386,21571,22042,22066,23534,23812,24025,24125,24605,24799,26167,26402,26633.0,26806.0,27176.0,27359.0,,
2,2,368,740,1109,1463,1808,2183,2752,3241,3574,3940,4281,4639,5349,5837,6074,6370,6744,7093,7972,8417,8631,8814,9303,9609,10556,11056,11200,11322,11944,12017,13176,13647,13821,14016,14515,14549,15840,16226,16440,16609,17083,17208,18472,18803,19014,19221,19665,19714,21079,21388,21585,21768,22246,22266,23742,24020,24231,24327,24809,24999,26382,26602,26835.0,27001.0,27373.0,27554.0,,
3,3,564,924,1302,1650,2010,2385,2945,3444,3763,4134,4483,4835,5557,6039,6268,6563,6943,7289,8210,8620,8821,9006,9499,9805,10773,11266,11392,11529,12149,12211,13402,13850,14026,14217,14720,14758,16075,16424,16636,16799,17276,17400,18698,19006,19213,19411,19873,19906,21335,21611,21775,21962,22445,22471,23977,24225,24421,24523,25011,25204,26623,26810,27037.0,27204.0,27576.0,27750.0,,
4,4,757,1132,1501,1855,2212,2575,3147,3655,3965,4333,4684,5029,5768,6247,6475,6762,7145,7500,8439,8837,9013,9198,9707,10007,11020,11477,11588,11727,12360,12401,13628,14049,14220,14413,14937,14969,16280,16650,16841,16997,17481,17589,18924,19207,19418,19610,20072,20094,21537,21864,21964,22164,22650,22682,24179,24466,24615,24715,25222,25394,26840,27063,27242.0,27407.0,27779.0,27953.0,,
5,5,944,1313,1694,2048,2411,2777,3376,3851,4159,4526,4883,5225,5970,6452,6671,6961,7341,7711,8656,9066,9211,9394,9918,10203,11255,11691,11822,11923,12561,12659,13875,14263,14422,14609,15148,15216,16503,16876,17035,17193,17695,17781,19141,19406,19611,19802,20273,20350,21772,22090,22182,22362,22861,22911,24402,24710,24822,24980,25445,25597,27066,27283,27452.0,27615.0,27973.0,28156.0,,
6,6,1155,1557,1932,2268,2625,3003,3617,4092,4394,4758,5097,5448,6241,6684,6873,7175,7591,7931,8867,9379,9476,9616,10180,10420,11502,12001,12048,12251,12838,12909,14089,14576,14744,14833,15395,15508,16738,17171,17327,17440,17960,18061,19373,19746,19822,20013,20529,20645,22016,22361,22534,22605,23090,23224,24616,24972,25159,25230,25701,25814,27295,27566,27768.0,27851.0,28196.0,28376.0,,
7,7,1378,1810,2170,2524,2896,3271,3897,4357,4623,4993,5338,5695,6515,6997,7144,7422,7859,8199,9078,9602,9795,9893,10472,10643,11698,12227,12430,12534,13088,13156,14315,14781,15012,15206,15687,15761,16952,17382,17619,17822,18240,18314,19593,19969,20168,20332,20824,20856,22233,22584,22784,22936,23403,23540,24833,25168,25409,25600,25966,26085,27515,27780,28030.0,28233.0,28470.0,28593.0,,
8,8,1589,2027,2387,2747,3107,3476,4105,4601,4888,5210,5558,5915,6717,7190,7430,7660,8094,8416,9295,9828,10003,10164,10692,10854,11918,12426,12632,12832,13299,13400,14562,14992,15208,15414,15892,16038,17181,17593,17824,18027,18451,18561,19813,20174,20373,20585,21035,21082,22444,22786,22995,23138,23605,23823,25059,25376,25629,25820,26165,26374,27744,27979,28229.0,28438.0,28738.0,,,
9,9,1778,2237,2584,2948,3304,3674,4306,4802,5089,5408,5758,6113,6930,7397,7630,7853,8304,8616,9508,10038,10210,10353,10899,11052,12122,12639,12833,13036,13506,13589,14781,15193,15436,15605,16096,16227,17403,17786,18024,18222,18649,18758,20023,20381,20577,20783,21236,21277,22663,22993,23205,23335,23802,24021,25290,25583,25839,26024,26363,26580,27960,28174,28433.0,28633.0,,,,
10,10,1972,2436,2783,3150,3502,3864,4517,5019,5283,5602,5951,6311,7138,7608,7838,8043,8507,8812,9715,10234,10408,10551,11101,11246,12330,12842,13036,13226,13714,13785,14986,15395,15632,15806,16292,16426,17632,17994,18216,18420,18852,18948,20231,20575,20784,20982,21435,21464,22865,23201,23422,23538,24003,24215,25504,25795,26031,26216,26566,26781,28180,28373,28623.0,,,,,
11,11,2162,2635,2979,3346,3700,4058,4716,5222,5479,5791,6154,6514,7343,7807,8034,8237,8705,9015,9935,10437,10607,10745,11317,11436,12547,13041,13230,13413,13915,13975,15203,15612,15834,16002,16490,16616,17852,18195,18424,18614,19066,19138,20442,20774,20976,21181,21634,21665,23082,23408,23621,23737,24202,24411,25730,25998,26232,26414,26768,26979,28388,28576,,,,,,
