,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0,0,360,720,1080,1440,1800,2621,3692,3788,4419,4545,5161,6194,7090,7408,7762.0,8023.0,8809.0,9483.0,10471.0,10673.0
1,1,183,552,915,1269,1641,1989,2980,3917,4089,4634,4755,5520,6553,7404,7767,7992.0,8270.0,9034.0,9802.0,10684.0,
2,2,368,746,1115,1457,1938,2292,3265,4200,4286,4876,5057,5881,6771,7634,8036,8198.0,8510.0,9276.0,10163.0,,
3,3,558,945,1314,1653,2143,2652,3482,4448,4629,5236,5417,6119,7131,7886,8246,8456.0,8773.0,9532.0,10386.0,,
4,4,754,1144,1525,1924,2339,3012,3741,4808,4989,5488,5669,6472,7368,8246,8460,8785.0,8995.0,9842.0,10732.0,,
5,5,941,1352,1730,2256,2585,3327,4101,5168,5245,5848,5919,6817,7606,8532,8741,9145.0,9326.0,10083.0,,,
6,6,1152,1614,1980,2524,2930,3649,4450,5424,5588,6098,6191,7112,7814,8827,9090,9505.0,9686.0,10413.0,,,
7,7,1393,1903,2257,2771,3205,4009,4670,5673,5912,6354,6576,7371,8174,9035,9376,9827.0,10020.0,10639.0,,,
8,8,1607,2263,2617,3131,3565,4235,4886,6009,6233,6580,6837,7674,8379,9292,9610,10164.0,10380.0,,,,
9,9,1799,2622,2930,3368,3784,4483,5224,6222,6587,6886,7124,7902,8670,9638,9819,10452.0,10739.0,,,,
10,10,2107,2982,3152,3728,3980,4685,5514,6496,6844,7134,7431,8238,8931,9998,10078,,,,,,
11,11,2362,3331,3512,4088,4288,4934,5833,6856,7130,7401,7738,8448,9201,10210,10387,,,,,,
