,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0,0,360,720,1080,1440,1800,2398,2915,3405,3800,4196,4629,5081,5536,6107,6514,6970,7386,7909,8358.0,8827.0,9320.0,9734.0,10244.0,10690.0
1,1,180,561,903,1275,1629,1992,2627,3129,3612,3995,4393,4884,5297,5736,6334,6780,7165,7628,8120,8583.0,9068.0,9515.0,9943.0,10441.0,
2,2,377,761,1094,1475,1844,2261,2824,3326,3814,4190,4590,5084,5510,6015,6554,6989,7403,7854,8333,8789.0,9268.0,9728.0,10185.0,10645.0,
3,3,567,957,1305,1674,2043,2505,3104,3525,4013,4417,4861,5292,5722,6239,6770,7191,7636,8064,8566,8991.0,9528.0,9942.0,10393.0,,
4,4,754,1153,1495,1893,2341,2787,3303,3765,4220,4648,5059,5509,5933,6497,6996,7393,7862,8352,8767,9190.0,9741.0,10149.0,10614.0,,
5,5,944,1358,1700,2203,2595,3041,3534,3970,4410,4905,5305,5768,6209,6742,7204,7638,8125,8557,9011,9461.0,9952.0,10431.0,,,
6,6,1161,1605,2039,2432,2857,3326,3775,4243,4640,5149,5543,6027,6473,6998,7442,7958,8392,8823,9270,9753.0,10223.0,10675.0,,,
7,7,1393,1876,2286,2712,3124,3576,4064,4499,4920,5426,5838,6301,6735,7266,7722,8241,8660,9109,9530,10003.0,10479.0,,,,
8,8,1607,2099,2533,2935,3344,3814,4275,4710,5149,5673,6079,6521,6955,7480,7927,8437,8877,9353,9798,10226.0,10692.0,,,,
9,9,1796,2294,2766,3133,3555,4015,4479,4923,5350,5871,6274,6713,7220,7722,8160,8695,9087,9554,10022,10442.0,,,,,
10,10,2008,2499,2962,3366,3772,4211,4682,5126,5594,6070,6542,6960,7473,7932,8377,8898,9281,9783,10224,10676.0,,,,,
11,11,2204,2711,3183,3567,3992,4410,4881,5324,5896,6283,6770,7159,7698,8158,8621,9116,9535,9988,10427,,,,,,
