,stw,sto,sth,att,Bus0_AOD,Bus1_AOD,Bus2_AOD,Bus3_AOD,Bus4_AOD,Bus5_AOD
0,249.68686868686868,14.923856332703213,29.791666666666668,1472.5113636363637,209,165,171,168,167,178
1,198.43478260869566,12.079983922829582,23.041666666666668,1469.3764705882354,139,161,158,150,154,171
2,227.5976331360947,8.39979091995221,33.416666666666664,1498.6666666666667,129,147,143,124,143,151
3,232.22641509433961,6.1459902160171485,34.09722222222222,1582.4817518248176,124,140,149,127,144,107
4,221.02189781021897,4.452445652173913,59.02777777777777,1569.4464285714287,118,134,142,121,143,110
5,231.6710816777042,2.772727272727273,65.16666666666667,1562.6640826873386,112,147,142,114,84,105
6,263.73447204968943,2.7114624505928857,38.90277777777778,1549.3962962962962,151,228,195,175,120,143
7,450.6295081967213,2.2053116100404004,9.38888888888889,1721.6941176470589,231,313,288,205,191,210
8,298.53691275167785,1.1461349358098878,20.166666666666668,1565.0,270,320,309,225,210,235
9,223.1685393258427,1.2396387184730746,28.569444444444443,1440.7272727272727,268,314,215,222,211,237
10,245.06451612903226,0.9730253353204175,34.88888888888889,1519.0657894736842,253,272,196,207,202,212
11,205.83116883116884,1.4019909825454224,23.166666666666668,1480.4782608695652,234,186,189,188,185,197
0,238.51041666666666,15.614166666666668,16.11111111111111,1568.7701149425288,203,161,177,168,163,184
1,228.3877551020408,12.518678160919542,30.194444444444443,1488.0454545454545,145,156,161,154,148,164
2,227.46896551724137,9.258155397390272,38.27777777777778,1549.7480916030534,141,149,141,135,128,149
3,220.46067415730337,5.99113158652462,37.041666666666664,1657.26,145,141,115,126,121,107
4,206.55757575757576,4.473538511643054,63.25,1552.0214285714285,149,154,119,141,136,102
5,234.63021868787277,2.799864314789688,69.88888888888889,1613.751740139211,133,156,124,150,88,86
6,304.55919003115264,2.4994246260069053,23.86111111111111,1581.8260038240917,211,211,188,215,137,144
7,1310.025,2.297152968685816,12.25,2385.826923076923,258,299,300,217,213,220
8,325.4347826086956,2.0806397306397306,14.180555555555555,1641.674074074074,267,315,233,220,228,222
9,229.69565217391303,1.8483027834351662,36.361111111111114,1403.764705882353,265,305,236,215,228,224
10,226.3960396039604,2.005278592375366,31.930555555555557,1547.578313253012,250,279,224,204,205,202
11,233.42372881355934,1.9757085020242917,28.597222222222218,1651.2549019607843,242,182,198,186,188,200
0,230.7764705882353,15.21068119891008,19.680555555555557,1615.3287671232877,226,187,162,181,172,173
1,217.86666666666667,12.355205019441499,21.083333333333332,1494.6235294117646,157,161,153,163,155,154
2,201.57241379310344,9.424864183158713,23.388888888888886,1471.3846153846155,143,154,149,138,128,147
3,247.79393939393938,6.528171845385102,49.30555555555555,1476.0205479452054,135,140,141,133,122,86
4,232.07734806629836,4.192636838780082,56.263888888888886,1628.8819444444443,127,140,150,125,121,94
5,221.70240700218818,2.8943166100842452,75.93055555555556,1585.9115479115478,121,136,156,121,77,112
6,246.6471494607088,2.088048930740121,36.861111111111114,1509.111510791367,169,211,185,170,131,167
7,531.4677419354839,1.8057558630546355,16.90277777777778,1690.6446280991736,263,301,274,196,202,230
8,254.22784810126583,1.4249855653812258,23.027777777777775,1411.1653543307086,279,315,305,210,218,240
9,232.16814159292036,1.3117426820966642,15.319444444444445,1481.6534653465346,280,311,222,209,214,233
10,233.92857142857142,1.4145461043602574,27.444444444444443,1494.952380952381,268,292,210,207,212,210
11,178.54285714285714,1.6463679860809048,18.88888888888889,1314.873015873016,254,205,178,197,193,183
0,231.6206896551724,14.76378787878788,13.319444444444445,1496.2567567567567,205,160,164,179,182,166
1,219.00925925925927,12.543028322440087,32.94444444444445,1437.6262626262626,133,146,151,164,167,157
2,222.44295302013424,9.663379737045632,42.19444444444445,1621.2142857142858,135,126,140,149,168,144
3,231.80526315789473,7.349080792100813,55.30555555555555,1631.4940476190477,136,128,128,152,149,104
4,242.94285714285715,5.289452981591232,63.444444444444436,1551.5972222222222,140,139,137,156,149,108
5,231.300796812749,3.4638025160218366,64.22222222222221,1566.8066666666666,147,142,126,146,101,104
6,288.3141447368421,2.5612577386770936,35.40277777777778,1637.6131528046421,214,217,187,221,143,134
7,694.9530685920578,2.2466158644416585,12.763888888888891,1947.3856502242152,252,296,276,223,225,209
8,246.20833333333334,1.7785623755205504,5.541666666666667,1468.4344262295083,272,305,295,240,240,226
9,231.25510204081633,1.7335664335664336,13.972222222222221,1301.344827586207,267,281,200,234,229,219
10,234.22784810126583,1.7034727408513817,19.180555555555554,1613.4328358208954,258,256,183,211,217,214
11,219.8846153846154,1.5800269905533062,22.666666666666668,1563.5967741935483,233,173,179,192,196,197
0,213.7439024390244,14.866704653371322,26.222222222222225,1490.1285714285714,202,177,154,165,177,178
1,217.85714285714286,12.474044468945243,40.75,1476.4545454545455,131,165,133,152,161,165
2,220.5527950310559,9.344568722289399,34.916666666666664,1514.192857142857,121,156,107,144,151,148
3,212.79754601226995,6.705663985600989,35.708333333333336,1534.0344827586207,123,153,114,136,145,102
4,233.69791666666666,4.597727144230227,67.2361111111111,1568.5421686746988,123,153,120,134,137,102
5,229.13763440860214,3.430996714129245,77.20833333333333,1610.319095477387,130,143,125,127,100,122
6,261.0809968847352,3.101200686106347,33.74999999999999,1504.64161849711,164,193,170,202,144,187
7,595.6404833836858,2.0271737363887534,30.472222222222225,1736.8366533864541,255,292,268,206,204,240
8,321.0,1.646655518394649,31.222222222222225,1562.686567164179,280,320,210,220,225,240
9,248.1881188118812,1.806297315898142,23.652777777777775,1542.6153846153845,277,299,201,213,230,233
10,231.12857142857143,1.329210134128167,18.555555555555554,1386.774193548387,255,280,190,204,202,211
11,248.12820512820514,1.3460422710319104,27.861111111111114,1619.323076923077,231,183,170,176,193,190
0,219.30208333333334,15.738347978910367,29.486111111111114,1456.2278481012659,213,185,198,177,180,185
1,231.54,13.433333333333335,24.694444444444443,1730.1888888888889,144,176,187,160,160,173
2,257.10769230769233,10.145488790885706,36.083333333333336,1556.8793103448277,135,166,166,151,137,152
3,238.3658536585366,7.733053422462848,45.166666666666664,1593.3194444444443,123,152,160,152,108,92
4,227.75496688741723,5.334383261150796,40.97222222222222,1521.1615384615384,117,141,159,144,117,95
5,221.29708737864078,3.8864280195724947,73.75,1552.567032967033,112,135,156,124,79,100
6,319.1477987421384,2.4536990011850346,41.94444444444445,1684.3824626865671,187,218,211,182,121,155
7,516.5805369127517,2.484883871804853,20.472222222222225,1781.239837398374,243,303,306,211,187,218
8,293.9294871794872,1.4176009644364076,28.76388888888889,1603.9776119402984,279,304,320,232,213,232
9,201.9578947368421,1.5097701149425289,11.347222222222221,1337.0595238095239,272,295,240,232,213,227
10,220.6818181818182,1.1682148040638607,28.041666666666668,1489.112676056338,252,274,214,220,207,211
11,217.8641975308642,1.4301504974066828,29.5,1419.6666666666667,232,195,210,204,190,207
0,206.632183908046,14.805581395348836,37.94444444444444,1518.92,191,184,172,181,175,172
1,221.1494252873563,12.697086432872828,22.458333333333332,1367.6944444444443,139,167,155,170,158,152
2,222.83766233766235,9.99168634395907,28.0,1736.4761904761904,134,153,146,146,137,131
3,234.96226415094338,6.920234539218941,27.083333333333332,1421.2189781021898,137,147,130,141,135,96
4,226.79245283018867,4.397515527950311,52.819444444444436,1597.8248175182482,134,139,131,128,127,104
5,227.2901098901099,2.251048951048951,75.84722222222223,1608.3589108910892,137,137,124,126,89,102
6,259.6107594936709,2.2197777973723656,43.69444444444445,1620.6539923954372,191,200,168,177,128,167
7,333.68120805369125,1.5206437145495317,18.069444444444443,1584.7460317460318,274,288,267,187,203,225
8,248.42222222222222,0.933850463262228,24.347222222222225,1500.6491228070176,282,302,288,224,223,228
9,244.47619047619048,1.166140350877193,26.13888888888889,1514.319587628866,267,288,206,225,221,218
10,220.375,1.2066149297856616,24.305555555555554,1492.5692307692307,249,272,200,222,200,210
11,216.85454545454544,1.2080200501253133,26.930555555555554,1483.8958333333333,223,198,194,204,189,189
0,196.69565217391303,15.336322869955156,26.194444444444443,1440.1463414634147,222,177,170,186,174,186
1,233.32467532467533,12.65283540802213,33.44444444444445,1534.5942028985507,152,173,150,161,157,171
2,210.42635658914728,9.64383294301327,24.48611111111111,1554.896551724138,139,151,128,144,136,156
3,210.8131868131868,6.596289403936165,53.083333333333336,1526.182389937107,123,145,124,137,138,104
4,224.26455026455025,3.1718101733447,50.90277777777778,1565.5878787878787,120,137,126,135,135,112
5,215.97270955165692,2.0754885041474136,90.33333333333333,1546.3507972665147,123,150,114,139,148,107
6,278.86165413533837,1.4805135067324577,21.791666666666668,1584.520069808028,176,200,175,211,167,158
7,764.9726962457338,1.2978829080523993,17.98611111111111,2036.061224489796,274,290,265,236,233,236
8,247.15286624203821,0.7830818553486866,6.958333333333333,1516.1904761904761,288,305,306,240,240,240
9,253.07692307692307,0.8294274300932091,21.430555555555557,1562.0537634408602,277,300,228,234,223,240
10,226.97826086956522,0.7868715083798883,18.11111111111111,1496.6533333333334,268,289,219,223,211,222
11,197.89285714285714,1.0840608630581192,22.736111111111114,1547.0,253,202,199,209,196,207
0,224.7029702970297,14.213025936599422,37.138888888888886,1403.3777777777777,194,174,162,157,180,174
1,259.390243902439,11.714912280701755,47.666666666666664,1601.3243243243244,130,149,152,153,166,162
2,226.44848484848484,9.336562115621156,28.541666666666668,1566.6029411764705,121,144,130,126,144,148
3,236.4611111111111,6.5288974945725515,32.73611111111111,1581.05421686747,124,143,128,122,137,87
4,228.49382716049382,4.50192481884058,55.638888888888886,1612.15503875969,136,147,127,129,134,95
5,227.38653846153846,3.3774104683195594,76.31944444444444,1619.078475336323,124,147,139,115,107,94
6,298.0907643312102,2.6453889071217587,32.083333333333336,1531.77969348659,193,224,205,192,154,140
7,756.1656050955414,1.5901258162127725,13.708333333333334,1701.6981981981983,285,278,287,204,224,217
8,225.86986301369862,1.0762088029567183,23.402777777777775,1587.4545454545455,276,291,307,222,236,227
9,222.29545454545453,1.0235600277585013,23.875,1576.219512195122,262,290,215,219,232,223
10,220.8395061728395,0.9440520446096654,23.527777777777775,1401.2753623188405,245,274,205,202,219,200
11,273.5625,0.9398233345601764,21.402777777777775,1521.9818181818182,221,185,179,180,191,188
0,196.74311926605503,14.731270718232043,24.722222222222225,1483.8958333333333,234,160,163,167,188,174
1,237.61818181818182,11.677672955974844,22.430555555555557,1650.1122448979593,156,150,148,165,178,157
2,241.35862068965517,9.093630816170863,28.986111111111114,1561.6495726495727,152,133,135,143,160,151
3,236.68715083798884,8.001582946390881,29.277777777777775,1586.811320754717,141,139,142,140,154,108
4,225.975,5.0237958864878935,69.79166666666666,1560.5118110236222,147,143,139,146,143,117
5,220.0164271047228,3.144573222262465,81.7361111111111,1570.860465116279,141,150,130,126,89,117
6,307.66185897435895,2.6511550606614587,29.513888888888886,1628.414,205,212,201,173,124,179
7,592.0184615384616,1.8665115978548814,6.083333333333333,1727.7791666666667,272,278,294,197,197,236
8,303.67080745341616,1.0463492063492064,23.902777777777782,1508.282258064516,284,291,305,221,234,240
9,260.6296296296296,0.9795717199184228,36.49999999999999,1424.3777777777777,282,290,216,218,226,239
10,211.65822784810126,1.1669430425378515,43.09722222222222,1682.5352112676057,272,264,204,198,221,228
