,stw,sto,sth,att,Bus0_AOD,Bus1_AOD,Bus2_AOD,Bus3_AOD,Bus4_AOD,Bus5_AOD
0,373.8185654008439,8.301243089179632,0.0,1664.6238938053098,762,682,540,510,548,384
1,316.2512077294686,7.879756305018394,0.0,1624.4611650485438,653,559,476,437,498,334
2,385.9472361809045,7.120894843336565,0.0,1639.5025773195875,609,455,386,377,420,284
3,410.0578158458244,8.347755866420322,0.0,1664.4955555555555,657,417,350,326,414,247
4,410.0431034482759,9.621366466018419,0.0,1698.9157427937917,686,453,295,286,397,239
5,494.7541729893778,12.466077700762586,0.0,1788.6244995996797,721,478,235,242,386,207
6,645.8174342105264,12.445399233534827,0.0,1928.2929115407146,772,760,499,273,526,238
7,664.2728249194414,4.746736543831414,0.0,1887.5497076023391,831,839,792,707,789,448
8,388.4956331877729,2.0659627108229164,0.0,1561.3172413793104,837,861,845,805,836,573
9,372.7260273972603,2.3244611117244425,0.0,1624.7653429602888,832,854,815,774,724,530
10,362.4587813620072,2.7633588954707564,0.0,1572.015325670498,801,819,748,635,666,479
11,346.6906779661017,3.1093656313706677,0.0,1604.0,792,750,614,581,605,424
0,337.844262295082,8.55827377680044,0.0,1602.7679324894514,661,609,600,545,324,685
1,319.8697478991597,7.96666253267444,0.0,1664.2760180995474,625,527,543,465,277,646
2,324.48275862068965,7.528500196897343,0.0,1597.2750716332378,539,412,491,400,237,612
3,343.870636550308,8.217481764331522,0.0,1645.5628997867805,485,342,448,348,207,646
4,385.02997858672376,9.693625432383465,0.0,1701.234135667396,490,318,421,310,174,622
5,481.07617625093354,11.462078392509314,0.0,1786.3585626911315,529,279,384,263,144,652
6,757.0222222222222,14.404114490161001,0.0,2050.629088785047,805,583,539,269,144,756
7,831.2385730211818,6.625796883996022,0.0,2119.949172576832,839,851,866,737,326,790
8,393.5659472422062,3.161512539692827,0.0,1650.96992481203,845,859,875,839,530,800
9,364.3298611111111,3.3671047124801206,0.0,1587.7137546468402,834,838,842,791,494,796
10,292.65579710144925,3.620284893992933,0.0,1596.3754789272032,785,760,786,743,391,780
11,304.66183574879227,3.763642803601288,0.0,1557.9234693877552,738,705,719,599,356,737
0,286.09615384615387,7.7932194122854215,0.0,1604.505,654,634,576,340,640,545
1,299.2151394422311,7.110721000729059,0.0,1645.5958333333333,597,564,524,301,605,475
2,307.2751842751843,6.469731254110332,0.0,1594.6933333333334,554,446,463,262,561,392
3,315.25740318906605,6.450618655997628,0.0,1606.8615751789976,505,410,420,236,558,325
4,324.51162790697674,8.302874769940638,0.0,1636.4713656387664,520,391,377,192,596,262
5,350.9830866807611,12.041322917912133,0.0,1649.9244011976048,567,352,347,157,653,205
6,508.9550135501355,11.382878265903635,0.0,1825.16715371128,766,624,454,177,795,377
7,609.3977401129944,5.646491967756689,0.0,1830.1293001186239,821,863,838,364,790,697
