,bunching,ploss,qloss,reward,reward1,reward2,avg_hold,action,wait,travel,delay,AOD,headway_mean0,headway_mean1,headway_mean2,headway_mean3,headway_mean4,headway_mean5,headway_mean6,headway_mean7,headway_mean8,headway_mean9,headway_mean10,headway_mean11,headway_var0,headway_var1,headway_var2,headway_var3,headway_var4,headway_var5,headway_var6,headway_var7,headway_var8,headway_var9,headway_var10,headway_var11
0,0,,,-0.1962564656168818,-0.033899679377072896,-0.16235678623980887,34.503549382716045,0.20882638,474.2735462735463,1378.3950526932085,720.9610655737705,2.3263670939793397,456.3015873015873,456.7096774193548,457.3709677419355,458.1639344262295,458.60655737704917,459.8333333333333,460.1525423728813,460.96610169491527,459.9655172413793,460.2241379310345,461.1896551724138,461.3333333333333,2415.924918115394,2817.2060353798124,2221.2978668054116,2034.923945176028,1911.8452029024454,1720.9722222222222,1455.4513070956623,1508.4056305659296,1249.9298454221166,2115.3807966706304,1529.843341260404,1533.9415204678362
0,0,,,-0.21156428245455206,-0.03716655154730265,-0.17439773090724944,33.85756172839506,0.20533559,540.0799722799723,1357.0491118077325,755.4261830123899,2.35952547667556,454.76190476190476,455.88709677419354,456.1290322580645,456.6393442622951,456.8688524590164,458.4166666666667,459.1166666666667,459.47457627118644,459.4237288135593,459.32758620689657,459.7413793103448,460.4736842105263,2328.149659863946,2119.3259625390215,2079.6285119667014,1797.738779897877,1984.8352593388875,1242.5097222222223,818.5030555555554,1406.1815570238437,1002.2102844010342,1176.5995838287754,760.7434601664685,1148.4598337950138
0,0,,,-0.2191038479423453,-0.03656786603829193,-0.1825359819040534,34.7466049382716,0.21326715,544.4964098315382,1360.0949132433634,797.0281773691236,2.3630842061609587,456.9032258064516,457.258064516129,458.2096774193548,459.1311475409836,459.1803278688525,460.26666666666665,462.08474576271186,463.0,463.48275862068965,463.7413793103448,463.4561403508772,463.2105263157895,2211.60353798127,2355.288241415193,1964.552809573361,1668.966406879871,1899.8855146466005,1093.6622222222222,721.5690893421431,923.4915254237288,819.6634958382876,1126.1917360285377,882.8445675592491,820.5872576177285
0,0,,,-0.194364840927304,-0.03318627327392961,-0.16117856765337438,34.391975308641975,0.21142834,431.4054280917739,1356.475956528212,708.2791424743189,2.409584239993501,456.44444444444446,457.2096774193548,457.96774193548384,458.24590163934425,459.0327868852459,458.93333333333334,460.31666666666666,460.66101694915255,461.0169491525424,461.6896551724138,461.51724137931035,461.6140350877193,2605.294532627866,2428.5205515088446,2350.6118626430793,1579.0706799247514,1420.5563020693362,1546.1288888888892,808.3830555555556,800.698649813272,1018.3895432347027,1772.0416171224733,1234.6979785969086,1414.41243459526
0,0,,,-0.18850869405919124,-0.0337055779847045,-0.15480311607448674,32.17561728395062,0.20085765,445.1850117096019,1363.3348089124981,695.1320643352516,2.307451409787921,453.53968253968253,453.7936507936508,453.66129032258067,454.1774193548387,454.8196721311475,456.40983606557376,457.15,459.135593220339,459.2881355932203,458.2068965517241,458.98275862068965,458.7894736842105,2606.6928697404887,2493.3383723859915,2093.127211238293,2193.920135275754,1775.8199408761084,1135.291050792798,691.8608333333334,1075.5070382074116,1037.255960930767,1518.5434007134365,1438.9479785969083,1262.4469067405355
0,0,,,-0.19344484391659797,-0.03149096852335572,-0.16195387539324224,35.20123456790124,0.21378636,426.89962147763913,1373.8741486526503,721.4582469647617,2.609484170299939,458.16129032258067,458.16129032258067,458.88524590163934,459.7049180327869,459.3666666666667,460.56666666666666,461.3898305084746,463.0169491525424,462.58620689655174,462.5344827586207,463.3859649122807,463.5964912280702,2894.393340270552,2766.8449531737774,2642.921257726418,1819.683418435904,1861.8322222222223,1484.878888888889,1121.6615914966965,1091.5081873024994,1037.346016646849,1240.5246730083236,1316.8685749461374,973.7845490920284
0,0,,,-0.21665227751182004,-0.03443590029065779,-0.1822163772211622,32.91342592592592,0.19813597,543.3585585585586,1359.8279442301987,795.812370216553,2.2235837580354665,454.23809523809524,454.758064516129,454.98387096774195,454.72131147540983,456.04918032786884,456.75,457.56666666666666,457.7118644067797,457.66101694915255,458.37931034482756,458.7586206896552,459.1929824561403,2228.0861678004535,2727.8608220603537,2115.177159209157,2290.889545821016,2149.0303681805967,1474.7875,1312.2455555555557,1061.4254524561907,1314.529158287848,1495.4768133174794,1047.5624256837098,1265.664512157587
0,0,,,-0.21513837808269978,-0.03543238028527906,-0.17970599779742072,34.13842592592592,0.20202179,521.9474188689579,1360.8338958180484,781.3768158473955,2.3002058062666597,455.76190476190476,456.38709677419354,456.53225806451616,457.39344262295083,457.6393442622951,458.75,459.3666666666667,460.5593220338983,460.7758620689655,460.9310344827586,460.41379310344826,460.89473684210526,2529.9591836734694,2800.1727367325702,2039.4102497398546,2121.9763504434295,1698.1977962913195,1183.8208333333334,1331.998888888889,1405.1617351335822,1068.8290725326992,1259.0986920332937,1415.311533888228,1625.8836565096951
0,0,,,-0.18595457969374776,-0.029607896614187456,-0.15634668307956032,33.50555555555556,0.2065387,428.9424672949782,1364.3980772119573,699.2968304040859,2.4710532095092423,453.85714285714283,454.741935483871,455.2741935483871,455.3709677419355,456.27868852459017,457.46666666666664,458.3666666666667,458.52542372881356,458.6101694915254,458.36206896551727,459.0689655172414,459.4035087719298,2771.3605442176868,2964.0624349635796,2052.715140478668,2129.6527055150887,1605.6108572964256,1511.0822222222223,1032.9322222222222,1017.7069807526573,815.966676242459,1535.6102853745542,1526.8228299643279,1440.4161280393967
0,0,,,-0.19621103534656648,-0.039799458462782204,-0.1564115768837843,36.88086419753087,0.21865578,427.3391134107118,1365.1812292859295,684.0790900873757,2.3191710833992505,458.38709677419354,458.4516129032258,459.344262295082,459.4918032786885,460.6166666666667,461.68333333333334,462.93220338983053,463.59322033898303,462.82758620689657,463.3103448275862,464.05263157894734,463.7719298245614,2543.430801248699,3202.1831425598343,2104.3568933082506,2142.80730986294,1980.6030555555556,1436.8830555555558,1249.6903188738866,1008.3430048836541,1180.694411414982,1664.0416171224733,1571.9095106186517,1646.2813173284087
