,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,0,0,360,720,1080,1440,1800,2443,2841,3301,3790,4282,4792,5251,5650,6132,6572,6996,7475,7964,8359,8806,9361,9808,10273,10716,11163,11598,12142,12599,13036,13469,13951,14396,14895,15369,15793,16249,16713,17147,17615,18081,18540,19015,19495,19913,20428,20890,21299,21765,22260,22779,23230,23704,24189,24625,25054,25471,25911,26422.0,26864.0,27399.0,27863.0,28300.0,28747.0
1,1,195,546,909,1275,1635,1983,2659,3032,3545,4028,4499,5007,5464,5845,6329,6774,7242,7695,8164,8595,9084,9571,10029,10511,10934,11385,11868,12342,12801,13247,13669,14151,14603,15155,15575,16012,16481,16938,17342,17810,18292,18752,19236,19695,20136,20681,21087,21496,21967,22482,22979,23493,23926,24431,24834,25251,25698,26156,26628.0,27074.0,27599.0,28061.0,28511.0,
2,2,389,740,1091,1466,1856,2328,2856,3273,3771,4230,4701,5226,5678,6152,6612,7016,7442,7963,8363,8799,9279,9771,10229,10713,11129,11584,12093,12567,13012,13446,13873,14399,14806,15364,15795,16220,16681,17144,17548,18009,18494,18986,19438,19906,20408,20896,21293,21717,22222,22720,23237,23712,24126,24660,25042,25450,25900,26355,26893.0,27385.0,27807.0,28327.0,28746.0,
3,3,582,927,1281,1665,2064,2631,3073,3537,3993,4467,4991,5443,5888,6389,6815,7243,7672,8180,8568,8998,9498,10015,10450,10918,11343,11791,12304,12779,13213,13694,14149,14628,15086,15566,16014,16425,16879,17347,17783,18298,18695,19182,19691,20116,20616,21094,21494,21939,22475,22925,23458,23917,24355,24868,25285,25655,26162,26646,27110.0,27601.0,28052.0,28530.0,,
4,4,772,1114,1471,1864,2307,2839,3336,3748,4266,4737,5213,5642,6087,6606,7018,7439,7897,8392,8850,9221,9732,10247,10676,11120,11588,12062,12555,12975,13453,13932,14345,14833,15304,15783,16237,16693,17124,17567,18024,18509,18938,19418,19926,20331,20896,21299,21734,22179,22687,23201,23657,24131,24584,25094,25502,25919,26414,26848,27370.0,27809.0,28259.0,28747.0,,
5,5,965,1299,1682,2137,2584,3148,3541,4004,4471,4942,5421,5881,6362,6814,7216,7660,8117,8641,9055,9508,9991,10454,10926,11377,11845,12260,12784,13253,13670,14140,14635,15073,15583,16001,16481,16913,17406,17844,18317,18754,19251,19658,20137,20577,21120,21536,22014,22426,22966,23404,23900,24342,24792,25292,25736,26205,26672,27140,27592.0,28008.0,28555.0,,,
6,6,1200,1540,1947,2427,2932,3398,3803,4258,4724,5227,5686,6137,6618,7084,7481,7907,8430,8906,9296,9777,10229,10710,11215,11662,12100,12525,13055,13498,13995,14462,14921,15328,15827,16276,16719,17193,17662,18158,18576,19008,19507,19915,20399,20859,21391,21837,22279,22719,23237,23695,24177,24587,25074,25560,25992,26487,26949,27420,27833.0,28349.0,,,,
7,7,1429,1817,2212,2689,3206,3675,4107,4547,5022,5492,5960,6405,6898,7337,7779,8181,8725,9171,9576,10027,10482,10990,11507,11951,12374,12793,13332,13784,14287,14718,15186,15590,16107,16574,16993,17485,17951,18402,18841,19279,19787,20201,20661,21160,21641,22168,22534,23017,23469,23945,24439,24867,25345,25801,26272,26773,27244,27661,28107.0,28626.0,,,,
8,8,1649,2031,2438,2926,3423,3907,4363,4799,5230,5727,6165,6622,7118,7530,7981,8407,8954,9388,9805,10253,10717,11210,11736,12174,12615,13064,13546,14034,14519,14959,15391,15807,16336,16776,17213,17708,18174,18619,19082,19494,20004,20403,20860,21365,21852,22376,22805,23252,23701,24171,24647,25078,25580,26015,26508,26990,27464,27884,28327.0,,,,,
9,9,1838,2229,2645,3130,3632,4114,4616,5000,5448,5941,6381,6826,7332,7747,8194,8604,9168,9635,10021,10460,10918,11412,11976,12404,12837,13265,13774,14241,14745,15169,15586,16017,16543,16989,17423,17909,18372,18832,19295,19692,20260,20655,21069,21605,22071,22610,23003,23495,23920,24420,24860,25289,25778,26213,26718,27191,27680,28090,28531.0,,,,,
10,10,2031,2428,2846,3348,3830,4313,4860,5242,5668,6142,6580,7060,7555,7966,8399,8908,9416,9858,10271,10677,11196,11699,12175,12619,13045,13468,13976,14437,14953,15377,15796,16315,16748,17211,17630,18099,18562,19048,19503,19967,20459,20882,21331,21823,22296,22812,23271,23694,24118,24641,25056,25505,26009,26440,26917,27394,27897,28289,28780.0,,,,,
11,11,2252,2626,3063,3577,4035,4509,5056,5444,5887,6354,6799,7263,7765,8162,8607,9161,9615,10069,10496,10943,11398,11915,12406,12812,13275,13716,14192,14645,15172,15573,16030,16514,16947,17413,17842,18332,18806,19249,19710,20168,20660,21099,21539,22054,22558,23024,23501,23886,24422,24843,25259,25707,26220,26655,27139,27626,28105,28548,,,,,,
