,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,0,0,360,720,1080,1440,1800,2621,3508,3987,4514,4593,4861,6011,7034,7245,7874.0,8058.0,8336.0,9267.0,10619.0,10672.0
1,1,183,552,915,1269,1641,1989,2980,3822,4272,4740,4788,5107,6230,7311,7470,8086.0,8347.0,8695.0,9626.0,,
2,2,368,746,1115,1457,1922,2252,3299,4062,4514,4967,5149,5468,6545,7526,7676,8304.0,8657.0,9056.0,9864.0,,
3,3,558,945,1314,1653,2145,2448,3525,4414,4719,5327,5439,5828,6808,7752,7933,8664.0,9007.0,9416.0,10078.0,,
4,4,754,1144,1525,1901,2407,2658,3779,4774,4951,5570,5724,6182,7064,8112,8257,8929.0,9272.0,9704.0,10340.0,,
5,5,941,1352,1730,2261,2660,3018,4139,5130,5234,5793,6079,6443,7338,8436,8533,9152.0,9471.0,10064.0,10649.0,,
6,6,1152,1614,1980,2621,3020,3299,4392,5413,5565,6052,6343,6684,7698,8712,8906,9440.0,9778.0,10379.0,,,
7,7,1393,1912,2260,2981,3294,3659,4636,5677,5846,6412,6704,7003,8053,8935,9149,9752.0,10052.0,10739.0,,,
8,8,1607,2256,2620,3341,3526,3912,4855,6025,6080,6772,6963,7346,8267,9179,9406,10070.0,10364.0,,,,
9,9,1819,2615,2960,3700,3881,4164,5209,6235,6439,7057,7247,7614,8579,9538,9719,10289.0,10562.0,,,,
10,10,2165,2958,3266,4060,4175,4474,5427,6449,6635,7310,7533,7933,8810,9898,10079,10646.0,,,,,
11,11,2381,3157,3626,4261,4394,4670,5787,6785,6995,7670,7734,8134,9017,10258,10439,,,,,,
