,stw,sto,sth,att,Bus0_AOD,Bus1_AOD,Bus2_AOD,Bus3_AOD,Bus4_AOD,Bus5_AOD
0,404.8775510204082,19.72353509173146,84.19444444444444,450.2375,177,222,185,131,110,112
1,277.8205128205128,16.39444923784872,85.30555555555556,476.2054794520548,170,134,112,121,103,92
2,360.71014492753625,12.981618224666144,98.16666666666667,550.8547008547008,152,133,100,110,89,86
3,315.76704545454544,11.077140612725845,96.58333333333333,588.7464788732394,177,132,91,102,90,78
4,346.4311377245509,9.688946604537469,100.16666666666667,620.1319444444445,180,148,93,116,80,72
5,582.4171539961013,10.49932905919189,75.27777777777777,594.9312977099237,196,155,86,129,69,71
6,1357.0541795665636,7.721897018970189,99.75,656.6812652068127,177,209,207,187,124,121
7,1677.7245901639344,1.612584950462622,100.97222222222223,529.2603550295858,196,240,235,240,227,219
8,877.6369863013699,0.8701442841287459,104.55555555555556,557.7735849056604,205,240,240,240,240,160
9,505.31325301204816,0.9170208007157234,114.02777777777777,553.1617647058823,204,240,238,240,237,156
10,375.44871794871796,0.9977697998259356,79.08333333333333,559.7368421052631,203,227,224,219,143,133
11,378.67088607594934,1.2706827309236945,62.083333333333336,615.2631578947369,185,219,201,140,131,120
0,430.11578947368423,18.26791334937975,76.72222222222221,576.8395061728395,190,184,176,162,129,141
1,392.0344827586207,16.136363636363637,84.8888888888889,583.0945945945946,196,168,154,137,118,126
2,432.09090909090907,14.804093567251462,126.77777777777777,638.6347826086957,186,99,101,88,107,103
3,322.83870967741933,11.432989690721651,78.47222222222221,524.75,132,82,94,81,90,103
4,318.24844720496895,8.324458643947462,97.41666666666667,622.4238410596026,152,95,96,84,101,98
5,372.3987603305785,6.953718285214348,70.58333333333334,583.5571776155717,155,89,89,90,105,107
6,1573.5876923076924,6.154797230464887,88.72222222222221,544.6373937677054,189,187,151,124,166,194
7,1526.0498442367602,1.7486651411136538,96.69444444444444,515.4819277108434,205,210,231,221,223,221
8,452.5109489051095,1.0908756438557763,97.0,531.2897196261682,208,215,240,230,233,233
9,378.8469387755102,0.9615151373792976,63.94444444444445,548.5394736842105,209,219,232,212,235,154
10,399.86206896551727,1.1118781125191066,89.97222222222221,573.6911764705883,205,213,210,191,227,147
11,364.06849315068496,1.4358736059479553,92.91666666666667,548.3148148148148,201,200,198,175,146,156
0,358.38775510204084,21.552787456445998,81.5,586.9866666666667,171,217,100,121,129,123
1,455.675,17.036437246963562,101.30555555555554,573.1714285714286,164,139,98,110,117,113
2,369.0451127819549,14.789088387146487,87.88888888888887,515.3565217391305,176,132,86,95,104,90
3,374.10674157303373,12.605765515109358,76.44444444444444,578.93006993007,208,131,83,88,91,80
4,361.830303030303,10.923665807876336,86.11111111111113,566.0909090909091,221,138,79,91,106,80
5,584.2434210526316,9.410729762523834,99.08333333333333,615.8740359897172,150,145,66,89,106,85
6,1336.6201413427561,8.50103519668737,108.97222222222223,605.4698162729659,178,197,198,129,151,113
7,1840.1486068111456,1.9677002583979328,68.25,603.6038961038961,191,227,219,236,226,234
8,557.3846153846154,1.4976480129764798,82.44444444444444,623.0603448275862,196,232,222,240,240,240
9,450.4891304347826,1.888681592039801,99.63888888888887,567.7012987012987,194,240,218,240,158,156
10,411.27941176470586,2.2206521739130434,110.1111111111111,728.3207547169811,193,239,197,224,148,149
11,359.9855072463768,2.3100467289719626,82.08333333333333,518.375,181,234,175,208,138,134
0,369.2236842105263,19.067771818625065,87.88888888888887,558.8983050847457,174,177,175,110,124,119
1,384.84090909090907,15.916045272969374,116.75,617.4626865671642,155,165,121,105,102,103
2,343.1951219512195,14.523875376230373,133.66666666666666,537.5377358490566,150,101,119,92,92,93
3,354.31875,10.795880301678698,86.0,637.5196850393701,166,106,112,80,95,90
4,333.4429530201342,7.2056398725875965,82.6111111111111,609.9148936170212,118,105,114,72,97,87
5,437.7142857142857,8.000448752468138,106.75,607.1791443850267,145,116,122,71,86,79
6,1138.2179700499169,6.867872614447957,107.63888888888887,540.5114678899082,182,173,200,146,147,101
7,2351.983974358974,1.3725299643666988,104.05555555555556,532.1392405063291,199,219,237,237,240,240
8,375.1156462585034,0.978448275862069,71.61111111111111,541.5384615384615,203,229,240,240,240,240
9,426.1875,1.028673835125448,92.33333333333333,553.734375,201,230,238,228,230,237
10,453.9166666666667,1.632075471698113,78.3888888888889,584.6086956521739,193,228,214,199,214,224
11,338.03333333333336,2.2613636363636362,53.25,633.6170212765958,185,214,197,183,144,133
0,495.71264367816093,20.232862956503357,91.33333333333333,533.056338028169,197,194,144,136,107,123
1,606.1702127659574,20.243164959378312,71.1111111111111,551.1780821917808,203,123,84,138,93,104
2,465.6241134751773,15.794590643274852,97.5,588.5185185185185,127,105,79,122,78,97
3,493.4382716049383,13.334820647419074,93.08333333333333,647.2517482517483,141,122,69,122,75,106
4,489.5204678362573,12.585343837190216,80.58333333333333,623.6912751677852,168,134,71,110,70,124
5,559.0343249427917,10.761328367473617,95.77777777777779,632.7929155313351,180,139,81,113,71,132
6,1456.0597014925372,6.785729636793467,96.27777777777777,567.4211956521739,192,190,180,191,106,175
7,1835.5551839464883,1.390368178829717,103.5,607.418918918919,212,206,223,240,231,240
8,636.6078431372549,1.160421735604217,75.11111111111111,663.7739130434783,210,211,229,240,240,240
9,585.5714285714286,0.956776080597985,103.72222222222221,660.1282051282051,209,222,213,233,235,155
10,571.1234567901234,1.3894965021184353,90.25,673.2903225806451,209,214,190,221,207,153
11,540.2368421052631,2.5081838021338507,115.16666666666667,666.4814814814815,198,195,162,208,124,144
0,392.3863636363636,18.452961505231833,76.3888888888889,637.7042253521126,177,174,151,182,152,111
1,404.27906976744185,16.929202524383246,97.83333333333333,565.796875,181,146,128,122,151,102
2,487.3333333333333,16.947672210830106,97.27777777777779,561.4926470588235,178,81,69,121,154,90
3,399.09655172413795,13.596796182685754,109.44444444444446,590.236641221374,125,78,67,109,170,103
4,428.8095238095238,12.774961597542243,87.22222222222221,608.7950819672132,147,71,60,105,178,90
