,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1,0,363,735,1075,1427,1800,2162,2501,2885,3260,3615,3980,4319,4688,5050,5382,5768,6104,6469,6844,7210,7578,7905,8295
1,2,58,411,786,1122,1479,1848,2220,2546,2929,3313,3659,4033,4361,4730,5111,5450,5813,6165,6523,6895,7255,7620,7954,8342
2,3,168,488,884,1205,1575,1943,2341,2659,3011,3413,3738,4133,4467,4816,5226,5557,5898,6283,6618,6996,7347,7703,8049,8430
3,4,255,591,966,1314,1654,2012,2431,2767,3076,3487,3835,4210,4536,4881,5325,5645,5969,6382,6697,7075,7414,7766,8122,8495
4,5,434,709,1104,1441,1796,2132,2593,2893,3237,3625,3945,4336,4676,4990,5493,5834,6111,6571,6871,7216,7534,7881,8269,8611
5,6,592,902,1238,1568,1931,2254,2748,3067,3358,3756,4091,4464,4790,5144,5657,5994,6300,6729,7062,7365,7692,7992,8397,8726
6,7,743,1064,1374,1723,2071,2412,2916,3228,3543,3892,4201,4599,4936,5258,5818,6152,6466,6893,7198,7558,7846,8164,8528,8867
7,8,803,1140,1468,1770,2128,2461,2982,3315,3627,3948,4289,4643,4979,5333,5886,6215,6548,6955,7297,7605,7958,8243,8586,8910
8,9,933,1236,1591,1912,2229,2547,3110,3401,3752,4076,4387,4744,5063,5420,6012,6352,6632,7084,7397,7748,8050,8393,8679,9020
9,10,1016,1346,1659,2010,2337,2646,3196,3527,3819,4175,4488,4810,5157,5479,6095,6426,6765,7167,7509,7819,8165,8449,8815,9075
10,11,1205,1519,1878,2170,2545,2851,3397,3681,4035,4346,4675,5017,5302,5660,6300,6629,6906,7378,7684,8041,8319,8668,8982,9315
11,12,1294,1620,1954,2299,2621,2964,3482,3815,4101,4460,4760,5085,5432,5727,6403,6737,7043,7469,7805,8123,8460,8726,9092,9371
12,13,1377,1700,2009,2356,2715,3019,3547,3873,4223,4518,4865,5175,5484,5838,6496,6808,7143,7544,7866,8220,8512,8866,9149,9497
13,14,1477,1811,2151,2444,2808,3155,3657,3986,4306,4671,4942,5313,5609,5912,6606,6960,7220,7654,7995,8313,8660,8940,9312,9576
14,15,1574,1868,2226,2563,2881,3215,3755,4068,4395,4733,5078,5387,5721,6017,6707,7038,7367,7758,8061,8412,8720,9068,9385,9719
15,16,1722,2010,2343,2685,3017,3328,3916,4197,4508,4851,5186,5529,5824,6157,6865,7170,7474,7907,8211,8520,8855,9171,9517,9809
16,17,1831,2141,2420,2769,3110,3440,4027,4338,4618,4939,5262,5626,5948,6222,6974,7308,7588,8004,8338,8642,8933,9274,9601,9935
17,18,1962,2244,2565,2858,3190,3527,4130,4443,4752,5040,5353,5730,6039,6361,7098,7397,7721,8104,8414,8762,9059,9348,9695,10005
18,19,2085,2371,2663,2979,3286,3621,4237,4543,4854,5170,5461,5830,6139,6448,7240,7527,7805,8204,8523,8845,9174,9468,9794,10103
19,20,2210,2531,2834,3118,3443,3746,4406,4687,4991,5315,5614,5967,6275,6584,7437,7719,7971,8374,8667,8986,9299,9619,9932,10238
20,21,2321,2709,2990,3286,3578,3890,4573,4853,5132,5448,5755,6091,6409,6717,7588,7911,8160,8522,8833,9126,9433,9741,10074,10372
21,22,2473,2865,3218,3460,3766,4045,4746,5038,5315,5609,5905,6256,6550,6868,7748,8197,8369,8715,9002,9313,9593,9892,10239,10531
22,23,2554,2937,3360,3635,3883,4180,4847,5161,5451,5736,6019,6338,6667,6961,7842,8346,8600,8830,9136,9423,9727,10004,10325,10649
23,24,2676,3029,3470,3796,4079,4317,4968,5279,5592,5892,6164,6460,6766,7095,7956,8472,8774,9059,9273,9579,9857,10155,10444,10753
24,25,2801,3131,3601,3974,4251,4523,5089,5435,5720,6045,6329,6617,6898,7206,8086,8621,8909,9246,9514,9728,10023,10295,10606,10881
25,26,2871,3195,3665,4095,4375,4647,5156,5569,5829,6119,6437,6728,7011,7292,8161,8677,9026,9330,9646,9914,10124,10417,10694,10998
26,27,2939,3263,3740,4155,4501,4770,5222,5625,5963,6227,6511,6835,7120,7403,8222,8749,9091,9432,9729,10045,10309,10516,10814,11086
27,28,3010,3333,3803,4210,4556,4897,5279,5676,6007,6363,6620,6911,7229,7514,8286,8825,9142,9499,9833,10130,10441,10703,10915,11207
28,29,3080,3408,3866,4288,4614,4949,5346,5731,6063,6427,6761,7026,7309,7627,8374,8924,9223,9571,9899,10239,10531,10839,11108,11313
29,30,3183,3486,3940,4355,4705,5010,5428,5801,6123,6491,6816,7176,7432,7715,8459,8999,9330,9658,9988,10307,10649,10937,11253,11514
30,31,3287,3609,4036,4455,4802,5135,5537,5889,6228,6577,6915,7264,7602,7858,8575,9105,9412,9784,10097,10427,10727,11075,11373,11677
31,32,3437,3740,4166,4577,4941,5239,5682,6018,6343,6705,7024,7383,7706,8055,8726,9262,9557,9937,10256,10569,10887,11180,11543,11824
32,33,3514,3843,4249,4637,5015,5351,5766,6086,6425,6775,7110,7456,7789,8118,8814,9349,9667,10026,10353,10672,10979,11293,11611,11948
33,34,3656,3954,4362,4747,5137,5457,5900,6211,6533,6880,7201,7569,7877,8229,8955,9484,9789,10159,10484,10811,11118,11419,11747,12039
34,35,3977,4244,4655,5027,5434,5742,6237,6503,6807,7172,7463,7865,8157,8470,9314,9834,10070,10500,10794,11119,11416,11706,12043,12330
35,36,3991,4338,4676,5048,5459,5795,6260,6598,6864,7182,7533,7881,8226,8518,9344,9868,10195,10516,10861,11155,11480,11777,12062,12404
36,37,4104,4403,4749,5117,5541,5857,6348,6661,6933,7248,7605,7959,8291,8578,9431,9963,10271,10592,10941,11217,11542,11840,12131,12459
37,38,4223,4497,4849,5206,5637,5939,6462,6750,7030,7353,7690,8058,8386,8657,9564,10098,10358,10720,11038,11323,11626,11917,12227,12544
38,39,4379,4599,4982,5322,5775,6047,6615,6860,7134,7471,7788,8182,8486,8760,9714,10249,10471,10879,11149,11442,11738,12020,12345,12642
