,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1,0,363,735,1075,1427,1800,2162,2501,2885,3260,3615,3980,4319,4688,5050,5382,5768,6104,6469,6844,7210,7578,7905,8295
1,2,50,424,783,1134,1477,1857,2218,2555,2938,3301,3663,4031,4361,4743,5094,5430,5831,6164,6517,6898,7260,7633,7950,8339
2,3,150,603,974,1383,1745,2064,2363,2653,3117,3552,3916,4300,4550,5011,5258,5570,5987,6395,6614,7162,7425,7753,8082,8557
3,4,224,804,1226,1647,1947,2147,2446,2909,3375,3613,4019,4376,4743,5214,5329,5721,6256,6664,6867,7414,7647,7836,8310,8798
4,5,367,1094,1424,1969,2253,2463,2767,3218,3542,3789,4250,4594,5029,5524,5551,5865,6566,6909,6998,7715,7874,8146,8583,8920
5,6,509,1255,1645,2125,2515,2781,3089,3529,3722,4062,4393,4872,5272,5706,5805,5987,6811,7077,7224,8017,8115,8409,8774,9034
6,7,631,1414,1953,2335,2828,3105,3418,3804,3914,4350,4651,5186,5564,5924,6030,6211,7150,7416,7562,8231,8388,8604,9066,9277
7,8,700,1645,2093,2564,3052,3332,3647,3919,4008,4493,4735,5333,5664,6028,6249,6401,7383,7532,7658,8392,8608,8710,9251,9313
8,9,807,1794,2314,2712,3194,3471,3776,4138,4208,4697,4879,5505,5829,6288,6506,6632,7548,7776,7944,8556,8793,8798,9399,9454
9,10,871,2048,2554,2919,3266,3684,3879,4383,4389,4929,4935,5750,6062,6459,6686,6867,7633,8004,8198,8796,8890,8949,9513,9599
10,11,1031,2312,2717,3250,3615,4046,4175,4558,4739,5247,5248,5956,6383,6814,7014,7180,7947,8212,8401,8959,9048,9178,9760,9827
11,12,1118,2456,2788,3387,3721,4290,4338,4805,4905,5429,5437,6179,6617,6998,7101,7410,8096,8377,8537,9030,9289,9431,9998,10067
12,13,1178,2667,2848,3536,3880,4489,4492,4922,4997,5485,5593,6331,6665,7106,7209,7497,8313,8623,8750,9229,9403,9553,10115,10300
13,14,1273,2951,3096,3764,4146,4764,4772,5140,5260,5664,5759,6602,6886,7206,7466,7668,8535,8805,9002,9433,9499,9831,10255,10422
14,15,1367,3101,3247,4003,4290,5004,5044,5296,5492,5773,5885,6750,7063,7444,7652,7730,8740,8978,9214,9552,9602,9962,10350,10656
