,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,54009,24149,25228,25992,26956,27902,28742,29711,30331,31023,31293,32381,32629,33343,34068,35051,35962,36902,37834,37855,38913,39282,39719,40691,41762,42673,43656,44685,45345,45811,47110,47996,48801,50008,50968,52458,53083,53207,53897,55565,56486,57263,58203,59045,59911,60736,61764,62791,63746,64779,65609,66831,67809,69053,70444,71102,72227,73008,73841,74873
1,54339,24251,25341,26094,27062,28009,28858,29823,30445,31134,31403,32532,32771,33493,34185,35238,36150,37060,37964,37978,39056,39398,39836,40858,41901,42849,43799,44843,45529,45938,47289,48128,48969,50174,51224,52760,53255,53436,54123,55854,56656,57422,58370,59229,60120,60900,61934,62999,63951,64955,65787,67060,68011,69254,70632,71220,72382,73197,74005,75075
2,54329,24325,25430,26197,27164,28109,29059,30069,30704,31373,31564,32638,33016,33628,34357,35442,36260,37275,38057,38242,39209,39564,39918,41020,42066,42992,43955,44990,45719,46091,47482,48341,49130,50420,51447,53034,53516,53674,54390,55958,56887,57549,58530,59514,60277,61040,62056,63189,64119,65040,66029,67196,68158,69436,70900,71341,72559,73461,74101,75175
3,54319,24381,25500,26310,27329,28340,29135,30172,30907,31518,31785,32795,33251,33736,34496,35668,36369,37361,38140,38460,39307,39718,39996,41204,42204,43091,44153,45166,45986,46304,47657,48453,49288,50630,51602,53130,53633,53865,54501,56035,57061,57651,58619,59772,60369,61180,62163,63260,64302,65198,66142,67303,68317,69689,71136,71473,72748,73731,74287,75254
4,54101,24487,25782,26590,27513,28623,29412,30341,31056,31789,31928,33091,33462,34056,34639,35860,36618,37538,38349,38734,39453,39875,40152,41427,42467,43339,44409,45313,46206,46592,47916,48579,49505,50878,51776,53344,53778,54063,54766,56182,57229,57946,58852,59969,60614,61326,62358,63480,64478,65320,66264,67478,68627,69976,71447,71724,72963,73962,74506,75458
5,66091,24626,26020,26909,27829,28957,29712,30546,31386,32083,32258,33302,33748,34323,34827,36101,36869,37761,38705,39024,39787,40112,40401,41810,42768,43751,44670,45529,46557,46892,48127,48804,49811,51026,52042,53737,53963,54377,55159,56425,57524,58186,59070,60307,60861,61632,62571,63698,64822,65493,66454,67759,68839,70395,71673,71891,73127,74387,74801,75780
6,66031,24713,26128,27032,28042,29092,29859,30668,31547,32182,32362,33423,34044,34623,34988,36335,37039,37918,38955,39178,39938,40293,40601,41929,42933,43978,44862,45788,46724,47115,48338,48967,50114,51288,52275,53915,54176,54600,55454,56567,57765,58377,59240,60534,61001,61890,62828,63935,64980,65601,66571,67907,69127,70634,71955,72100,73330,74621,75027,75926
7,66041,24797,26230,27169,28297,29315,29965,30839,31755,32294,32613,33533,34351,34810,35195,36561,37250,38126,39068,39355,40049,40427,40715,42055,43075,44292,44952,45935,46930,47283,48485,49141,50417,51456,52424,54213,54393,54719,55711,56668,57875,58636,59404,60750,61164,62007,63042,64141,65290,65790,66721,68112,69260,70773,72169,72305,73482,74944,75210,76129
8,66051,24853,26293,27257,28523,29370,30062,31068,31875,32381,32855,33627,34451,35023,35346,36732,37378,38379,39236,39548,40155,40535,40889,42190,43313,44450,45178,46143,47156,47452,48620,49369,50662,51600,52530,54464,54549,54819,55858,56771,57989,58759,59531,60851,61394,62172,63269,64372,65474,65948,66914,68278,69412,70971,72370,72523,73693,75120,75313,76365
9,66379,24925,26508,27431,28763,29619,30161,31216,31976,32532,32997,33884,34686,35211,35428,37013,37509,38656,39451,39648,40269,40622,41000,42335,43570,44612,45296,46386,47413,47699,48731,49609,50901,51726,52728,54664,54734,55035,56142,56905,58109,59016,59644,61086,61517,62316,63515,64531,65714,66064,67109,68560,69679,71111,72610,72773,73942,75346,75409,76466
