,stw,sto,sth
0,519.9618644067797,0.0,0.0
1,467.45255474452557,8.396610169491526,[89.22288]
2,486.1298245614035,7.65821157218001,[87.39716]
3,493.2171837708831,6.702041244686991,[89.4206]
4,524.375,5.744781305535661,[90.14404]
5,523.9772727272727,5.995046823001315,[89.55477]
6,463.7763157894737,6.259858911579534,[75.64588]
7,511.69620253164555,6.203922518159805,[98.08714]
8,502.0536912751678,6.2734543379166885,[98.59703]
9,518.2953216374269,6.391408555789584,[92.42883]
10,580.8865131578947,7.673941758119667,[91.29501]
11,528.436170212766,9.746041219065807,[106.71605]
12,568.7777777777778,9.839022899952182,[94.740814]
13,671.5412844036697,9.197395857164336,[104.59628]
14,616.5213675213676,9.343640429219759,[89.983246]
15,615.2372881355932,9.3716519881497,[87.41946]
16,635.0149253731344,9.52428440262447,[98.62183]
17,637.4590163934427,9.384389389158603,[88.881996]
18,706.3920704845815,9.748886828068374,[96.05274]
19,555.7317073170732,11.291900672425514,[78.50745]
20,683.2602739726027,11.012014107378462,[89.548035]
21,600.7777777777778,11.287397567058584,[93.37914]
22,584.5833333333334,11.48066844903045,[85.16028]
23,807.7021276595744,12.298063576439247,[97.33404]
24,799.28,13.123757561670812,[90.98582]
25,0.0,13.599398124644473,[106.26371]
26,699.2820512820513,13.599398124644473,[92.805626]
27,717.6301369863014,13.227881832925242,[92.681274]
28,926.8602150537635,13.424144357418086,[99.587616]
29,724.0,12.794546205077967,[96.3672]
30,736.5169082125603,13.475986242456063,[98.818306]
31,725.1722054380665,13.762890088934041,[99.367645]
32,697.05,14.128740811142206,[89.056694]
33,669.6477272727273,14.01505227165299,[84.87032]
34,774.6716417910447,14.364498297763298,[99.70726]
35,899.331081081081,15.103624394673126,[86.28006]
36,920.741935483871,15.99482039889169,[101.335556]
37,914.86,15.725603445604683,[92.19776]
38,962.8837209302326,16.16168768720942,[87.583786]
39,893.955,16.15158390255147,[83.37371]
40,0.0,17.85081990821035,[86.513115]
41,960.6829268292682,17.702014639334877,[100.300186]
42,1037.1424657534246,21.767689401674495,[100.04775]
43,1131.6027397260275,22.44923149805243,[101.1359]
44,0.0,21.91053093904353,[90.148895]
45,0.0,21.91053093904353,[95.01914]
0,506.72827282728275,0.0,0.0
1,470.35769230769233,6.7879398109302445,[105.0964]
2,509.0113636363636,6.2844307010122815,[97.50897]
3,470.55096418732785,5.866592127664981,[88.805405]
4,457.44897959183675,5.563671723878334,[94.04833]
5,554.5833333333334,5.755400869081699,[95.47752]
6,565.951724137931,6.262573906188413,[92.45267]
7,575.1728971962617,6.352453068894306,[106.62176]
8,617.7099767981439,6.986893919157627,[96.54386]
9,616.1443661971831,8.847604691348945,[110.410576]
10,604.1507352941177,9.695305370366503,[88.48448]
11,718.3421052631579,12.049847873512482,[91.34322]
12,618.4106280193237,12.61574951877672,[93.97783]
13,611.2777777777778,13.418613432506179,[89.140366]
14,648.8965517241379,13.339119563733558,[92.74044]
15,573.2291666666666,13.176132590304043,[93.01982]
16,678.3265306122449,13.225661738189686,[106.36928]
17,628.1774193548387,13.452951983358231,[110.67295]
18,730.489010989011,13.190768121168409,[86.12059]
19,672.1818181818181,13.678798519834636,[98.02199]
20,656.24,13.769325481422069,[95.55266]
21,858.679012345679,13.778718604086647,[82.526146]
22,704.8538461538461,14.28493922698406,[91.273575]
23,828.3614457831326,15.104912757635445,[93.34375]
24,796.7560975609756,15.901426576490238,[93.64786]
25,0.0,16.593490031740764,[86.86799]
26,801.5322580645161,16.593490031740764,[86.19017]
