,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1,0,363,735,1075,1427,1800,2162,2501,2885,3260,3615,3980,4319,4688,5050,5382,5768,6104,6469,6844,7210,7578,7905,8295
1,2,58,421,789,1133,1486,1845,2210,2555,2929,3319,3666,4039,4373,4733,5110,5439,5829,6153,6516,6891,7267,7642,7949,8350
2,3,177,582,931,1286,1641,1983,2352,2701,3059,3481,3808,4201,4526,4872,5273,5598,5982,6292,6658,7021,7419,7806,8079,8503
3,4,269,725,1062,1425,1782,2109,2482,2834,3180,3625,3939,4346,4665,4999,5419,5742,6122,6420,6786,7141,7556,7954,8201,8641
4,5,444,926,1241,1619,1981,2284,2661,3020,3342,3829,4119,4551,4860,5173,5626,5945,6318,6595,6962,7304,7748,8164,8365,8834
5,6,604,1128,1424,1816,2181,2460,2841,3206,3509,4033,4303,4757,5058,5350,5833,6150,6517,6773,7141,7469,7941,8375,8535,9029
6,7,767,1334,1613,2017,2388,2643,3027,3397,3680,4242,4493,4969,5262,5533,6044,6361,6721,6957,7324,7639,8138,8591,8710,9227
7,8,829,1433,1717,2120,2495,2746,3126,3498,3780,4342,4598,5073,5370,5636,6148,6470,6829,7060,7423,7736,8237,8698,8815,9327
8,9,950,1583,1865,2272,2651,2891,3270,3645,3916,4497,4746,5232,5527,5780,6305,6630,6986,7206,7566,7871,8385,8860,8956,9476
9,10,1025,1702,1988,2395,2778,3013,3388,3766,4032,4619,4870,5358,5656,5901,6431,6761,7114,7327,7684,7985,8504,8990,9078,9596
10,11,1223,1943,2212,2635,3024,3230,3609,3994,4234,4867,5095,5610,5899,6120,6683,7013,7359,7547,7903,8186,8737,9248,9289,9833
11,12,1319,2060,2338,2760,3153,3355,3729,4116,4353,4990,5222,5738,6030,6245,6809,7146,7490,7673,8023,8303,8856,9378,9441,9955
12,13,1409,2163,2452,2873,3270,3471,3840,4227,4463,5100,5338,5854,6150,6360,6923,7267,7610,7788,8133,8411,8964,9495,9579,10066
13,14,1523,2306,2599,3023,3425,3617,3982,4372,4601,5249,5486,6009,6306,6506,7076,7425,7767,7935,8276,8546,9108,9652,9757,10216
14,15,1645,2431,2715,3138,3543,3736,4094,4485,4713,5360,5604,6126,6427,6624,7191,7547,7889,8054,8388,8656,9217,9770,9895,10332
15,16,1804,2625,2864,3292,3701,3885,4241,4633,4853,5513,5754,6285,6586,6774,7358,7708,8050,8204,8534,8795,9365,9929,10075,10488
16,17,1912,2742,2996,3422,3834,4015,4367,4759,4977,5640,5885,6418,6721,6905,7488,7846,8187,8336,8660,8916,9488,10063,10227,10621
17,18,2026,2869,3119,3544,3959,4139,4486,4879,5095,5771,6008,6564,6848,7030,7610,7974,8316,8461,8780,9032,9603,10187,10370,10747
18,19,2159,3012,3261,3661,4079,4260,4601,4993,5209,5903,6127,6690,6972,7150,7737,8098,8440,8582,8895,9145,9714,10335,10507,10869
19,20,2302,3164,3468,3826,4246,4418,4757,5151,5358,6094,6288,6860,7142,7310,7904,8270,8611,8742,9051,9293,9871,10511,10695,11039
20,21,2420,3311,3626,4015,4409,4574,4910,5305,5504,6253,6447,7028,7307,7466,8083,8437,8777,8900,9204,9437,10023,10674,10878,11205
21,22,2583,3480,3799,4199,4696,4748,5083,5479,5668,6432,6626,7215,7494,7642,8270,8721,8966,9076,9376,9599,10212,10879,11085,11395
22,23,2664,3583,3917,4320,4814,4914,5201,5596,5785,6542,6750,7337,7620,7766,8387,8859,9098,9202,9495,9715,10323,10996,11223,11523
23,24,2791,3708,4054,4464,4956,5058,5341,5734,5919,6677,6893,7480,7769,7910,8530,9002,9253,9346,9633,9848,10457,11138,11385,11675
24,25,2913,3848,4203,4620,5110,5244,5492,5884,6063,6826,7047,7637,7930,8064,8687,9159,9419,9502,9783,9990,10603,11293,11576,11839
25,26,2974,3912,4299,4718,5206,5349,5602,5980,6164,6912,7149,7731,8033,8170,8780,9255,9527,9609,9883,10090,10691,11383,11716,11947
26,27,3051,3984,4393,4814,5301,5454,5703,6090,6263,6997,7269,7824,8134,8275,8871,9350,9632,9715,9982,10188,10779,11471,11821,12054
27,28,3118,4039,4489,4912,5397,5559,5805,6187,6365,7085,7371,7920,8238,8381,8966,9447,9740,9822,10082,10288,10870,11562,11926,12164
28,29,3195,4126,4587,5015,5500,5668,5913,6289,6471,7180,7476,8023,8347,8492,9068,9549,9852,9935,10189,10392,10967,11659,12038,12279
29,30,3284,4211,4693,5130,5614,5787,6030,6402,6585,7288,7589,8138,8465,8612,9182,9663,9976,10057,10305,10505,11074,11768,12161,12406
30,31,3401,4328,4820,5268,5752,5925,6168,6537,6717,7421,7724,8278,8608,8752,9323,9803,10122,10198,10442,10635,11206,11904,12310,12556
31,32,3552,4483,4977,5441,5927,6091,6338,6705,6876,7593,7890,8457,8785,8922,9502,9979,10304,10370,10611,10794,11372,12079,12499,12742
32,33,3657,4580,5081,5553,6040,6210,6454,6817,6989,7699,8003,8570,8903,9042,9616,10093,10426,10492,10727,10907,11479,12188,12619,12868
33,34,3796,4722,5223,5709,6198,6364,6610,6971,7136,7854,8154,8731,9065,9198,9778,10253,10591,10651,10882,11053,11630,12344,12788,13038
34,35,4126,5063,5532,6054,6551,6676,6933,7301,7425,8202,8472,9098,9415,9513,10149,10612,10946,10978,11201,11344,11969,12699,13168,13397
35,36,4154,5093,5550,6075,6574,6748,6998,7359,7497,8223,8536,9130,9476,9586,10168,10631,11008,11053,11268,11415,11996,12726,13187,13465
36,37,4254,5205,5630,6157,6662,6862,7112,7441,7610,8312,8646,9222,9590,9704,10258,10710,11082,11189,11383,11527,12082,12818,13276,13585
37,38,4380,5348,5729,6276,6779,7001,7207,7566,7745,8434,8749,9359,9690,9848,10389,10829,11199,11357,11526,11664,12186,12946,13409,13695
38,39,4542,5509,5850,6432,6925,7106,7329,7693,7843,8583,8866,9504,9814,9944,10551,10958,11343,11484,11626,11763,12337,13094,13561,13826
