,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,54009,24149,25228,25992,26956,27902,28742,29711,30331,31023,31293,32381,32629,33343,34068,35051,35962,36902,37834,37855,38913,39282,39719,40691,41762,42673,43656,44685,45345,45811,47110,47996,48801,50008,50968,52458,53083,53207,53897,55565,56486,57263,58203,59045,59911,60736,61764,62791,63746,64779,65609,66831,67809,69053,70444,71102,72227,73008,73841,74873
1,54339,24289,25366,26138,27119,28007,28860,29864,30441,31200,31426,32547,32728,33465,34205,35224,36084,37031,37950,37974,39052,39406,39851,40847,41951,42844,43844,44889,45535,45997,47255,48163,48965,50199,51229,52738,53274,53303,54062,55794,56674,57507,58425,59239,60123,60948,62005,63008,63917,64966,65815,67073,68051,69202,70589,71224,72384,73157,73986,75035
2,54329,24402,25475,26271,27259,28079,28994,29983,30525,31343,31534,32664,32806,33555,34304,35351,36167,37127,38029,38058,39148,39504,39966,40950,42076,42966,43920,44990,45651,46103,47347,48259,49095,50304,51365,52838,53367,53372,54135,55883,56764,57625,58518,59313,60239,61043,62127,63099,63994,65060,65951,67203,68171,69279,70679,71302,72464,73259,74060,75142
3,54319,24490,25569,26388,27360,28137,29076,30079,30608,31445,31611,32783,32867,33632,34372,35459,36232,37195,38092,38148,39230,39578,40051,41038,42161,43068,43999,45096,45760,46194,47428,48343,49188,50423,51469,52912,53435,53449,54201,55959,56835,57731,58592,59378,60333,61142,62223,63168,64056,65134,66044,67320,68276,69340,70745,71365,72526,73328,74118,75207
4,54101,24665,25735,26587,27543,28258,29240,30256,30743,31644,31774,32978,32993,33761,34504,35655,36366,37351,38242,38292,39399,39717,40211,41224,42340,43251,44173,45281,45945,46376,47572,48482,49375,50566,51663,53047,53577,53598,54307,56084,56959,57904,58716,59483,60482,61294,62402,63294,64167,65278,66228,67513,68454,69460,70859,71477,72648,73452,74228,75326
5,66091,24894,25967,26842,27802,28410,29448,30511,30921,31923,32016,33219,33233,33940,34684,35913,36518,37529,38396,38505,39594,39921,40447,41427,42561,43505,44331,45476,46192,46620,47740,48684,49631,50774,51949,53236,53771,53864,54461,56240,57139,58153,58902,59640,60697,61494,62663,63477,64327,65469,66484,67769,68709,69619,71020,71639,72803,73633,74379,75491
6,66031,25023,26104,26993,27958,28502,29573,30659,31028,32083,32157,33358,33371,34048,34793,36070,36610,37636,38488,38631,39709,40040,40586,41548,42693,43653,44426,45593,46336,46764,47841,48805,49783,50898,52116,53349,53882,54019,54553,56338,57248,58301,59010,59732,60826,61613,62818,63586,64424,65603,66636,67921,68860,69714,71120,71738,72898,73742,74471,75589
7,66041,25152,26242,27144,28122,28595,29699,30807,31136,32250,32300,33496,33513,34157,34903,36223,36705,37744,38583,38758,39831,40160,40726,41670,42832,43802,44523,45710,46479,46908,47943,48928,49935,51022,52285,53462,53994,54176,54647,56438,57358,58449,59120,59825,60955,61734,62973,63699,64522,65720,66788,68073,69011,69811,71221,71838,72993,73852,74563,75686
8,66051,25231,26333,27242,28226,28659,29782,30902,31208,32360,32394,33588,33642,34229,34977,36323,36768,37819,38642,38843,39905,40237,40818,41751,42920,43910,44596,45789,46571,47004,48021,49012,50047,51114,52395,53539,54074,54275,54712,56524,57447,58547,59194,59890,61041,61814,63074,63773,64589,65809,66891,68173,69120,69877,71302,71905,73060,73926,74627,75750
9,66379,25350,26481,27395,28372,28739,29904,31039,31299,32503,32551,33742,33751,34328,35082,36479,36847,37928,38748,38950,40028,40336,40948,41874,43054,44092,44697,45935,46709,47124,48108,49117,50179,51219,52549,53656,54170,54402,54792,56636,57555,58694,59286,59970,61160,61916,63208,63876,64673,65907,67018,68302,69258,69959,71407,71990,73157,74022,74706,75831
