stop,NH,FH,BH,HH,SH,MAPPO,improved_MAPPO
1,284.8,257.9,236.8,263.2,384.2,210.5,200.0
2,321.3,257.9,242.1,263.2,363.2,210.5,194.7
3,286.8,247.4,252.6,252.6,410.5,221.1,210.5
4,243.1,252.6,242.1,242.1,426.3,226.3,200.0
5,259.2,252.6,236.8,226.3,384.2,210.5,200.0
6,269.5,294.7,252.6,221.1,510.5,221.1,194.7
7,333.8,778.9,626.3,447.4,1226.3,273.7,231.6
8,458.8,1305.3,1321.1,810.5,1657.9,678.9,500.0
9,283.4,347.4,357.9,268.4,521.1,263.2,257.9
10,300.9,273.7,247.4,226.3,415.8,231.6,205.3
11,275.2,236.8,242.1,215.8,378.9,210.5,200.0
12,251.6,236.8,247.4,221.1,373.7,205.3,200.0
