metric,stop,method,value
AWT,1,NH,284.753
AWT,2,NH,321.311
AWT,3,NH,286.807
AWT,4,NH,243.093
AWT,5,NH,259.233
AWT,6,NH,269.457
AWT,7,NH,333.762
AWT,8,NH,458.816
AWT,9,NH,283.383
AWT,10,NH,300.924
AWT,11,NH,275.211
AWT,12,NH,251.566
AWT,1,HH,263.158
AWT,2,HH,263.158
AWT,3,HH,252.632
AWT,4,HH,242.105
AWT,5,HH,226.316
AWT,6,HH,221.053
AWT,7,HH,447.368
AWT,8,HH,810.526
AWT,9,HH,268.421
AWT,10,HH,226.316
AWT,11,HH,215.789
AWT,12,HH,221.053
AWT,1,SH,384.211
AWT,2,SH,363.158
AWT,3,SH,410.526
AWT,4,SH,426.316
AWT,5,SH,384.211
AWT,6,SH,510.526
AWT,7,SH,1226.316
AWT,8,SH,1657.895
AWT,9,SH,521.053
AWT,10,SH,415.789
AWT,11,SH,378.947
AWT,12,SH,373.684
AWT,1,FH,257.895
AWT,2,FH,257.895
AWT,3,FH,247.368
AWT,4,FH,252.632
AWT,5,FH,252.632
AWT,6,FH,294.737
AWT,7,FH,778.947
AWT,8,FH,1305.263
AWT,9,FH,347.368
AWT,10,FH,273.684
AWT,11,FH,236.842
AWT,12,FH,236.842
AWT,1,BH,236.842
AWT,2,BH,242.105
AWT,3,BH,252.632
AWT,4,BH,242.105
AWT,5,BH,236.842
AWT,6,BH,252.632
AWT,7,BH,626.316
AWT,8,BH,1321.053
AWT,9,BH,357.895
AWT,10,BH,247.368
AWT,11,BH,242.105
AWT,12,BH,247.368
AWT,1,MAPPO,210.526
AWT,2,MAPPO,210.526
AWT,3,MAPPO,221.053
AWT,4,MAPPO,226.316
AWT,5,MAPPO,210.526
AWT,6,MAPPO,221.053
AWT,7,MAPPO,273.684
AWT,8,MAPPO,678.947
AWT,9,MAPPO,263.158
AWT,10,MAPPO,231.579
AWT,11,MAPPO,210.526
AWT,12,MAPPO,205.263
AWT,1,improved_MAPPO,200.0
AWT,2,improved_MAPPO,194.737
AWT,3,improved_MAPPO,210.526
AWT,4,improved_MAPPO,200.0
AWT,5,improved_MAPPO,200.0
AWT,6,improved_MAPPO,194.737
AWT,7,improved_MAPPO,231.579
AWT,8,improved_MAPPO,500.0
AWT,9,improved_MAPPO,257.895
AWT,10,improved_MAPPO,205.263
AWT,11,improved_MAPPO,200.0
AWT,12,improved_MAPPO,200.0
AHT,1,NH,0.0
AHT,2,NH,0.0
AHT,3,NH,0.0
AHT,4,NH,0.0
AHT,5,NH,0.0
AHT,6,NH,0.0
AHT,7,NH,0.0
AHT,8,NH,0.0
AHT,9,NH,0.0
AHT,10,NH,0.0
AHT,11,NH,0.0
AHT,12,NH,0.0
AHT,1,HH,45.19
AHT,2,HH,51.646
AHT,3,HH,73.671
AHT,4,HH,101.013
AHT,5,HH,111.646
AHT,6,HH,97.975
AHT,7,HH,41.392
AHT,8,HH,1.519
AHT,9,HH,0.0
AHT,10,HH,0.0
AHT,11,HH,0.0
AHT,12,HH,0.0
AHT,1,SH,52.785
AHT,2,SH,121.899
AHT,3,SH,51.646
AHT,4,SH,115.443
AHT,5,SH,51.266
AHT,6,SH,114.684
AHT,7,SH,42.532
AHT,8,SH,90.38
AHT,9,SH,80.506
AHT,10,SH,91.519
AHT,11,SH,78.228
AHT,12,SH,95.316
AHT,1,FH,57.722
AHT,2,FH,59.241
AHT,3,FH,57.722
AHT,4,FH,57.722
AHT,5,FH,58.101
AHT,6,FH,58.861
AHT,7,FH,58.481
AHT,8,FH,57.722
AHT,9,FH,56.962
AHT,10,FH,58.101
AHT,11,FH,56.582
AHT,12,FH,56.582
AHT,1,BH,55.063
AHT,2,BH,58.101
AHT,3,BH,57.722
AHT,4,BH,57.722
AHT,5,BH,58.481
AHT,6,BH,56.962
AHT,7,BH,57.722
AHT,8,BH,56.962
AHT,9,BH,56.582
AHT,10,BH,59.241
AHT,11,BH,56.962
AHT,12,BH,56.582
AHT,1,MAPPO,21.646
AHT,2,MAPPO,30.759
AHT,3,MAPPO,30.38
AHT,4,MAPPO,38.354
AHT,5,MAPPO,58.101
