time_step,loc_rad,station_position,is_stopped,stop_id
0,0.0000000000,1.0000000000,0,-1
1,0.0000000000,1.0000000000,1,0
2,0.0000000000,1.0000000000,1,0
3,0.0000000000,1.0000000000,1,0
4,0.0000000000,1.0000000000,1,0
5,0.0029088821,1.0055555556,0,-1
6,0.0058177642,1.0111111111,0,-1
7,0.0087266463,1.0166666667,0,-1
8,0.0116355283,1.0222222222,0,-1
9,0.0145444104,1.0277777778,0,-1
10,0.0174532925,1.0333333333,0,-1
11,0.0203621746,1.0388888889,0,-1
12,0.0232710567,1.0444444444,0,-1
13,0.0261799388,1.0500000000,0,-1
14,0.0290888209,1.0555555556,0,-1
15,0.0319977030,1.0611111111,0,-1
16,0.0349065850,1.0666666667,0,-1
17,0.0378154671,1.0722222222,0,-1
18,0.0407243492,1.0777777778,0,-1
19,0.0436332313,1.0833333333,0,-1
20,0.0465421134,1.0888888889,0,-1
21,0.0494509955,1.0944444444,0,-1
22,0.0523598776,1.1000000000,0,-1
23,0.0552687596,1.1055555556,0,-1
24,0.0581776417,1.1111111111,0,-1
25,0.0610865238,1.1166666667,0,-1
26,0.0639954059,1.1222222222,0,-1
27,0.0669042880,1.1277777778,0,-1
28,0.0698131701,1.1333333333,0,-1
29,0.0727220522,1.1388888889,0,-1
30,0.0756309343,1.1444444444,0,-1
31,0.0785398163,1.1500000000,0,-1
32,0.0814486984,1.1555555556,0,-1
33,0.0843575805,1.1611111111,0,-1
34,0.0872664626,1.1666666667,0,-1
35,0.0901753447,1.1722222222,0,-1
36,0.0930842268,1.1777777778,0,-1
37,0.0959931089,1.1833333333,0,-1
38,0.0989019909,1.1888888889,0,-1
39,0.1018108730,1.1944444444,0,-1
40,0.1047197551,1.2000000000,0,-1
41,0.1076286372,1.2055555556,0,-1
42,0.1105375193,1.2111111111,0,-1
43,0.1134464014,1.2166666667,0,-1
44,0.1163552835,1.2222222222,0,-1
45,0.1192641656,1.2277777778,0,-1
46,0.1221730476,1.2333333333,0,-1
47,0.1250819297,1.2388888889,0,-1
48,0.1279908118,1.2444444444,0,-1
49,0.1308996939,1.2500000000,0,-1
50,0.1338085760,1.2555555556,0,-1
51,0.1367174581,1.2611111111,0,-1
52,0.1396263402,1.2666666667,0,-1
53,0.1425352222,1.2722222222,0,-1
54,0.1454441043,1.2777777778,0,-1
55,0.1483529864,1.2833333333,0,-1
56,0.1512618685,1.2888888889,0,-1
57,0.1541707506,1.2944444444,0,-1
58,0.1570796327,1.3000000000,0,-1
59,0.1599885148,1.3055555556,0,-1
60,0.1628973969,1.3111111111,0,-1
61,0.1658062789,1.3166666667,0,-1
62,0.1687151610,1.3222222222,0,-1
63,0.1716240431,1.3277777778,0,-1
64,0.1745329252,1.3333333333,0,-1
65,0.1774418073,1.3388888889,0,-1
66,0.1803506894,1.3444444444,0,-1
67,0.1832595715,1.3500000000,0,-1
68,0.1861684535,1.3555555556,0,-1
69,0.1890773356,1.3611111111,0,-1
70,0.1919862177,1.3666666667,0,-1
71,0.1948950998,1.3722222222,0,-1
72,0.1978039819,1.3777777778,0,-1
73,0.2007128640,1.3833333333,0,-1
74,0.2036217461,1.3888888889,0,-1
75,0.2065306282,1.3944444444,0,-1
76,0.2094395102,1.4000000000,0,-1
77,0.2123483923,1.4055555556,0,-1
78,0.2152572744,1.4111111111,0,-1
79,0.2181661565,1.4166666667,0,-1
80,0.2210750386,1.4222222222,0,-1
81,0.2239839207,1.4277777778,0,-1
82,0.2268928028,1.4333333333,0,-1
83,0.2298016848,1.4388888889,0,-1
84,0.2327105669,1.4444444444,0,-1
85,0.2356194490,1.4500000000,0,-1
86,0.2385283311,1.4555555556,0,-1
87,0.2414372132,1.4611111111,0,-1
88,0.2443460953,1.4666666667,0,-1
89,0.2472549774,1.4722222222,0,-1
90,0.2501638595,1.4777777778,0,-1
