sequence,stop_name,lat,lon,osm_match
1,新兴客运站,,,
2,新兴小区,30.521143,104.0622849,"天府新区星之光舞蹈艺术学校, 新希望大道, 观音湾社区, 华阳街道, 天府新区, 双流区, 成都市, 四川省, 610093, 中国"
3,新兴卫生院,,,
4,凉水井小区,,,
5,天府新区综合高级中学,,,
6,沙站,,,
7,利民学校,,,
8,应龙湾,30.5461048,104.115925,"应龙湾生态农庄, 高新区（南区）, 双流区, 成都市, 四川省, 中国"
9,应龙社区,30.5459669,104.110744,"应龙社区, 中和街道, 高新区（南区）, 双流区, 成都市, 四川省, 中国"
10,康和路中和二街口,,,
11,地铁张家寺站,,,
12,润和路中和二街口,,,
13,地铁陆肖站,,,
14,中柏大道应龙路口,,,
15,应龙路中,30.5358291,104.099691,"应龙路, 应龙社区, 中和街道, 高新区, 双流区, 成都市, 四川省, 610093, 中国"
16,应龙北一路口,,,
17,应龙南一路,30.5307489,104.0837798,"应龙南一路, 观东社区, 中和街道, 高新区, 双流区, 成都市, 四川省, 610093, 中国"
18,应龙南一路南,30.5307489,104.0837798,"应龙南一路, 观东社区, 中和街道, 高新区, 双流区, 成都市, 四川省, 610093, 中国"
19,新通大道西,,,
20,会龙大道梓州大道口,,,
21,会龙大道,30.5257058,104.073065,"会龙大道, 会龙社区, 中和街道, 高新区, 双流区, 成都市, 四川省, 610093, 中国"
22,四河村,,,
23,正北下街,30.5205828,104.0656328,"正北下街, 龙河社区, 华阳街道, 天府新区, 双流区, 成都市, 四川省, 610093, 中国"
24,华阳中学,30.5142986,104.0617239,"华阳中学, 公安路三段, 四河社区, 华阳街道, 天府新区, 双流区, 成都市, 四川省, 610093, 中国"
25,正北中街,30.5154055,104.0591601,"正北中街, 四河社区, 华阳街道, 天府新区, 双流区, 成都市, 四川省, 610093, 中国"
26,正北中街华阳大道口,,,
27,天府新区人民医院,30.5104452,104.0536397,"天府新区人民医院, 正北上街, 正东街社区, 华阳街道, 天府新区, 双流区, 成都市, 四川省, 610093, 中国"
28,正东上街,30.5071356,104.0542937,"正东上街, 正东街社区, 华阳街道, 天府新区, 双流区, 成都市, 四川省, 610093, 中国"
29,正东中街,30.5044506,104.0584792,"正东中街, 古城社区, 华阳街道, 天府新区, 双流区, 成都市, 四川省, 中国"
30,二江路一段北,,,
31,南湖路东,30.5007228,104.0477237,"南湖公园教堂, 南湖东路, 锦江社区, 华阳街道, 天府新区, 双流区, 成都市, 四川省, 中国"
32,天研路口,,,
33,华阳客运站,,,
34,两江路天府大道口,,,
35,地铁广福站(B口),30.4791981,104.0678194,"地铁广福站(B口), 东山大道一段, 广福社区, 华阳街道, 天府新区, 双流区, 成都市, 四川省, 610213, 中国"
36,沙河社区,30.4786742,104.0731724,"沙河社区, 华阳街道, 天府新区, 双流区, 成都市, 四川省, 中国"
37,香沙路,30.4799148,104.0746346,"香沙路, 沙河社区, 华阳街道, 天府新区, 双流区, 成都市, 四川省, 610213, 中国"
