bus_id,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39
1,0.0,10.455,10.455,10.455,10.455,13.636,15.227,16.818,17.841,21.818,22.045,23.977,25.909,28.864,36.136,40.682,53.636,47.727,49.318,55.909,58.636,58.864,62.273,57.273,58.409,59.091,61.591,57.045,54.318,45.568,50.568,42.159,34.886,30.398,25.909,14.318,5.795,1.364,0.0
2,0.0,5.682,5.682,6.705,8.182,11.818,13.636,15.455,19.318,20.0,20.227,21.477,22.727,30.0,35.909,42.727,48.409,50.0,55.227,55.114,60.0,65.227,65.227,64.091,64.545,63.977,62.5,56.364,53.182,50.0,46.477,39.545,34.318,29.091,25.114,14.545,5.795,5.795,0.0
3,0.0,5.0,5.0,7.045,9.318,12.841,13.636,15.795,21.818,19.773,20.682,22.5,24.773,25.795,32.841,42.386,45.227,52.273,55.0,54.886,61.591,65.341,65.227,64.091,63.636,63.409,62.045,58.182,54.318,51.818,48.864,43.409,36.364,30.227,23.864,16.25,6.25,6.25,0.0
4,0.0,18.409,18.409,18.409,18.409,18.409,18.409,18.409,22.045,18.182,18.409,24.886,20.795,28.636,37.614,31.818,52.955,37.727,49.773,49.773,52.841,54.545,62.5,53.864,55.0,54.318,53.636,58.864,56.136,47.045,52.045,42.955,27.5,23.864,19.886,12.955,6.591,6.591,0.0
5,0.0,4.886,4.886,7.273,7.955,12.273,13.977,15.682,20.455,21.591,21.364,23.409,24.545,26.818,33.864,40.682,47.273,49.773,52.955,52.5,55.909,59.773,60.227,59.091,60.114,60.227,59.545,56.25,52.614,50.227,47.045,42.273,36.364,25.455,24.773,13.182,6.818,6.818,0.0
6,0.0,5.114,5.114,6.818,9.091,12.045,12.614,15.0,19.091,21.364,20.0,21.818,24.318,25.227,33.409,39.318,48.182,49.773,52.727,52.5,56.25,59.545,60.227,59.318,60.455,60.227,59.318,53.864,51.136,49.545,46.023,40.114,33.977,28.636,25.0,16.932,6.932,6.932,0.0
7,0.0,7.5,7.5,7.5,10.114,12.727,12.955,15.909,18.864,19.697,20.53,21.364,22.045,23.864,29.432,33.977,38.409,40.0,41.136,40.795,43.523,47.045,47.386,46.136,47.045,47.273,46.591,43.864,40.909,39.318,37.045,33.068,29.091,25.227,20.795,14.091,7.045,7.045,0.0
8,0.0,13.636,13.636,13.636,13.636,13.636,14.205,17.784,21.364,22.386,23.295,26.364,27.955,30.909,38.864,45.795,53.182,55.682,58.182,58.182,62.5,65.909,66.591,65.682,65.682,65.0,64.545,61.023,57.273,56.25,51.818,46.25,40.0,35.0,29.773,19.773,8.864,8.864,0.0
9,0.0,5.114,5.114,7.5,9.659,11.818,13.977,16.136,20.455,21.136,23.523,26.364,27.727,30.909,40.568,46.136,54.545,55.909,58.636,58.295,61.818,66.023,66.591,65.455,65.455,63.636,64.091,60.455,55.682,56.364,52.045,45.682,38.182,35.0,30.0,21.364,9.318,9.318,0.0
10,0.0,6.364,6.364,7.841,10.682,14.091,15.0,18.182,20.568,22.955,20.909,24.318,25.0,28.636,39.091,41.818,41.136,49.318,51.477,51.136,59.545,58.636,61.364,59.659,60.0,60.909,60.227,55.455,53.75,48.636,48.864,38.636,31.477,29.091,30.0,15.682,15.682,15.682,0.0
11,0.0,13.182,13.182,13.182,13.182,13.182,14.545,17.273,21.818,22.727,22.727,24.545,25.682,27.614,34.773,40.455,46.364,47.955,50.227,49.545,52.841,54.773,54.545,54.091,54.773,54.318,53.636,50.568,47.5,47.273,46.136,41.364,36.591,30.909,26.136,18.523,18.523,18.523,0.0
12,0.0,6.364,6.364,6.364,8.182,10.682,11.591,13.523,17.159,22.045,21.08,20.114,20.909,24.545,38.182,36.25,40.0,45.795,43.295,56.364,58.864,58.409,57.955,50.909,60.909,61.136,55.909,48.182,45.909,48.523,44.318,39.659,31.25,27.159,27.5,27.5,27.5,27.5,0.0
13,0.0,4.773,4.773,5.909,7.727,10.455,12.045,13.636,16.705,22.045,17.727,19.545,20.909,20.455,38.182,44.545,52.614,54.318,55.909,55.909,59.318,62.5,62.273,60.227,60.909,61.136,61.364,59.318,56.25,54.318,50.682,44.545,27.955,32.159,27.614,27.614,27.614,27.614,0.0
