bus_id,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39
1,3.333,3.333,8.0,8.0,18.667,18.667,30.0,30.0,37.333,37.333,62.0,62.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,77.333,80.0,80.0,80.0,76.0,76.0,66.0,66.0,66.0,66.0,62.667,62.667,58.0,58.0,57.333,70.667,70.667,70.667
2,1.333,8.667,11.333,14.667,19.333,28.0,28.667,30.667,39.333,64.0,80.0,80.0,80.0,80.0,80.0,71.333,68.667,66.667,47.333,47.333,32.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
3,0.0,1.333,2.667,4.0,7.333,8.667,8.667,11.333,16.667,30.667,64.667,80.0,80.0,80.0,80.0,68.667,62.667,59.333,44.0,44.0,28.667,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
4,0.0,4.667,7.333,12.0,14.667,20.0,18.667,22.667,31.333,42.0,63.333,80.0,80.0,80.0,80.0,80.0,60.667,58.667,41.333,41.333,22.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
5,0.667,4.0,8.0,8.0,10.0,12.0,12.0,14.0,15.333,20.667,34.0,58.0,80.0,80.0,80.0,67.333,56.667,49.333,36.667,36.667,16.0,8.667,8.667,8.667,8.667,8.667,8.667,8.667,8.667,8.667,8.667,8.667,8.667,8.667,8.667,8.667,8.667,8.667,8.667
6,0.0,1.333,1.333,2.667,4.0,5.333,4.0,4.0,10.0,12.0,20.0,28.0,44.0,72.667,80.0,76.0,62.667,60.667,44.0,44.0,23.333,11.333,11.333,11.333,11.333,11.333,11.333,11.333,11.333,11.333,11.333,11.333,11.333,11.333,11.333,11.333,11.333,11.333,11.333
7,0.0,1.333,4.0,4.667,7.333,14.667,16.0,18.667,19.333,23.333,33.333,35.333,41.333,44.0,80.0,69.333,53.333,48.0,32.667,32.667,18.667,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
8,0.0,2.667,3.333,4.0,4.0,4.0,2.667,4.667,9.333,13.333,22.0,29.333,32.0,40.0,54.0,58.667,46.667,44.0,29.333,29.333,24.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
9,0.0,1.333,4.667,6.0,6.0,17.333,17.333,18.667,20.667,30.667,43.333,58.667,68.667,80.0,80.0,68.0,58.0,56.0,41.333,41.333,22.0,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.333
10,1.333,1.333,2.0,2.667,2.667,5.333,6.0,6.0,12.667,21.333,28.0,36.0,39.333,54.0,73.333,67.333,51.333,46.667,35.333,35.333,18.0,10.667,10.667,10.667,10.667,10.667,10.667,10.667,10.667,10.667,10.667,10.667,10.667,10.667,10.667,10.667,10.667,10.667,10.667
