shape_pt_sequence,latitude,longitude,route_distance_km,elevation_m,source
1,60.155603,24.942408,0.000,12.0,Open-Meteo Elevation API
2,60.156837,24.941798,0.142,13.0,Open-Meteo Elevation API
3,60.157431,24.941545,0.209,16.0,Open-Meteo Elevation API
4,60.158044,24.941185,0.281,12.0,Open-Meteo Elevation API
5,60.158206,24.941081,0.299,12.0,Open-Meteo Elevation API
6,60.158287,24.941102,0.308,12.0,Open-Meteo Elevation API
7,60.158675,24.941513,0.357,14.0,Open-Meteo Elevation API
8,60.158920,24.941732,0.386,17.0,Open-Meteo Elevation API
9,60.159169,24.942009,0.418,17.0,Open-Meteo Elevation API
10,60.159249,24.942084,0.427,17.0,Open-Meteo Elevation API
11,60.159348,24.942123,0.438,17.0,Open-Meteo Elevation API
12,60.159401,24.942124,0.444,17.0,Open-Meteo Elevation API
13,60.159923,24.942049,0.502,17.0,Open-Meteo Elevation API
14,60.160623,24.941943,0.581,28.0,Open-Meteo Elevation API
15,60.160773,24.941917,0.598,28.0,Open-Meteo Elevation API
16,60.161261,24.941317,0.662,23.0,Open-Meteo Elevation API
17,60.161973,24.940270,0.760,23.0,Open-Meteo Elevation API
18,60.162571,24.939477,0.840,20.0,Open-Meteo Elevation API
19,60.162793,24.939164,0.870,20.0,Open-Meteo Elevation API
20,60.163550,24.938118,0.972,27.0,Open-Meteo Elevation API
21,60.164338,24.937024,1.079,26.0,Open-Meteo Elevation API
22,60.164870,24.936261,1.151,21.0,Open-Meteo Elevation API
23,60.165345,24.935612,1.216,24.0,Open-Meteo Elevation API
24,60.166124,24.934517,1.324,27.0,Open-Meteo Elevation API
25,60.166677,24.933740,1.400,26.0,Open-Meteo Elevation API
26,60.167103,24.933157,1.458,18.0,Open-Meteo Elevation API
27,60.167231,24.932945,1.477,18.0,Open-Meteo Elevation API
28,60.167339,24.932804,1.491,18.0,Open-Meteo Elevation API
29,60.167503,24.932556,1.513,21.0,Open-Meteo Elevation API
30,60.168174,24.931548,1.608,17.0,Open-Meteo Elevation API
31,60.168464,24.931088,1.649,21.0,Open-Meteo Elevation API
32,60.168854,24.930577,1.701,21.0,Open-Meteo Elevation API
33,60.168917,24.930507,1.709,21.0,Open-Meteo Elevation API
34,60.168926,24.930489,1.711,21.0,Open-Meteo Elevation API
35,60.169289,24.929995,1.759,17.0,Open-Meteo Elevation API
36,60.169574,24.929595,1.798,17.0,Open-Meteo Elevation API
37,60.169651,24.929501,1.808,17.0,Open-Meteo Elevation API
38,60.169951,24.929107,1.847,17.0,Open-Meteo Elevation API
39,60.170150,24.928830,1.875,26.0,Open-Meteo Elevation API
40,60.170535,24.928305,1.926,26.0,Open-Meteo Elevation API
41,60.171219,24.927420,2.016,25.0,Open-Meteo Elevation API
42,60.171247,24.927204,2.029,25.0,Open-Meteo Elevation API
43,60.171267,24.926971,2.042,25.0,Open-Meteo Elevation API
44,60.171334,24.924472,2.181,20.0,Open-Meteo Elevation API
45,60.171619,24.924152,2.217,20.0,Open-Meteo Elevation API
46,60.171796,24.923933,2.240,24.0,Open-Meteo Elevation API
47,60.172025,24.923730,2.267,24.0,Open-Meteo Elevation API
48,60.172305,24.923486,2.301,24.0,Open-Meteo Elevation API
49,60.172784,24.923121,2.359,15.0,Open-Meteo Elevation API
50,60.173271,24.922792,2.416,15.0,Open-Meteo Elevation API
51,60.173730,24.922517,2.469,23.0,Open-Meteo Elevation API
52,60.174099,24.922365,2.511,23.0,Open-Meteo Elevation API
53,60.174396,24.922266,2.544,17.0,Open-Meteo Elevation API
54,60.174836,24.922206,2.593,17.0,Open-Meteo Elevation API
55,60.174980,24.922174,2.609,17.0,Open-Meteo Elevation API
56,60.175124,24.922142,2.625,16.0,Open-Meteo Elevation API
57,60.175312,24.922037,2.647,16.0,Open-Meteo Elevation API
58,60.175864,24.922179,2.709,13.0,Open-Meteo Elevation API
59,60.176568,24.922367,2.788,13.0,Open-Meteo Elevation API
60,60.177114,24.922486,2.850,10.0,Open-Meteo Elevation API
61,60.178001,24.922691,2.950,23.0,Open-Meteo Elevation API
62,60.178736,24.922892,3.033,24.0,Open-Meteo Elevation API
63,60.178844,24.923016,3.046,24.0,Open-Meteo Elevation API
64,60.178905,24.923113,3.054,24.0,Open-Meteo Elevation API
65,60.178994,24.923224,3.066,24.0,Open-Meteo Elevation API
66,60.179092,24.923317,3.078,24.0,Open-Meteo Elevation API
67,60.179191,24.923302,3.089,21.0,Open-Meteo Elevation API
68,60.179281,24.923196,3.100,21.0,Open-Meteo Elevation API
69,60.179337,24.923017,3.111,21.0,Open-Meteo Elevation API
70,60.179410,24.922785,3.126,21.0,Open-Meteo Elevation API
71,60.179483,24.922625,3.139,21.0,Open-Meteo Elevation API
72,60.179592,24.922484,3.153,21.0,Open-Meteo Elevation API
73,60.179764,24.922291,3.174,21.0,Open-Meteo Elevation API
74,60.179908,24.922131,3.192,21.0,Open-Meteo Elevation API
75,60.181491,24.920464,3.391,14.0,Open-Meteo Elevation API
76,60.181689,24.920271,3.416,19.0,Open-Meteo Elevation API
77,60.183390,24.918445,3.630,13.0,Open-Meteo Elevation API
78,60.183570,24.918270,3.652,17.0,Open-Meteo Elevation API
79,60.183711,24.918166,3.669,17.0,Open-Meteo Elevation API
80,60.183994,24.917993,3.701,17.0,Open-Meteo Elevation API
81,60.184039,24.917923,3.707,17.0,Open-Meteo Elevation API
82,60.184773,24.917042,3.803,11.0,Open-Meteo Elevation API
83,60.184917,24.916884,3.822,11.0,Open-Meteo Elevation API
84,60.185128,24.916638,3.849,12.0,Open-Meteo Elevation API
85,60.185786,24.915863,3.934,12.0,Open-Meteo Elevation API
86,60.185895,24.915740,3.947,12.0,Open-Meteo Elevation API
87,60.186510,24.915035,4.026,12.0,Open-Meteo Elevation API
88,60.186954,24.914453,4.085,16.0,Open-Meteo Elevation API
89,60.187581,24.913733,4.166,17.0,Open-Meteo Elevation API
90,60.188772,24.912358,4.319,21.0,Open-Meteo Elevation API
91,60.188871,24.912325,4.330,21.0,Open-Meteo Elevation API
92,60.188944,24.912237,4.339,21.0,Open-Meteo Elevation API
93,60.189025,24.912149,4.349,21.0,Open-Meteo Elevation API
94,60.189053,24.911916,4.363,21.0,Open-Meteo Elevation API
95,60.189064,24.911664,4.377,21.0,Open-Meteo Elevation API
96,60.189219,24.911307,4.403,27.0,Open-Meteo Elevation API
97,60.189307,24.911080,4.418,27.0,Open-Meteo Elevation API
98,60.190260,24.908831,4.583,24.0,Open-Meteo Elevation API
99,60.190433,24.908403,4.614,24.0,Open-Meteo Elevation API
100,60.190624,24.907994,4.645,22.0,Open-Meteo Elevation API
101,60.190706,24.907834,4.657,22.0,Open-Meteo Elevation API
102,60.190779,24.907656,4.669,22.0,Open-Meteo Elevation API
103,60.190822,24.907529,4.676,22.0,Open-Meteo Elevation API
104,60.190852,24.907477,4.681,26.0,Open-Meteo Elevation API
105,60.190916,24.907371,4.690,26.0,Open-Meteo Elevation API
106,60.190979,24.907301,4.698,26.0,Open-Meteo Elevation API
107,60.191060,24.907267,4.707,26.0,Open-Meteo Elevation API
108,60.191276,24.907255,4.731,26.0,Open-Meteo Elevation API
109,60.191290,24.906279,4.784,27.0,Open-Meteo Elevation API
110,60.191329,24.906030,4.799,27.0,Open-Meteo Elevation API
111,60.191350,24.905507,4.828,27.0,Open-Meteo Elevation API
112,60.191338,24.904642,4.876,28.0,Open-Meteo Elevation API
113,60.191368,24.903002,4.968,26.0,Open-Meteo Elevation API
114,60.191392,24.902066,5.020,26.0,Open-Meteo Elevation API
115,60.191416,24.901111,5.073,23.0,Open-Meteo Elevation API
116,60.191420,24.900606,5.101,23.0,Open-Meteo Elevation API
117,60.191449,24.900319,5.117,23.0,Open-Meteo Elevation API
118,60.191506,24.899816,5.145,13.0,Open-Meteo Elevation API
119,60.191571,24.899547,5.161,13.0,Open-Meteo Elevation API
120,60.191992,24.898369,5.241,22.0,Open-Meteo Elevation API
121,60.192732,24.896370,5.380,8.0,Open-Meteo Elevation API
122,60.193143,24.895354,5.452,8.0,Open-Meteo Elevation API
123,60.193472,24.894498,5.512,3.0,Open-Meteo Elevation API
124,60.193489,24.894424,5.515,3.0,Open-Meteo Elevation API
125,60.194798,24.891444,5.738,8.0,Open-Meteo Elevation API
126,60.195250,24.890417,5.813,2.0,Open-Meteo Elevation API
127,60.195322,24.890204,5.827,2.0,Open-Meteo Elevation API
128,60.195451,24.889828,5.853,0.0,Open-Meteo Elevation API
129,60.195552,24.889488,5.874,0.0,Open-Meteo Elevation API
130,60.195616,24.889255,5.888,0.0,Open-Meteo Elevation API
131,60.195700,24.888879,5.910,0.0,Open-Meteo Elevation API
132,60.195830,24.888233,5.949,10.0,Open-Meteo Elevation API
133,60.195987,24.887498,5.993,10.0,Open-Meteo Elevation API
134,60.196237,24.886333,6.064,3.0,Open-Meteo Elevation API
135,60.196506,24.885061,6.140,3.0,Open-Meteo Elevation API
136,60.196531,24.884813,6.153,11.0,Open-Meteo Elevation API
137,60.196696,24.884886,6.171,9.0,Open-Meteo Elevation API
138,60.196885,24.884873,6.193,9.0,Open-Meteo Elevation API
139,60.197020,24.884804,6.208,9.0,Open-Meteo Elevation API
140,60.197296,24.884652,6.240,9.0,Open-Meteo Elevation API
141,60.199997,24.883248,6.550,9.0,Open-Meteo Elevation API
142,60.202362,24.881846,6.825,7.0,Open-Meteo Elevation API
143,60.202497,24.881796,6.840,14.0,Open-Meteo Elevation API
144,60.202857,24.881607,6.881,13.0,Open-Meteo Elevation API
145,60.203856,24.881147,6.996,16.0,Open-Meteo Elevation API
146,60.205090,24.880585,7.137,10.0,Open-Meteo Elevation API
147,60.205693,24.880295,7.206,10.0,Open-Meteo Elevation API
148,60.206621,24.879851,7.313,15.0,Open-Meteo Elevation API
149,60.206579,24.879308,7.344,15.0,Open-Meteo Elevation API
150,60.206573,24.878899,7.366,15.0,Open-Meteo Elevation API
151,60.206591,24.878893,7.368,15.0,Open-Meteo Elevation API
152,60.206898,24.878559,7.406,18.0,Open-Meteo Elevation API
153,60.207259,24.878262,7.449,25.0,Open-Meteo Elevation API
154,60.208547,24.876313,7.629,22.0,Open-Meteo Elevation API
155,60.208756,24.875885,7.662,22.0,Open-Meteo Elevation API
156,60.208866,24.875546,7.684,22.0,Open-Meteo Elevation API
157,60.208948,24.875331,7.699,22.0,Open-Meteo Elevation API
158,60.209693,24.872736,7.867,22.0,Open-Meteo Elevation API
159,60.209867,24.872128,7.905,22.0,Open-Meteo Elevation API
160,60.209950,24.871841,7.923,22.0,Open-Meteo Elevation API
161,60.210033,24.871411,7.949,20.0,Open-Meteo Elevation API
162,60.210072,24.870997,7.972,20.0,Open-Meteo Elevation API
163,60.210084,24.870546,7.997,20.0,Open-Meteo Elevation API
164,60.210042,24.870076,8.023,20.0,Open-Meteo Elevation API
165,60.209964,24.869605,8.051,20.0,Open-Meteo Elevation API
166,60.209850,24.869223,8.075,20.0,Open-Meteo Elevation API
167,60.209727,24.868878,8.098,20.0,Open-Meteo Elevation API
168,60.209577,24.868477,8.125,20.0,Open-Meteo Elevation API
169,60.209445,24.868095,8.151,6.0,Open-Meteo Elevation API
170,60.209331,24.867623,8.180,6.0,Open-Meteo Elevation API
171,60.209279,24.867405,8.193,6.0,Open-Meteo Elevation API
172,60.209078,24.866552,8.245,21.0,Open-Meteo Elevation API
173,60.209043,24.866425,8.253,21.0,Open-Meteo Elevation API
174,60.208833,24.865571,8.305,21.0,Open-Meteo Elevation API
175,60.208605,24.864700,8.360,10.0,Open-Meteo Elevation API
176,60.208464,24.864444,8.381,10.0,Open-Meteo Elevation API
177,60.208621,24.863672,8.427,10.0,Open-Meteo Elevation API
178,60.208631,24.863492,8.437,10.0,Open-Meteo Elevation API
179,60.208564,24.862804,8.475,2.0,Open-Meteo Elevation API
180,60.208506,24.862117,8.513,2.0,Open-Meteo Elevation API
181,60.208216,24.861100,8.578,2.0,Open-Meteo Elevation API
182,60.207902,24.859667,8.665,5.0,Open-Meteo Elevation API
183,60.207632,24.858379,8.742,5.0,Open-Meteo Elevation API
184,60.207458,24.857538,8.792,6.0,Open-Meteo Elevation API
185,60.207414,24.857291,8.806,6.0,Open-Meteo Elevation API
186,60.207382,24.856659,8.841,7.0,Open-Meteo Elevation API
187,60.207376,24.856280,8.863,7.0,Open-Meteo Elevation API
188,60.207341,24.856153,8.871,7.0,Open-Meteo Elevation API
189,60.207287,24.856134,8.877,7.0,Open-Meteo Elevation API
190,60.207233,24.856150,8.883,7.0,Open-Meteo Elevation API
191,60.207178,24.856347,8.895,7.0,Open-Meteo Elevation API
192,60.207302,24.856531,8.912,7.0,Open-Meteo Elevation API
193,60.207382,24.856641,8.922,7.0,Open-Meteo Elevation API
194,60.207414,24.857291,8.958,6.0,Open-Meteo Elevation API
