signal_index,osm_node_id,latitude,longitude,route_distance_km,route_offset_m,crossing,signal_direction,osm_nodes_in_cluster,coordinate_method
1,25291571,60.1635407,24.9381217,0.9710356705680201,0.41643830677760935,,,1,OSM node map-matched to HSL GTFS shape
2,3228745570,60.164236,24.9371559,1.0654590398899901,0.44118524406376447,,,3,OSM node map-matched to HSL GTFS shape
3,3227213248,60.1652405,24.9357393,1.2021941466160566,0.7070456166756515,,,2,OSM node map-matched to HSL GTFS shape
4,3216453376,60.1660107,24.9346546,1.308999666337352,0.9802321880497245,,,3,OSM node map-matched to HSL GTFS shape
5,3216453387,60.1665653,24.9338873,1.384961098778019,0.43657540757815144,,,3,OSM node map-matched to HSL GTFS shape
6,3216400377,60.1673745,24.9327188,1.496780730828205,1.3905518802733041,,,3,OSM node map-matched to HSL GTFS shape
7,1037097298,60.1702256,24.9290502,1.874885096867559,14.77509554330508,,,2,OSM node map-matched to HSL GTFS shape
8,333532261,60.1713383,24.9249186,2.156255665819937,1.796317074636669,,,3,OSM node map-matched to HSL GTFS shape
9,333532701,60.1722099,24.9236055,2.288636146379397,1.8577564728335487,,,4,OSM node map-matched to HSL GTFS shape
10,333532695,60.1730412,24.9229724,2.388656187498317,1.3186461666662666,,,4,OSM node map-matched to HSL GTFS shape
11,333533222,60.1739597,24.9224551,2.4947759538740186,1.773258415137662,,,4,OSM node map-matched to HSL GTFS shape
12,316007409,60.1750667,24.9221966,2.618377437445236,2.3025698744738285,,,5,OSM node map-matched to HSL GTFS shape
13,60246609,60.1759768,24.922239,2.721878388871198,1.638738797315027,,,6,OSM node map-matched to HSL GTFS shape
14,309610745,60.1770057,24.9224957,2.8379063245788174,1.832061137866048,,,3,OSM node map-matched to HSL GTFS shape
15,309602595,60.1791808,24.9232892,3.087926843328938,0.7915600893399143,,,7,OSM node map-matched to HSL GTFS shape
16,313928869,60.1793917,24.9226265,3.1315560498385437,7.403222177765093,,,1,OSM node map-matched to HSL GTFS shape
17,9207604723,60.1815514,24.9203815,3.3992148028187414,1.1749307898247265,,forward,4,OSM node map-matched to HSL GTFS shape
18,1415447979,60.1851727,24.9165861,3.8547531477585912,0.03566403903692218,,backward,15,OSM node map-matched to HSL GTFS shape
19,3156992935,60.1883135,24.9128865,4.26012274896782,0.03998605852547824,,forward,5,OSM node map-matched to HSL GTFS shape
20,1936079825,60.1891591,24.9114319,4.3934952220507615,0.47363207597509666,,backward,3,OSM node map-matched to HSL GTFS shape
21,293874534,60.1909967,24.9072751,4.700173420543015,1.0002496271133985,,,3,OSM node map-matched to HSL GTFS shape
22,281675387,60.1914288,24.9005795,5.1026095831765135,0.6633802470055722,,,4,OSM node map-matched to HSL GTFS shape
23,6066518867,60.193114,24.895426,5.446906356301671,0.010831809232987044,,,3,OSM node map-matched to HSL GTFS shape
24,269688438,60.1946635,24.8917267,5.716080090539616,0.857531175946586,,,4,OSM node map-matched to HSL GTFS shape
25,314207312,60.1964673,24.8851987,6.131362789094338,0.9754481469250805,,,4,OSM node map-matched to HSL GTFS shape
26,5607320743,60.1976768,24.8844531,6.283718699433416,0.051267413556126344,,,5,OSM node map-matched to HSL GTFS shape
27,1020312099,60.1994738,24.8835237,6.4898988043815615,0.2001148164893904,,,2,OSM node map-matched to HSL GTFS shape
28,1020312093,60.2014465,24.8824539,6.717511672498021,3.457851882916597,,,4,OSM node map-matched to HSL GTFS shape
29,265941952,60.2025717,24.881628,6.850312518453833,6.892366765011219,,,4,OSM node map-matched to HSL GTFS shape
30,265941944,60.2036171,24.8812656,6.968390574182519,0.4635211568906206,,,4,OSM node map-matched to HSL GTFS shape
31,288692830,60.2053319,24.8803383,7.166379473621824,7.013511024018198,,,3,OSM node map-matched to HSL GTFS shape
32,288691821,60.2065465,24.8793904,7.339964765686625,4.246682962053157,,,4,OSM node map-matched to HSL GTFS shape
33,1396381689,60.2037811,24.8726128,10.277000017409636,2.091279578670576,traffic_signals,,2,OSM node map-matched to HSL GTFS shape
