stop_sequence,stop_id,stop_code,stop_name,stop_lat,stop_lon,shape_dist_traveled_km,reference_arrival_time,reference_departure_time
1,1060101,H1177,Eira,60.155613,24.942476,0.000,05:21:00,05:21:00
2,1060104,H0442,Eiran sairaala,60.158670,24.941540,0.357,05:22:00,05:22:00
3,1050108,H0815,Viiskulma,60.161274,24.941349,0.662,05:23:00,05:23:00
4,1050106,H0813,Iso Roobertinkatu,60.162807,24.939208,0.870,05:24:00,05:24:00
5,1040123,H1211,Bulevardi,60.164914,24.936403,1.151,05:25:00,05:25:00
6,1040144,H1237,Kamppi (M),60.169598,24.929668,1.798,05:28:00,05:29:00
7,1130110,H1305,Hanken,60.171824,24.924038,2.240,05:30:00,05:30:00
8,1130103,H1307,Apollonkatu,60.175862,24.922297,2.709,05:32:00,05:32:00
9,1140127,H1309,Töölöntori,60.179773,24.922318,3.174,05:33:00,05:33:00
10,1140131,H1315,Töölön kirjasto,60.183410,24.918520,3.630,05:34:00,05:34:00
11,1140133,H1319,Kirjailijanpuisto,60.185810,24.915960,3.934,05:35:00,05:35:00
12,1150107,H1321,Naistenklinikka,60.189340,24.911130,4.418,05:36:00,05:36:00
13,1150109,H1323,Haartmaninkatu,60.190870,24.907609,4.676,05:37:00,05:37:00
14,1150111,H1385,Meilahdentie,60.193550,24.894536,5.515,05:39:00,05:39:00
15,1301123,H1391,Munkkiniemen aukio,60.197316,24.884792,6.240,05:41:00,05:41:00
16,1301125,H1393,Lokkalantie,60.200008,24.883389,6.550,05:42:00,05:42:00
17,1304127,H1395,Niemenmäki,60.202890,24.881890,6.881,05:43:00,05:43:00
18,1304140,H1430,Naantalintie,60.206930,24.878680,7.406,05:44:00,05:44:00
19,1304141,H1428,Ulvilantie 27,60.208910,24.875610,7.684,05:45:00,05:45:00
20,1304142,H1426,Ulvilantie 21,60.209340,24.867370,8.193,05:46:00,05:46:00
21,1304138,H1433,Muusantori,60.207494,24.857503,8.792,05:48:00,05:48:00
22,1304157,H1422,Ulvilantie 17,60.205768,24.863507,9.695,05:50:00,05:50:00
23,1304144,H1420,Porintie,60.203780,24.869710,10.115,05:52:00,05:52:00
24,1304159,H1418,Ulvilantie 11,60.203875,24.874087,10.360,05:52:00,05:52:00
25,1304161,H1432,Munkkivuoren ostosk.,60.205420,24.877250,11.029,05:54:00,05:54:00
