sample_index,route_distance_km,latitude,longitude,elevation_m,source
1,0.000000,40.6934760,-111.9600960,1298.079,USGS The National Map 3DEP
2,0.028400,40.6937180,-111.9601869,1298.162,USGS The National Map 3DEP
3,0.056799,40.6936016,-111.9603892,1298.220,USGS The National Map 3DEP
4,0.085199,40.6933968,-111.9601921,1298.369,USGS The National Map 3DEP
5,0.113599,40.6931825,-111.9600401,1298.237,USGS The National Map 3DEP
6,0.141998,40.6929400,-111.9600436,1298.424,USGS The National Map 3DEP
7,0.170398,40.6929400,-111.9597068,1298.400,USGS The National Map 3DEP
8,0.198797,40.6929400,-111.9593699,1298.375,USGS The National Map 3DEP
9,0.227197,40.6929400,-111.9590331,1298.335,USGS The National Map 3DEP
10,0.255597,40.6929400,-111.9586962,1298.297,USGS The National Map 3DEP
11,0.283996,40.6929400,-111.9583594,1298.318,USGS The National Map 3DEP
12,0.312396,40.6929400,-111.9580225,1298.729,USGS The National Map 3DEP
13,0.340796,40.6927320,-111.9579600,1298.902,USGS The National Map 3DEP
14,0.369195,40.6924766,-111.9579600,1298.923,USGS The National Map 3DEP
15,0.397595,40.6922212,-111.9579600,1298.909,USGS The National Map 3DEP
16,0.425995,40.6919658,-111.9579606,1298.928,USGS The National Map 3DEP
17,0.454394,40.6917105,-111.9579700,1299.057,USGS The National Map 3DEP
18,0.482794,40.6914551,-111.9579700,1299.106,USGS The National Map 3DEP
19,0.511194,40.6911997,-111.9579700,1299.208,USGS The National Map 3DEP
20,0.539593,40.6909443,-111.9579728,1299.267,USGS The National Map 3DEP
21,0.567993,40.6906889,-111.9579777,1299.359,USGS The National Map 3DEP
22,0.596392,40.6904335,-111.9579825,1299.401,USGS The National Map 3DEP
23,0.624792,40.6901782,-111.9579871,1299.499,USGS The National Map 3DEP
24,0.653192,40.6899228,-111.9579900,1299.564,USGS The National Map 3DEP
25,0.681591,40.6896674,-111.9579928,1299.640,USGS The National Map 3DEP
26,0.709991,40.6894120,-111.9579986,1299.715,USGS The National Map 3DEP
27,0.738391,40.6891566,-111.9580000,1299.850,USGS The National Map 3DEP
28,0.766790,40.6889012,-111.9580000,1299.972,USGS The National Map 3DEP
29,0.795190,40.6886458,-111.9580000,1300.108,USGS The National Map 3DEP
30,0.823590,40.6883904,-111.9580000,1300.310,USGS The National Map 3DEP
31,0.851989,40.6881350,-111.9580000,1300.561,USGS The National Map 3DEP
32,0.880389,40.6878796,-111.9580000,1300.810,USGS The National Map 3DEP
33,0.908788,40.6876242,-111.9580000,1301.039,USGS The National Map 3DEP
34,0.937188,40.6873688,-111.9580000,1301.259,USGS The National Map 3DEP
35,0.965588,40.6871134,-111.9580000,1301.466,USGS The National Map 3DEP
36,0.993987,40.6868580,-111.9580000,1301.631,USGS The National Map 3DEP
37,1.022387,40.6866026,-111.9580000,1301.868,USGS The National Map 3DEP
38,1.050787,40.6863472,-111.9580000,1302.061,USGS The National Map 3DEP
39,1.079186,40.6860918,-111.9580000,1302.164,USGS The National Map 3DEP
40,1.107586,40.6858364,-111.9580000,1302.384,USGS The National Map 3DEP
41,1.135986,40.6855810,-111.9580000,1302.536,USGS The National Map 3DEP
42,1.164385,40.6853256,-111.9580000,1302.761,USGS The National Map 3DEP
43,1.192785,40.6850702,-111.9580000,1303.032,USGS The National Map 3DEP
44,1.221185,40.6848148,-111.9580000,1303.363,USGS The National Map 3DEP
45,1.249584,40.6845594,-111.9579968,1303.669,USGS The National Map 3DEP
46,1.277984,40.6843040,-111.9579917,1304.020,USGS The National Map 3DEP
47,1.306383,40.6840486,-111.9579900,1304.407,USGS The National Map 3DEP
48,1.334783,40.6837932,-111.9579894,1304.762,USGS The National Map 3DEP
49,1.363183,40.6835378,-111.9579869,1305.135,USGS The National Map 3DEP
50,1.391582,40.6832824,-111.9579844,1305.483,USGS The National Map 3DEP
51,1.419982,40.6830270,-111.9579819,1305.808,USGS The National Map 3DEP
52,1.448382,40.6827716,-111.9579800,1306.162,USGS The National Map 3DEP
53,1.476781,40.6825162,-111.9579800,1306.476,USGS The National Map 3DEP
54,1.505181,40.6822608,-111.9579800,1307.392,USGS The National Map 3DEP
