shape_pt_sequence,latitude,longitude,route_distance_km
1,40.6934760,-111.9600960,0.000000
2,40.6935920,-111.9601200,0.013056
3,40.6936900,-111.9601570,0.024391
4,40.6937350,-111.9602050,0.030827
5,40.6937440,-111.9602290,0.033084
6,40.6937440,-111.9602640,0.036035
7,40.6937350,-111.9603000,0.039231
8,40.6937170,-111.9603240,0.042077
9,40.6936990,-111.9603480,0.044923
10,40.6936720,-111.9603710,0.048497
11,40.6936540,-111.9603830,0.050740
12,40.6936090,-111.9603950,0.055845
13,40.6934580,-111.9602750,0.075447
14,40.6934220,-111.9602270,0.081140
15,40.6933960,-111.9601910,0.085331
16,40.6932440,-111.9600350,0.106747
17,40.6929400,-111.9600600,0.140616
18,40.6929400,-111.9598300,0.160008
19,40.6929400,-111.9588400,0.243474
20,40.6929400,-111.9587800,0.248533
21,40.6929400,-111.9579600,0.317667
22,40.6925400,-111.9579600,0.362145
23,40.6923300,-111.9579600,0.385496
24,40.6920500,-111.9579600,0.416630
25,40.6919800,-111.9579600,0.424414
26,40.6917300,-111.9579700,0.452226
27,40.6913000,-111.9579700,0.500040
28,40.6912200,-111.9579700,0.508935
29,40.6910900,-111.9579700,0.523391
30,40.6905700,-111.9579800,0.581218
31,40.6900200,-111.9579900,0.642381
32,40.6897900,-111.9579900,0.667956
33,40.6893500,-111.9580000,0.716889
34,40.6889100,-111.9580000,0.765815
35,40.6886400,-111.9580000,0.795838
36,40.6884800,-111.9580000,0.813629
37,40.6883200,-111.9580000,0.831420
38,40.6861300,-111.9580000,1.074937
39,40.6854500,-111.9580000,1.150550
40,40.6847200,-111.9580000,1.231722
41,40.6842200,-111.9579900,1.287326
42,40.6838600,-111.9579900,1.327357
43,40.6828300,-111.9579800,1.441891
44,40.6826400,-111.9579800,1.463018
45,40.6821700,-111.9579800,1.515279
46,40.6817900,-111.9579800,1.557533
47,40.6815300,-111.9579800,1.586444
48,40.6812400,-111.9579800,1.618691
49,40.6809900,-111.9579800,1.646490
50,40.6803400,-111.9579800,1.718766
51,40.6796200,-111.9579800,1.798827
52,40.6789700,-111.9579800,1.871104
53,40.6780000,-111.9579800,1.978963
54,40.6772600,-111.9579800,2.061247
55,40.6771800,-111.9579800,2.070143
56,40.6770100,-111.9579800,2.089046
57,40.6767800,-111.9579800,2.114621
58,40.6762000,-111.9579700,2.179119
59,40.6758200,-111.9579700,2.221374
60,40.6755900,-111.9579700,2.246948
61,40.6752400,-111.9579700,2.285867
62,40.6752200,-111.9579700,2.288091
63,40.6750500,-111.9579700,2.306994
64,40.6748200,-111.9579700,2.332569
65,40.6739200,-111.9579600,2.432648
66,40.6734700,-111.9579600,2.482686
67,40.6733900,-111.9579600,2.491581
68,40.6733400,-111.9579600,2.497141
69,40.6729200,-111.9579600,2.543843
70,40.6723100,-111.9579600,2.611672
71,40.6717000,-111.9579600,2.679501
72,40.6706300,-111.9579600,2.798480
73,40.6703800,-111.9579600,2.826278
74,40.6700500,-111.9579600,2.862973
75,40.6695100,-111.9579600,2.923018
76,40.6691900,-111.9579700,2.958611
77,40.6689400,-111.9579700,2.986409
78,40.6687200,-111.9579800,3.010887
79,40.6685100,-111.9579800,3.034238
80,40.6682600,-111.9579900,3.062049
81,40.6681800,-111.9579900,3.070945
82,40.6680200,-111.9579900,3.088736
83,40.6676000,-111.9579900,3.135438
84,40.6676100,-111.9573200,3.191958
85,40.6676100,-111.9572600,3.197018
86,40.6676100,-111.9570300,3.216417
87,40.6676100,-111.9569500,3.223164
88,40.6676100,-111.9565900,3.253527
89,40.6676200,-111.9560300,3.300772
90,40.6676200,-111.9559400,3.308363
91,40.6676200,-111.9551300,3.376680
92,40.6676200,-111.9546000,3.421381
93,40.6676200,-111.9541100,3.462708
94,40.6676200,-111.9539900,3.472829
95,40.6676200,-111.9533600,3.525965
96,40.6676200,-111.9528700,3.567292
97,40.6676200,-111.9527700,3.575726
98,40.6676200,-111.9524800,3.600185
99,40.6676200,-111.9523100,3.614523
100,40.6676200,-111.9521500,3.628018
101,40.6676300,-111.9515200,3.681165
102,40.6676400,-111.9504800,3.768887
103,40.6676400,-111.9501800,3.794190
104,40.6676400,-111.9498200,3.824553
105,40.6676400,-111.9494300,3.857446
106,40.6676400,-111.9489900,3.894557
107,40.6676400,-111.9487000,3.919016
108,40.6676400,-111.9485100,3.935041
109,40.6676400,-111.9484400,3.940945
110,40.6676400,-111.9476900,4.004201
111,40.6676400,-111.9472900,4.037938
112,40.6676400,-111.9470600,4.057336
113,40.6676400,-111.9465800,4.097820
114,40.6676400,-111.9460800,4.139991
115,40.6676400,-111.9455000,4.188909
116,40.6676500,-111.9442100,4.297716
117,40.6676500,-111.9432600,4.377841
118,40.6676500,-111.9424600,4.445314
119,40.6676500,-111.9417900,4.501823
120,40.6676500,-111.9412600,4.546524
121,40.6676500,-111.9408900,4.577730
122,40.6676500,-111.9406000,4.602190
123,40.6676500,-111.9404300,4.616528
124,40.6676500,-111.9403300,4.624962
125,40.6676500,-111.9399000,4.661229
126,40.6676500,-111.9397800,4.671350
127,40.6676500,-111.9395500,4.690748
128,40.6676500,-111.9392900,4.712677
129,40.6676500,-111.9392600,4.715207
130,40.6676500,-111.9388000,4.754005
131,40.6680800,-111.9388200,4.801848
132,40.6685400,-111.9388400,4.853026
133,40.6686200,-111.9388400,4.861921
134,40.6686800,-111.9388500,4.868646
135,40.6687400,-111.9388500,4.875318
136,40.6690300,-111.9388600,4.907576
137,40.6692400,-111.9388600,4.930927
138,40.6698200,-111.9388700,4.995425
139,40.6698300,-111.9391800,5.021594
140,40.6699300,-111.9393900,5.042506
141,40.6699800,-111.9395700,5.058673
142,40.6699700,-111.9399700,5.092427
143,40.6699700,-111.9403000,5.120259
144,40.6703000,-111.9402700,5.157041
145,40.6704410,-111.9402920,5.172828
146,40.6705920,-111.9402930,5.189619
147,40.6707980,-111.9402940,5.212525
148,40.6709760,-111.9402590,5.232537
149,40.6710480,-111.9401760,5.243172
150,40.6710930,-111.9400090,5.258119
151,40.6711030,-111.9398310,5.273172
152,40.6709960,-111.9395800,5.297455
153,40.6709070,-111.9395310,5.308179
154,40.6707730,-111.9394830,5.323620
155,40.6706570,-111.9395420,5.337445
156,40.6705940,-111.9396850,5.351392
157,40.6705670,-111.9398750,5.367695
158,40.6705840,-111.9400310,5.380987
159,40.6705920,-111.9402930,5.403101
160,40.6704410,-111.9402920,5.419892
161,40.6703000,-111.9402700,5.435680
162,40.6699700,-111.9403000,5.472462
163,40.6699700,-111.9399700,5.500293
164,40.6699800,-111.9395700,5.534047
165,40.6699300,-111.9393900,5.550214
166,40.6698300,-111.9391800,5.571127
167,40.6698200,-111.9388700,5.597295
168,40.6692400,-111.9388600,5.661794
169,40.6690300,-111.9388600,5.685145
170,40.6687400,-111.9388500,5.717403
171,40.6686800,-111.9388500,5.724074
172,40.6686200,-111.9388400,5.730799
173,40.6685400,-111.9388400,5.739695
174,40.6680800,-111.9388200,5.790872
175,40.6676500,-111.9388000,5.838716
176,40.6676100,-111.9387100,5.847514
177,40.6676000,-111.9386700,5.851066
178,40.6676000,-111.9386300,5.854440
179,40.6676000,-111.9383700,5.876369
180,40.6676000,-111.9380090,5.906816
181,40.6676090,-111.9375290,5.947312
182,40.6676090,-111.9372300,5.972531
183,40.6676090,-111.9367500,6.013015
184,40.6676200,-111.9364300,6.040032
185,40.6676600,-111.9357890,6.094277
186,40.6676900,-111.9353800,6.128934
187,40.6677200,-111.9351190,6.151199
188,40.6678000,-111.9345800,6.197521
189,40.6678900,-111.9341200,6.237588
190,40.6679700,-111.9337800,6.267612
191,40.6680800,-111.9333800,6.303497
192,40.6681900,-111.9329700,6.340177
193,40.6682990,-111.9326400,6.370534
194,40.6683990,-111.9323590,6.396712
195,40.6685500,-111.9319700,6.433568
196,40.6688000,-111.9313100,6.495788
197,40.6688690,-111.9311290,6.512873
198,40.6692900,-111.9300000,6.618978
199,40.6695600,-111.9292800,6.686719
200,40.6707000,-111.9262700,6.970467
201,40.6708500,-111.9258700,7.008101
202,40.6709500,-111.9256100,7.032687
203,40.6711100,-111.9251700,7.073839
204,40.6714090,-111.9243890,7.147622
205,40.6716000,-111.9238100,7.200872
206,40.6718000,-111.9231700,7.259249
207,40.6718500,-111.9229900,7.275416
208,40.6719800,-111.9224900,7.319993
209,40.6720100,-111.9223700,7.330649
210,40.6721000,-111.9220200,7.361817
211,40.6722300,-111.9215400,7.404802
212,40.6723500,-111.9210900,7.445030
213,40.6731600,-111.9180200,7.719158
214,40.6734690,-111.9168190,7.826114
215,40.6739000,-111.9152400,7.967639
216,40.6740300,-111.9147500,8.011417
217,40.6742500,-111.9139000,8.087160
218,40.6740200,-111.9138100,8.113838
219,40.6737000,-111.9137700,8.149580
220,40.6736300,-111.9137700,8.157363
221,40.6735300,-111.9137800,8.168515
222,40.6731200,-111.9138700,8.214732
223,40.6730400,-111.9138800,8.223668
224,40.6730200,-111.9138800,8.225892
225,40.6729100,-111.9138800,8.238123
226,40.6726300,-111.9138400,8.269440
227,40.6723300,-111.9138000,8.302968
228,40.6721500,-111.9138100,8.323001
229,40.6720200,-111.9138300,8.337555
230,40.6717400,-111.9139300,8.369811
231,40.6715400,-111.9140500,8.394245
232,40.6713100,-111.9142300,8.423986
233,40.6710290,-111.9139100,8.465273
234,40.6709500,-111.9137900,8.478674
235,40.6708600,-111.9136300,8.495474
236,40.6707900,-111.9134490,8.512609
237,40.6706600,-111.9128800,8.562728
238,40.6704500,-111.9118200,8.655125
239,40.6703290,-111.9112990,8.701079
240,40.6702600,-111.9111000,8.719533
241,40.6701300,-111.9108800,8.743054
242,40.6699790,-111.9106600,8.768078
243,40.6698700,-111.9104600,8.788848
244,40.6697290,-111.9101500,8.819334
245,40.6696690,-111.9099790,8.835225
246,40.6696200,-111.9098300,8.848922
247,40.6695600,-111.9097100,8.861043
248,40.6694900,-111.9096100,8.872520
249,40.6693400,-111.9094390,8.894570
250,40.6691600,-111.9093000,8.917766
251,40.6689200,-111.9091600,8.946948
252,40.6688090,-111.9091190,8.959766
253,40.6685400,-111.9090400,8.990410
254,40.6681900,-111.9090100,9.029411
255,40.6678700,-111.9090190,9.065001
256,40.6674900,-111.9090200,9.107256
257,40.6671100,-111.9089800,9.149644
258,40.6668190,-111.9089400,9.182177
259,40.6668600,-111.9087200,9.201285
260,40.6668900,-111.9085100,9.219308
261,40.6669300,-111.9082800,9.239210
262,40.6669500,-111.9081800,9.247933
263,40.6670300,-111.9077400,9.286095
264,40.6670700,-111.9075200,9.305176
265,40.6671200,-111.9072600,9.327799
266,40.6671600,-111.9070800,9.343618
267,40.6672200,-111.9067800,9.369786
268,40.6672900,-111.9063800,9.404409
269,40.6669500,-111.9063600,9.442253
270,40.6667200,-111.9063400,9.467883
271,40.6664800,-111.9063300,9.494584
272,40.6661400,-111.9063100,9.532427
273,40.6659900,-111.9062900,9.549192
274,40.6657900,-111.9062300,9.571999
275,40.6656500,-111.9061700,9.588369
276,40.6651200,-111.9059300,9.650682
277,40.6648100,-111.9058300,9.686169
278,40.6644700,-111.9057700,9.724313
279,40.6642200,-111.9057200,9.752429
280,40.6636600,-111.9057000,9.814721
281,40.6635000,-111.9056700,9.832692
282,40.6632000,-111.9055800,9.866903
283,40.6629100,-111.9054300,9.901543
284,40.6626700,-111.9052600,9.931838
285,40.6625800,-111.9051900,9.943458
286,40.6623800,-111.9050100,9.970385
287,40.6619800,-111.9045200,10.031102
288,40.6619400,-111.9044700,10.037231
289,40.6616900,-111.9042200,10.072123
290,40.6615200,-111.9041100,10.093181
291,40.6613200,-111.9040100,10.116966
292,40.6611200,-111.9039300,10.140206
293,40.6605200,-111.9039000,10.206971
294,40.6605100,-111.9036800,10.225561
295,40.6605000,-111.9034900,10.241627
296,40.6605200,-111.9032100,10.265349
