stop_sequence,stop_id,stop_code,stop_name,latitude,longitude,reference_arrival_time,reference_departure_time
1,18886,135136,West Valley Central Station (Bay J),40.693663,-111.959863, 6:31:00, 6:31:00
2,16069,135010,3800 South Station,40.688595,-111.958117, 6:33:00, 6:33:00
3,16072,135014,4100 South Station,40.68171,-111.958153, 6:35:00, 6:35:00
4,16074,135016,4500 South Station,40.674895,-111.958148, 6:37:00, 6:37:00
5,15999,135019,4700 South 2700 West Station,40.669117,-111.958144, 6:38:00, 6:38:00
6,21580,101310,2200 W Station,40.667486,-111.947703, 6:45:00, 6:45:00
7,25485,SLCCTVAR,SLCC Taylorsville Campus Arrival,40.669967,-111.94029, 6:51:00, 6:51:00
8,17402,BB136139,SLCC Transit Center (Bay D),40.671017,-111.939883, 6:51:00, 6:51:00
9,17139,136032,1300 West Station,40.669742,-111.929152, 6:55:00, 6:55:00
10,24352,198440,Atherton West Station,40.672164,-111.922053, 6:56:00, 6:56:00
11,16926,136016,Riverboat Road Station,40.674081,-111.914181, 6:57:00, 6:57:00
12,16927,136017,Atherton East Station,40.673268,-111.913948, 6:58:00, 6:58:00
13,24163,198380,Sunstone Road Station,40.669708,-111.910205, 6:59:00, 6:59:00
14,24219,198400,Murray Blvd Station,40.662145,-111.904906, 7:01:00, 7:01:00
15,14546,153191,Vine Street Station,40.660858,-111.899186, 7:02:00, 7:02:00
16,14216,BB153172,Murray Central Station (Bay A),40.659617,-111.895546, 7:10:00, 7:10:00
