service_date,schedule_sequence,trip_id,route_id,service_id,direction_id,trip_headsign,shape_id,scheduled_origin_departure,scheduled_destination_arrival,target_run_index
20260817,8,5914112,87711,303.0.4,1,Murray Central Station,256022, 6:31:00, 7:10:00,1
20260817,9,5914113,87711,303.0.4,1,Murray Central Station,256022, 6:46:00, 7:25:00,2
20260817,10,5914114,87711,303.0.4,1,Murray Central Station,256022, 7:01:00, 7:40:00,3
20260817,11,5914115,87711,303.0.4,1,Murray Central Station,256022, 7:16:00, 7:55:00,4
20260817,12,5914116,87711,303.0.4,1,Murray Central Station,256022, 7:31:00, 8:10:00,5
20260817,13,5914117,87711,303.0.4,1,Murray Central Station,256022, 7:46:00, 8:25:00,6
20260817,14,5914118,87711,303.0.4,1,Murray Central Station,256022, 8:01:00, 8:40:00,7
20260817,15,5914119,87711,303.0.4,1,Murray Central Station,256022, 8:16:00, 8:55:00,8
20260817,16,5914120,87711,303.0.4,1,Murray Central Station,256022, 8:31:00, 9:10:00,9
20260817,17,5914121,87711,303.0.4,1,Murray Central Station,256022, 8:46:00, 9:25:00,10
